MouseID,mucosal,submucosal,overall_inf,transmural,architecture,Score,Genotype,Sex,Diet,FITC or Indo
671,2,0,1,0,0,1,HET,Female,Control,FITC
621,0,0,0,0,1,1,HET,Female,Control,FITC
668,0,0,0,0,1,1,HET,Female,Control,FITC
672,1,0,1,0,0,1,HET,Female,Control,FITC
51,1,0,1,0,0,1,HET,Male,Control,FITC
185,1,0,1,0,0,1,HET,Male,Control,FITC
247,1,0,1,0,0,1,HET,Male,Selenium,FITC
22,2,1,2,0,0,2,HET,Female,Control,FITC
37,2,1,2,0,0,2,HET,Female,Control,FITC
616,0,1,2,0,0,2,HET,Male,Control,FITC
189,6,0,2,0,0,2,HET,Male,Control,FITC
246,1,1,2,0,0,2,HET,Male,Selenium,FITC
205,0,0,0,0,2,2,HET,Male,Selenium,FITC
206,2,0,1,0,1,2,HET,Male,Selenium,FITC
10,4,2,3,0,0,3,HET,Female,Control,FITC
16,4,0,2,0,1,3,HET,Female,Control,FITC
185,3,1,3,0,0,3,HET,Male,Control,FITC
659,2,0,1,0,2,3,HET,Male,Control,FITC
609,2,3,3,0,0,3,HET,Male,Control,FITC
203,3,2,3,0,0,3,HET,Female,Selenium,FITC
11,2,2,3,0,1,4,HET,Female,Control,FITC
186,4,4,3,0,1,4,HET,Female,Control,FITC
13,4,2,3,0,1,4,HET,Male,Control,FITC
77,4,0,2,0,2,4,HET,Male,Control,FITC
610,0,1,2,0,2,4,HET,Male,Control,FITC
243,4,2,3,0,1,4,HET,Female,Selenium,FITC
250,3,0,1,0,3,4,HET,Female,Selenium,FITC
202,3,1,3,0,1,4,HET,Female,Selenium,FITC
60,4,3,3,0,1,4,HET,Female,Selenium,FITC
245,3,2,3,0,1,4,HET,Male,Selenium,FITC
604,3,1,3,0,2,5,HET,Female,Control,FITC
5,2,4,3,0,2,5,HET,Male,Control,FITC
207,3,1,3,0,2,5,HET,Male,Selenium,FITC
12,0,1,2,0,4,6,HET,Female,Control,FITC
6,4,3,3,0,3,6,HET,Male,Control,FITC
250,1,2,2,0,4,6,HET,Female,Selenium,FITC
120,0,0,0,0,1,1,MUT,Female,Control,FITC
75,7,0,2,0,0,2,MUT,Female,Control,FITC
612,2,1,2,0,0,2,MUT,Female,Control,FITC
201,4,0,2,0,0,2,MUT,Female,Selenium,FITC
248,7,0,2,0,0,2,MUT,Male,Selenium,FITC
55,2,3,3,0,0,3,MUT,Female,Control,FITC
638,7,2,3,0,0,3,MUT,Female,Control,FITC
7,4,5,3,0,0,3,MUT,Male,Control,FITC
76,2,4,3,0,0,3,MUT,Male,Control,FITC
660,7,6,3,0,0,3,MUT,Male,Control,FITC
68,2,0,1,0,2,3,MUT,Female,Selenium,FITC
64,1,0,1,0,2,3,MUT,Female,Selenium,FITC
240,5,1,3,0,0,3,MUT,Male,Selenium,FITC
53,3,2,3,0,1,4,MUT,Female,Control,FITC
20,4,4,3,0,1,4,MUT,Female,Control,FITC
179,5,0,2,0,2,4,MUT,Female,Control,FITC
180,6,1,3,0,1,4,MUT,Female,Control,FITC
678,4,4,3,0,1,4,MUT,Female,Control,FITC
204,2,0,1,0,3,4,MUT,Male,Selenium,FITC
59,3,3,3,0,2,5,MUT,Female,Control,FITC
230,5,2,3,0,2,5,MUT,Male,Control,FITC
4,2,5,3,0,2,5,MUT,Male,Selenium,FITC
52,3,2,3,0,3,6,MUT,Male,Control,FITC
14,1,2,2,0,4,6,MUT,Male,Control,FITC
635,5,3,3,0,3,6,MUT,Male,Control,FITC
614,6,5,3,0,3,6,MUT,Male,Control,FITC
662,2,1,2,0,4,6,MUT,Male,Control,FITC
70,4,3,3,0,3,6,MUT,Female,Selenium,FITC
8,4,1,3,0,3,6,MUT,Female,Selenium,FITC
67,2,1,2,0,4,6,MUT,Male,Selenium,FITC
622,1,3,3,0,4,7,MUT,Female,Control,FITC
686,2,2,3,0,4,7,MUT,Female,Control,FITC
695,4,7,3,0,4,7,MUT,Male,Control,FITC
46,6,7,3,0,4,7,MUT,Male,Selenium,FITC
80,0,0,0,0,0,0,WT,Male,Selenium,FITC
74,2,0,1,0,bad slide,1,WT,Female,Control,FITC
17,1,0,1,0,0,1,WT,Female,Control,FITC
654,1,0,1,0,0,1,WT,Female,Control,FITC
119,1,0,1,0,0,1,WT,Female,Control,FITC
667,2,0,1,0,bad slide,1,WT,Female,Control,FITC
670,3,0,1,0,0,1,WT,Male,Control,FITC
670,3,0,1,0,0,1,WT,Male,Control,FITC
648,3,0,1,0,0,1,WT,Male,Control,FITC
652,2,0,1,0,0,1,WT,Male,Control,FITC
57,1,0,1,0,0,1,WT,Female,Selenium,FITC
178,2,0,1,0,0,1,WT,Male,Selenium,FITC
62,1,0,1,0,0,1,WT,Male,Selenium,FITC
18,1,1,2,0,0,2,WT,Female,Control,FITC
79,1,0,1,0,1,2,WT,Female,Control,FITC
98,2,1,2,0,0,2,WT,Female,Control,FITC
1,0,1,2,0,0,2,WT,Male,Control,FITC
94,4,0,2,0,0,2,WT,Male,Control,FITC
93,1,1,2,0,0,2,WT,Male,Control,FITC
666,2,0,1,0,1,2,WT,Male,Control,FITC
644,1,1,2,0,0,2,WT,Male,Control,FITC
242,1,0,1,0,1,2,WT,Female,Selenium,FITC
61,1,0,1,0,1,2,WT,Male,Selenium,FITC
84,1,1,2,0,0,2,WT,Male,Selenium,FITC
