Sample #,MouseID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Genotype,Diet,Sex,Weight
1,929,179.629,0.070,23.769,79.131,0.000,11.037,1.512,HET,Control,Male,9.6
2,916,234.336,0.138,26.995,85.167,0.000,5.986,2.804,HET,Control,Female,7.8
3,930,484.881,0.142,29.037,127.654,0.000,14.644,1.796,WT,Control,Female,4.6
4,913,289.341,0.133,33.314,104.035,0.047,12.090,2.981,WT,Control,Male,13.1
5,935,303.243,0.132,26.776,95.962,0.000,11.895,2.922,MUT,Control,Female,7.3
6,960,760.155,0.306,55.269,155.283,0.000,22.372,0.000,MUT,Control,Male,3.2
7,433,1426.116,5.080,16.325,86.104,0.000,19.072,0.000,HET,Selenium,Male,2.5
8,374,275.270,0.180,13.084,101.353,0.071,10.311,4.125,HET,Selenium,Female,8.2
9,370,377.705,0.535,15.363,124.231,0.000,18.472,4.693,WT,Selenium,Female,9.2
10,462,163.939,0.051,13.920,106.448,0.115,7.348,5.834,WT,Selenium,Male,21
11,426,158.701,0.142,15.293,109.068,0.034,8.662,7.014,MUT,Selenium,Female,18
12,460,157.135,0.062,16.462,114.219,0.117,13.546,4.311,MUT,Selenium,Male,15.6
13,933,220.805,0.078,25.533,100.536,0.127,8.086,2.627,HET,Control,Male,9.7
14,918,228.541,0.158,39.372,146.332,0.000,6.906,3.935,HET,Control,Female,6.2
15,931,304.178,0.093,35.865,107.228,0.000,8.419,3.602,WT,Control,Female,6.2
16,914,242.502,0.105,31.444,111.927,0.063,14.741,4.633,WT,Control,Male,9.9
17,936,287.667,0.120,31.906,98.639,0.095,7.295,2.772,MUT,Control,Female,10.5
18,446,161.972,5.111,6.609,30.406,0.000,14.644,0.000,MUT,Control,Male,8.1
19,434,536.622,7.653,14.035,64.017,0.000,27.430,0.000,HET,Selenium,Male,1.4
20,375,432.342,0.140,14.485,109.528,0.000,6.706,4.061,HET,Selenium,Female,10
21,454,198.091,0.132,17.512,140.261,0.000,12.200,5.870,WT,Selenium,Female,10.4
22,464,320.498,0.096,14.524,114.155,0.000,12.051,6.314,WT,Selenium,Male,12.8
23,489,278.040,0.106,18.431,138.742,0.081,10.295,5.806,MUT,Selenium,Female,7.8
24,461,368.942,0.155,18.813,153.387,0.107,32.724,6.428,MUT,Selenium,Male,13.7
25,905,224.635,0.103,27.754,113.164,0.000,15.826,3.728,HET,Control,Male,6.7
26,965,333.055,0.158,75.007,155.972,0.000,13.700,0.000,HET,Control,Female,3.3
27,906,369.767,0.171,52.778,117.826,0.000,5.915,0.000,WT,Control,Female,2.8
