MouseID,Genotype,Sex,Diet,Result_times_5,Plasma_FITC,Date,Omit,Size
201,MUT,F,Selenium,429.875,429.875,19April2024,No,4_kDa
202,HET,F,Selenium,799.78,799.78,19April2024,No,4_kDa
203,HET,F,Selenium,358.65,358.65,19April2024,No,4_kDa
204,MUT,M,Selenium,1015.24,1015.24,19April2024,No,4_kDa
205,HET,M,Selenium,1403.355,1403.355,19April2024,No,4_kDa
206,HET,M,Selenium,198.685,198.685,19April2024,No,4_kDa
207,HET,M,Selenium,625.705,625.705,19April2024,No,4_kDa
239,HET,M,Selenium,719.03,719.03,19April2024,No,4_kDa
240,MUT,M,Selenium,2417.78,2417.78,19April2024,No,4_kDa
241,WT,F,Selenium,718.68,718.68,19April2024,No,4_kDa
242,WT,F,Selenium,395.705,395.705,19April2024,No,4_kDa
243,HET,F,Selenium,799.71,799.71,19April2024,No,4_kDa
245,HET,M,Selenium,651.21,651.21,19April2024,No,4_kDa
246,HET,M,Selenium,1243.65,1243.65,19April2024,No,4_kDa
247,HET,M,Selenium,714.965,714.965,19April2024,No,4_kDa
248,MUT,M,Selenium,1604.1,1604.1,19April2024,No,4_kDa
249,WT,F,Selenium,653.315,653.315,19April2024,No,4_kDa
250,HET,F,Selenium,429.035,429.035,19April2024,No,4_kDa
4,MUT,M,Selenium,1542.784,1542.784,26April2024,Yes,4_kDa
8,MUT,F,Selenium,3164.91,3164.91,3May2024,No,4_kDa
68,MUT,F,Selenium,1069.035,1069.035,17May2024,No,4_kDa
70,MUT,F,Selenium,5829.965,5829.965,17May2024,No,4_kDa
71,WT,F,Selenium,1467.59,1467.59,17May2024,No,4_kDa
57,WT,F,Selenium,1081.3,1081.3,24May2024,No,4_kDa
60,HET,F,Selenium,405.3,405.3,24May2024,No,4_kDa
61,WT,M,Selenium,1466.555,1466.555,24May2024,No,4_kDa
62,WT,M,Selenium,1915.085,1915.085,24May2024,No,4_kDa
64,MUT,F,Selenium,474.205,474.205,07June2024,No,4_kDa
67,MUT,M,Selenium,853.97,853.97,07June2024,No,4_kDa
46,MUT,M,Selenium,10721.435,10721.435,14June2024,No,4_kDa
80,WT,M,Selenium,1158.81,1158.81,14June2024,No,4_kDa
84,WT,M,Selenium,898.055,898.055,05July2024,No,4_kDa
178,WT,M,Selenium,1391.46,1391.46,19July2024,No,4_kDa
,MUT,M,Selenium,2463.29,2463.29,26April2024_B2,Yes,4_kDa
