"","sample","x","y"
"MGYG000377617","MGYG000377617",0.501242802632339,-0.0729813580975836
"Prevotella sp002933775","Prevotella sp002933775",0.491870810739731,-0.0728336165193642
"Alistipes sp002428825","Alistipes sp002428825",0.490871716876609,-0.0866818704558943
"MGYG000324069","MGYG000324069",0.490422127090227,-0.0868530127902764
"MGYG000325640","MGYG000325640",0.489729792224246,-0.0910108489740518
"Alistipes sp009774895","Alistipes sp009774895",0.487818325922065,-0.074521603380374
"MGYG000329177","MGYG000329177",0.48777880608348,-0.0775792996529334
"MGYG000328446","MGYG000328446",0.485458428082226,-0.0671212566902939
"Harryflintia sp022792175","Harryflintia sp022792175",0.484802975651441,-0.078870859312107
"Cryptobacteroides sp009774765","Cryptobacteroides sp009774765",0.482401364494547,-0.0901132916226272
"Bacteroides intestinalis","Bacteroides intestinalis",0.247778572959022,-0.358059446765393
"MGYG000357081","MGYG000357081",0.247187493069559,-0.356668742178169
"Parabacteroides goldsteinii","Parabacteroides goldsteinii",0.250028209997327,-0.3464413554051
"Enterococcus_D gallinarum","Enterococcus_D gallinarum",0.208219990757928,-0.346226646567305
"Parabacteroides distasonis","Parabacteroides distasonis",0.253636139776318,-0.340497001659148
"MGYG000325504","MGYG000325504",0.268977405440691,-0.332344755331485
"RGIG8607 sp910588535","RGIG8607 sp910588535",0.258937931164691,-0.329189497025299
"Longicatena caecimuris","Longicatena caecimuris",0.213097049417897,-0.325629912747679
"Prevotella faecis","Prevotella faecis",0.244544494985429,-0.323708155101608
"Escherichia coli","Escherichia coli",0.189481469806034,-0.323091228664684
