"","sample","x","y"
"s__GGB28904_SGB41597","s__GGB28904_SGB41597",-0.24727233082971,0.0741202453396042
"s__GGB28981_SGB41694","s__GGB28981_SGB41694",0.215881782302619,-0.0102303491168635
"s__GGB79760_SGB63182","s__GGB79760_SGB63182",0.212803090159418,-0.0663842160234058
"s__GGB75879_SGB103683","s__GGB75879_SGB103683",0.200444780390779,0.0097943217064224
"s__Muribaculaceae_bacterium_Isolate_013_NCI","s__Muribaculaceae_bacterium_Isolate_013_NCI",0.197436622991187,-0.0207888498553987
"s__Duncaniella_dubosii","s__Duncaniella_dubosii",0.192939242406435,-0.046660866133334
"s__GGB28778_SGB41431","s__GGB28778_SGB41431",0.192628118651183,-0.075474823419595
"s__GGB27919_SGB40357","s__GGB27919_SGB40357",0.192430274986174,-0.0525147257031296
"s__GGB28772_SGB41425","s__GGB28772_SGB41425",0.192293707163684,-0.0466811069287733
"s__Bacteroidales_bacterium","s__Bacteroidales_bacterium",0.191984040037777,-0.011545481799291
"s__Dorea_sp_5_2","s__Dorea_sp_5_2",-0.174574370096037,0.160627444380939
"s__bacterium_D16_63","s__bacterium_D16_63",0.0796109341174095,-0.122100499051371
"s__Hungateiclostridiaceae_bacterium_KB18","s__Hungateiclostridiaceae_bacterium_KB18",-0.162786398564311,0.112191354075122
"s__GGB14001_SGB21428","s__GGB14001_SGB21428",-0.0313491936560043,0.103285284781632
"s__GGB25041_SGB36960","s__GGB25041_SGB36960",0.0887743373527344,-0.0965196420181552
"s__Akkermansia_muciniphila","s__Akkermansia_muciniphila",0.00533519596098577,0.091670680031127
"s__Adlercreutzia_mucosicola","s__Adlercreutzia_mucosicola",0.069027155451472,0.0915000646474586
"s__Atopobiaceae_bacterium_FL090493","s__Atopobiaceae_bacterium_FL090493",-0.0287183076362574,0.0886915039274385
"s__GGB27873_SGB41457","s__GGB27873_SGB41457",0.0178458046582232,0.0879027128527613
"s__GGB28988_SGB41701","s__GGB28988_SGB41701",0.105045594335692,-0.0873871252224405
