feature	Acutalibacter_caecimuris	Acutalibacter_intestini	Acutalibacter_muris	Acutalibacter_sp_1XD8_33	Adlercreutzia_SGB42953	Adlercreutzia_aquisgranensis	Adlercreutzia_caecimuris	Adlercreutzia_mucosicola	Adlercreutzia_muris	Akkermansia_muciniphila	Alistipes_timonensis	Anaerostipes_hominis_ex_Lee_et_al_2021	Bacillota_unclassified_SGB43543	Bacillota_unclassified_SGB63211	Bacteroidales_bacterium	Bifidobacterium_pseudolongum	Blautia_pseudococcoides	Caniella_muris	Clostridia_bacterium	Clostridiaceae_bacterium	Clostridiales_bacterium	Coriobacteriaceae_bacterium	Duncaniella_dubosii	Duncaniella_freteri	Duncaniella_muricolitica	Duncaniella_muris	Eubacteriaceae_bacterium	Faecalibaculum_rodentium	GGB115370_SGB161393	GGB14001_SGB21428	GGB143828_SGB43507	GGB1503_SGB2082	GGB18828_SGB27767	GGB22635_SGB33556	GGB22635_SGB63107	GGB24132_SGB35935	GGB24146_SGB35950	GGB24148_SGB35952	GGB25041_SGB36960	GGB27478_SGB39772	GGB27480_SGB39776	GGB27482_SGB39778	GGB27849_SGB40283	GGB27860_SGB40294	GGB27861_SGB40295	GGB27866_SGB40300	GGB27873_SGB41457	GGB27876_SGB40310	GGB27884_SGB40318	GGB27885_SGB40319	GGB27894_SGB40329	GGB27919_SGB40357	GGB27929_SGB40368	GGB28310_SGB40880	GGB28317_SGB40889	GGB28380_SGB40960	GGB28382_SGB40962	GGB28765_SGB41414	GGB28769_SGB41421	GGB28778_SGB41431	GGB28793_SGB41446	GGB28796_SGB41449	GGB28803_SGB41457	GGB28870_SGB41545	GGB28901_SGB41592	GGB28904_SGB41597	GGB28934_SGB41635	GGB28946_SGB41652	GGB28949_SGB41655	GGB28956_SGB41665	GGB28990_SGB41704	GGB29003_SGB41719	GGB29531_SGB42317	GGB30045_SGB42945	GGB30046_SGB42947	GGB30294_SGB43258	GGB30296_SGB43260	GGB30298_SGB43262	GGB30454_SGB43516	GGB30455_SGB43519	GGB30461_SGB102216	GGB30461_SGB43529	GGB30461_SGB63209	GGB30475_SGB63182	GGB30861_SGB44083	GGB3171_SGB4185	GGB32371_SGB41694	GGB42570_SGB59765	GGB42598_SGB59794	GGB42646_SGB59844	GGB45514_SGB63186	GGB46159_SGB63927	GGB46162_SGB63930	GGB70518_SGB94950	GGB70852_SGB95305	GGB75057_SGB102223	GGB75074_SGB102167	GGB75104_SGB102231	GGB75725_SGB102612	GGB75726_SGB102611	GGB75879_SGB103683	GGB9439_SGB42949	Hominisplanchenecus_murintestinalis	Lachnospiraceae_bacterium	Lachnospiraceae_bacterium_A2	Lachnospiraceae_unclassified_SGB41405	Lachnospiraceae_unclassified_SGB7275	Lactobacillus_intestinalis	Lactobacillus_johnsonii	Lepagella_muris	Ligilactobacillus_murinus	Limosilactobacillus_reuteri	Muribaculaceae_bacterium	Muribaculum_gordoncarteri	Muribaculum_intestinale	Muricaecibacterium_torontonense	Neglectibacter_caecimuris	Neglectibacter_sp_X4	Oscillibacter_SGB43496	Oscillibacter_SGB43499	Oscillospiraceae_bacterium	Oscillospiraceae_unclassified_SGB43526	Paramuribaculum_intestinale	Parasutterella_muris	Parvibacter_caecicola	Sangeribacter_muris	Schaedlerella_arabinosiphila	Turicibacter_sp_1E2	Turicimonas_muris
SLC_SMT_NEG_18J	NA	-10.5228502811648	-10.7207896587767	NA	NA	NA	NA	NA	-6.76453749475961	-3.13675231065585	NA	-10.5261047772115	-10.6839745012533	-10.8494098247838	NA	-5.88259916414025	NA	-10.1598567844129	-10.9454554936143	-10.5168096790075	NA	NA	NA	NA	-8.02633648246124	NA	-10.9810493537717	-2.17029423110953	NA	-5.30698526962211	NA	NA	NA	NA	NA	NA	NA	-8.4150505787553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.4261721858747	-4.67467628697147	NA	NA	-11.093424193001	NA	NA	NA	NA	-11.2469819148733	NA	-10.034863497611	NA	-8.86208169094048	NA	NA	NA	-10.180221277414	NA	NA	-11.1009352039897	-7.49321275176238	NA	NA	NA	NA	NA	-10.8217036595949	NA	NA	NA	NA	-7.79279520861472	NA	NA	NA	NA	NA	-10.5189321932916	-6.94269729859927	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.83166668048131	NA	-4.56210932506894	NA	NA	-9.55883014441957	NA	NA	NA	-11.0043366619362	NA	NA	NA	NA	-1.05279159728662	NA	NA	NA	NA	NA	NA	NA	-7.57652221411128	NA	NA	NA	NA	NA
SLC_SMT_NEG_101J	-10.4157236538204	-9.90576241953046	NA	NA	NA	-9.74479682121703	-7.02787016164341	-9.37656170167014	-6.61854814888188	-5.71946920664543	NA	NA	NA	NA	-6.72549907147088	-7.15610008834558	NA	-7.46939890537532	-10.9415601037919	-8.87075778082408	-10.1130736565536	-8.94644757587014	-6.83077908379781	-9.94264477870324	-8.86237597992304	-8.660158932893	-9.75306443720063	-4.01858839506012	NA	-6.56214917650962	NA	-5.83317483503277	-8.99408489346495	NA	-8.56772674726546	-4.56063919024984	-7.07540885874086	-6.72621601314946	NA	NA	-11.4494660793001	-11.2247470849437	-5.9484208281194	-9.0056165157923	-9.35422449429749	-9.00149325668339	NA	-7.89002097142798	-7.08630570478538	-9.17173113162865	NA	-1.9823496612919	-9.02575448651948	-3.0122937518269	-9.84989388369456	NA	NA	NA	-9.52834377354351	-9.10559177440967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.33849850060637	-10.0828635629235	-9.81386231532788	NA	-10.1389483415697	NA	NA	NA	NA	NA	-9.97906334284177	-7.8974758083455	NA	-8.36992836919448	NA	-8.37081452952784	NA	NA	-8.55760169406718	-9.68185979702933	NA	-5.10213582653862	-10.4319521156123	-9.76302115249315	NA	-11.0211640893348	NA	-9.92202130659266	-8.37933898807955	NA	-4.17636593955093	NA	NA	-9.67373191614593	-10.6209337166926	-10.1823992364744	-6.49468726651299	-10.5286927704506	-10.7566027911168	-7.13413879955157	-5.92076116076674	-6.49121135275677	-2.69710458581212	NA	-9.74128726942427	NA	NA	NA	NA	-6.63181157974608	-9.71655894988715	-9.59633893351317	-9.40169860549049	NA	NA	-8.63001629923154
SLC_SMT_NEG_17J	NA	NA	NA	NA	-8.3029681979883	-8.8623448173171	-8.78865238502024	NA	-7.31467615539777	-3.9079726696681	NA	NA	NA	NA	-7.35287643374739	-4.95929894254534	NA	NA	NA	NA	NA	-8.39597038265241	-7.07548398746668	NA	-7.65578333825956	-7.74298945850261	NA	-2.17461832905427	NA	-7.54892681984516	NA	-5.21216007404225	-7.89919282320252	NA	NA	-6.20823878254333	-8.09053593155878	-7.4432246347919	NA	NA	NA	-9.63174804920885	-5.7903142653335	-7.55743944829142	-8.53563699657936	-8.26550174057103	NA	-8.18519162807178	-5.52497533556204	-8.47512652065198	NA	-3.16504436978065	-8.22638851239043	-6.3454448740603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.43826995542862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.29654907709402	NA	NA	-8.90687226236291	-6.94476515238142	NA	NA	-6.06419496859841	-8.71425773995929	NA	-3.18990088625028	NA	NA	NA	NA	NA	-6.76469858000565	-8.05164174956398	-8.1499039801298	-6.53875858822107	NA	NA	NA	NA	NA	-6.39365637935809	NA	NA	-5.93357874939466	-6.26518834966269	-5.68025196225057	-2.7266900977873	NA	NA	NA	NA	NA	NA	-8.24018111305319	-8.7057273674887	NA	-8.41740036281571	NA	NA	-8.05299360033839
SLC_SMT_NEG_193J	-12.3059678591431	-10.7083051993126	-11.0735232850221	-10.7175664088444	NA	-9.83384625393633	-7.03279172090491	-11.8351285681959	-6.8452014570285	-6.78720666848416	-11.5592816552148	NA	-11.2183456569028	-11.5489245736737	-6.88350425898967	-7.932087684621	NA	-7.29768917625053	-10.3788993815969	-9.50464887040003	-10.2213765299521	-8.46340208746606	-7.09555374902862	-11.5490247712666	-7.25418321398016	-8.92965595091527	-11.156888676109	-2.2421772003072	-11.7736567539416	-7.17598350102503	NA	-5.94064144601319	-10.3205187419943	-11.5451222125079	-9.24076855953263	-5.28133150066768	-7.81516875913292	-9.15465706980476	-10.8012579556465	-12.8582831259644	-12.3146296600854	-11.4593827298227	-6.12462776131096	-8.96571653630986	-12.0946484898534	-9.32154538857092	NA	-8.54572191947552	-6.16307700004007	-8.90487201680097	NA	-2.70361727965504	-9.51704201830399	-4.0814028041522	-10.7361550296537	NA	NA	NA	-11.1316094571228	-10.159410536875	-11.2326786407459	NA	NA	-10.7367255354508	-11.3517278512492	-11.4834052563089	-11.5990819575667	-10.7683392952103	-11.7810518954401	-11.4110476474637	-10.9494404607209	NA	-11.8089762803399	-6.48862684657843	-10.4105013789828	-11.1292854915255	-10.7958974279006	-10.7612990481344	-10.6413461424818	-11.9496388556754	-9.79120843489209	-12.2632577638531	-11.7404393323832	-11.058539511129	-8.11805591342858	-11.6050072184324	NA	-9.12717093938878	-11.0593956253115	-10.8209644201023	-11.194403568019	-8.69481487878478	-10.3039373239157	NA	-4.49485627837652	-11.3116516090482	-10.6069877256454	NA	-10.7551018700803	-12.8336631591914	-9.83699300915099	-8.01545138567393	-6.69998934830097	-4.77989206555299	-10.7102087127786	-11.5442231192151	-11.8567940203367	-10.0838657477062	-8.64519689705501	-7.39156728554122	-10.9270655263295	-10.1085365621988	-7.38381133867997	-5.00653730938829	-5.41755044730842	-2.62441453956017	-12.1780401218101	-10.8320163513053	-11.8703768250041	-11.693942151081	-10.5851961332119	-11.6931668360812	-5.18422033863772	-9.23848426242709	-11.3148852078748	-10.2378380384338	-10.6050072184324	-12.0733071023528	-10.2120252723054
SLC_SMT_NEG_159J	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.38814185223314	NA	NA	NA	NA	NA	NA	NA	-4.44601748947792	NA	NA	NA	NA	NA	NA	-3.91026370704677	NA	NA	-1.85576421921664	NA	-3.83507698968615	NA	NA	NA	NA	NA	NA	NA	-4.90588284917403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.53693127441588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.97825187206156	NA	NA	NA	-3.96514110205145	NA	NA	-3.12322230348509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.11142399365421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC_SMT_NEG_103J	NA	NA	NA	NA	NA	-10.078590068671	-7.51063233318313	-9.71771264270936	-6.82490460696644	-5.5705416055207	NA	NA	NA	NA	-7.75933143278092	-7.20163174433929	NA	-6.10651283041737	-11.7402082149226	-9.10561655125348	NA	-8.85655769102018	-5.89607933481861	-10.2209422143074	-9.63100509763472	-9.49994134188203	-9.39025168980145	-2.69896262485927	-10.6960456395239	-6.34756654924638	NA	-5.21254307095369	-10.5206183892492	NA	-9.86767312638252	-4.93108073244873	-8.00850077094411	-8.18082826260172	-7.67628731594509	NA	NA	NA	-7.28466239134023	-9.5840421666572	-10.6976574093718	-10.3583530302937	NA	-6.93614333571266	-7.2854498969194	-10.2211740097836	NA	-2.09570938338076	-10.2337465951549	-3.65963394471035	NA	NA	-11.0063019973353	NA	NA	NA	NA	-10.7710979087373	-10.1744180234762	NA	NA	-9.2094571526268	NA	-9.23614548029351	NA	NA	NA	NA	NA	-6.58801620158766	-10.6607203609642	NA	NA	NA	-9.99724250175968	NA	NA	-10.297329630948	NA	NA	-8.31290091933678	NA	-10.0539173365468	NA	NA	NA	NA	-9.52927422778173	-10.2739376669932	NA	-7.10309123803278	NA	-10.3335829554599	NA	-12.5294894964958	NA	-11.3921425519882	-8.07261746927536	NA	-5.40370037054757	NA	NA	NA	-11.4561779908688	-10.6881738915828	-8.79876629412857	-9.17677637809464	-10.3282051254056	-7.29159811020884	-5.5848994826519	-5.38252658155712	-2.57820188207348	NA	NA	NA	-10.3008774941891	NA	NA	-7.15897380740208	-8.93746383690806	-9.36884354325005	-9.15907094970547	NA	-5.43145741353527	-6.71339592782985
SLC_SMT_NEG_155J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.13223133847275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.561340792621145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.26343468543012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC_SMT_NEG_158J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC_SMT_NEG_110J	NA	NA	NA	NA	NA	-9.65273357401714	-7.38621972368839	-9.64139420401975	-6.63446725955989	-5.09190237975973	NA	NA	NA	NA	-6.93009224696014	-6.73662218987681	NA	-6.57838836296695	NA	-10.3617601612735	NA	-9.112725172623	-6.84218292940708	-9.96163367804869	-8.7747144927926	-9.06190436922468	-10.3587126420987	-2.49613381743297	NA	-6.78911662398115	NA	-6.0901835989618	-9.28418321000654	NA	-8.81294028935836	-4.74652742789311	-7.61234044267221	-7.82327398193305	-9.51914597622234	NA	NA	-11.6983295843852	-5.78382509502847	-8.71406515067631	-9.90529913704815	-10.0641364919612	NA	-7.05276397623337	-5.70109507130851	-9.42984801701193	NA	-2.07141191099466	-10.1591583464816	-4.72378863165866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.68941258536377	-9.3873837820401	NA	NA	NA	NA	NA	NA	NA	NA	NA	-8.33074949308561	NA	-9.79759011823069	NA	NA	NA	NA	-8.24539146451671	-10.6179770427299	NA	-5.32316948290016	NA	NA	NA	-11.6346515471045	NA	-10.2591769685478	-8.66247079601875	NA	-5.75544242273938	NA	NA	NA	-10.4530605944062	-9.57578734624274	-7.72018773179116	-10.5137971522301	-10.6797657653469	-7.59397052751634	-5.36217016274187	-5.99897188572269	-2.40366037555372	NA	NA	NA	NA	NA	NA	-7.23170159317179	-9.31597077207592	-9.83659414265939	-9.44003811361261	NA	-9.01803227218533	-7.63947441907801
SLC_SMT_NEG_153J	NA	NA	NA	NA	-9.89076622328524	-10.3513969981963	-10.1917121190283	NA	-7.96734925508276	-3.84578808947096	NA	NA	NA	NA	-7.71340211758852	-5.17955817156679	NA	-10.7026047259961	NA	NA	-10.8937047028962	-9.86497022240791	-7.90653246387323	NA	-8.68884309653938	-8.69904489696158	NA	-2.52112331810681	NA	-8.44434482548265	NA	-4.66573602196653	-8.65342461335087	-10.5218607207207	-10.8270273375138	-5.56343229162287	-8.7438112075948	-8.78459207119341	-9.411896220569	-11.7695798767652	-12.2086880507956	-10.478128034112	-5.54802952599917	-7.96443724359778	-10.0713841328134	-9.37920016609682	NA	-8.51520816420433	-5.75933770187959	-9.65388122153036	NA	-2.34480556153492	-10.1114147138942	-6.57605789671603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1067474516332	NA	NA	NA	NA	NA	NA	NA	NA	-8.86795288686471	-10.8609390048481	-11.0575878390139	NA	NA	NA	NA	NA	NA	NA	NA	-8.69335884433771	NA	NA	NA	-7.82817464721233	NA	NA	-6.90154538932239	-9.86074732278563	-10.8835434605483	-3.26711195082669	NA	NA	NA	-11.6099677660634	NA	-7.61268867312954	-8.2829582816642	-10.2209371907821	-7.88529702351228	NA	-10.1326641392906	NA	-11.153174527323	-11.4560972726751	-7.19584674004734	NA	NA	-6.98682718056551	-6.18371050379864	-5.85881395653207	-2.46915169274298	NA	NA	NA	NA	NA	NA	-9.16058776394159	-9.58141756540111	-10.8854919954757	-10.0311395938809	NA	NA	-8.96887202471136
