MouseID,Sex,Genotype,TL1A,Score
138,F,WT,Negative,4
453,F,WT,Negative,2
486,F,WT,Negative,4
487,F,WT,Negative,3
58,F,WT,Negative,5
62,F,WT,Negative,4
240,F,WT,Negative,4
114,M,WT,Negative,4
129,M,WT,Negative,4
248,M,WT,Negative,5
441,M,WT,Negative,5
458,M,WT,Negative,4
695,M,WT,Negative,4
57,M,WT,Negative,3
247,M,WT,Negative,4
188,F,HET,Negative,6
197,F,HET,Negative,5
207,F,HET,Negative,5
282,F,HET,Negative,6
312,F,HET,Negative,4
319,F,HET,Negative,7
342,F,HET,Negative,5
488,F,HET,Negative,3
490,F,HET,Negative,3
60,F,HET,Negative,3
82,F,HET,Negative,4
51,F,HET,Negative,6
116,M,HET,Negative,6
183,M,HET,Negative,5
184,M,HET,Negative,5
210,M,HET,Negative,5
492,M,HET,Negative,3
54,M,HET,Negative,5
81,M,HET,Negative,4
244,M,HET,Negative,4
123,F,MUT,Negative,6
124,F,MUT,Negative,6
194,F,MUT,Negative,5
195,F,MUT,Negative,7
252,F,MUT,Negative,4
393,F,MUT,Negative,4
445,F,MUT,Negative,5
446,F,MUT,Negative,4
127,M,MUT,Negative,5
128,M,MUT,Negative,4
132,M,MUT,Negative,5
211,M,MUT,Negative,5
186,M,MUT,Negative,5
362,M,MUT,Negative,6
365,M,MUT,Negative,3
697,M,MUT,Negative,3
696,M,MUT,Negative,5
55,M,MUT,Negative,4
56,M,MUT,Negative,5
80,M,MUT,Negative,4
224,M,MUT,Negative,4
242,M,MUT,Negative,7
243,M,MUT,Negative,5
125,F,WT,Positive,5
137,F,WT,Positive,5
187,F,WT,Positive,5
206,F,WT,Positive,6
349,F,WT,Positive,2
448,F,WT,Positive,4
452,F,WT,Positive,3
115,M,WT,Positive,5
363,M,WT,Positive,3
364,M,WT,Positive,4
440,M,WT,Positive,3
457,M,WT,Positive,3
52,M,WT,Positive,4
223,M,WT,Positive,6
366,F,HET,Positive,5
367,F,HET,Positive,5
392,F,HET,Positive,6
489,F,HET,Positive,4
491,F,HET,Positive,4
59,F,HET,Positive,3
118,M,HET,Positive,6
121,M,HET,Positive,4
209,M,HET,Positive,5
185,M,HET,Positive,5
310,M,HET,Positive,5
311,M,HET,Positive,6
439,M,HET,Positive,4
442,M,HET,Positive,4
53,M,HET,Positive,6
245,M,HET,Positive,3
246,M,HET,Positive,5
135,F,MUT,Positive,6
136,F,MUT,Positive,6
208,F,MUT,Positive,6
253,F,MUT,Positive,7
254,F,MUT,Positive,6
283,F,MUT,Positive,5
284,F,MUT,Positive,4
343,F,MUT,Positive,2
391,F,MUT,Positive,6
447,F,MUT,Positive,3
61,F,MUT,Positive,6
241,F,MUT,Positive,5
119,M,MUT,Positive,6
130,M,MUT,Positive,7
131,M,MUT,Positive,6
286,M,MUT,Positive,6
394,M,MUT,Positive,5
443,M,MUT,Positive,3
