ProteinID
P43274
P11679
P43275
P51881
Q64525
Q8BFZ3
Q8VDN2
Q922U2
Q9CQW5
 Q6ZQM8
 P19536
 Q64133
 Q64525
 Q8VEK3. 
 Q922Q8
 Q9CQX2 
P15864
P27661
P43276
P56135
Q6GSS7
Q8BFZ9. 
Q922Q1
Q9D312
 Q60931
