"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UBA11957 sp910588295"	"Genotype"	"MUT"	"GenotypeMUT"	-5.24421329566738	0.195151488441185	0.515144962813455	3.05222513929948e-12	3.86350658132528e-08	3.05222513929948e-12	2.15731272845687e-08	NA	"abundance"	47	39
"Choladocola sp910574965"	"Genotype"	"MUT"	"GenotypeMUT"	4.53909917969564	0.195151488441185	0.447819652411789	1.54565249488314e-11	9.78243464011541e-08	1.54565249488314e-11	5.46233591691703e-08	NA	"abundance"	47	41
"Parvibacter caecicola"	"Sex"	"M"	"SexM"	-4.65150326132292	-0.415249466173014	0.577424847498809	1.29769740508934e-08	5.47541791787361e-05	1.29769740508934e-08	3.05737508639048e-05	NA	"abundance"	47	41
"Lawsonibacter sp910589085"	"Genotype"	"MUT"	"GenotypeMUT"	4.13546959551538	0.195151488441185	0.534749488028322	2.36538819642362e-08	5.98821675806604e-05	2.36538819642362e-08	3.34371275446443e-05	NA	"abundance"	47	37
"MGYG000323047"	"Genotype"	"MUT"	"GenotypeMUT"	2.74607177991545	0.195151488441185	0.360875543508721	2.26419936133482e-08	5.98821675806604e-05	2.26419936133482e-08	3.34371275446443e-05	NA	"abundance"	47	43
"MGYG000329984"	"Sex"	"M"	"SexM"	-3.36401909162842	-0.415249466173014	0.419729818721563	3.01675753267006e-08	6.27598069959299e-05	3.01675753267006e-08	3.50439497430268e-05	NA	"abundance"	47	42
"Muribaculum gordoncarteri"	"Sex"	"M"	"SexM"	-5.51485127727668	-0.415249466173014	0.751445397078672	3.47067979911131e-08	6.27598069959299e-05	3.47067979911131e-08	3.50439497430268e-05	NA	"abundance"	47	46
"MD308 sp010206225"	"Genotype"	"MUT"	"GenotypeMUT"	2.96856771319338	0.195151488441185	0.410543470809501	3.98329770279204e-08	6.30257279024271e-05	3.98329770279204e-08	3.51924352041677e-05	NA	"abundance"	47	46
"Thomasclavelia cocleata"	"Genotype"	"MUT"	"GenotypeMUT"	4.63502472879028	0.195151488441185	0.551380733197447	5.51565504380847e-08	7.75746239383639e-05	1.10313097833924e-07	8.66325528322416e-05	NA	"abundance"	47	27
"Enterenecus sp910579155"	"Genotype"	"MUT"	"GenotypeMUT"	3.79592626395902	0.195151488441185	0.544888165757977	1.97389113720803e-07	0.000249855140147792	1.97389113720803e-07	0.000139514625577863	NA	"abundance"	47	37
