"ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UniprotID","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology.IDs","Gene.Ontology..cellular.component.","Gene.Ontology..molecular.function.","Interacts.with","Gene.Ontology..GO.","Subcellular.location..CC.","IsSelenoprotein"
"Q91VL9",2.26425387039274,14.2506058674074,3.45946087010256,0.00199313242280194,0.748713592262035,-4.25534462468848,"Q91VL9","Q91VL9","Q91VL9","reviewed","ZBTB1_MOUSE","Zinc finger and BTB domain-containing protein 1","Zbtb1","Mus musculus (Mouse)",713,"B cell differentiation [GO:0030183]; cellular response to UV [GO:0034644]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; innate immune response [GO:0045087]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of pro-T cell differentiation [GO:2000176]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell mediated immunity [GO:0002711]; protein homooligomerization [GO:0051260]; T cell differentiation in thymus [GO:0033077]; thymus development [GO:0048538]; translesion synthesis [GO:0019985]","GO:0000122; GO:0002711; GO:0003677; GO:0005634; GO:0005654; GO:0006281; GO:0006338; GO:0006974; GO:0008270; GO:0016604; GO:0019985; GO:0030183; GO:0031965; GO:0032825; GO:0033077; GO:0034644; GO:0042789; GO:0042803; GO:0045087; GO:0045582; GO:0046982; GO:0048538; GO:0051260; GO:0070530; GO:2000176","nuclear body [GO:0016604]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","DNA binding [GO:0003677]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]","","nuclear body [GO:0016604]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]; B cell differentiation [GO:0030183]; cellular response to UV [GO:0034644]; chromatin remodeling [GO:0006338]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; innate immune response [GO:0045087]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of pro-T cell differentiation [GO:2000176]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of T cell mediated immunity [GO:0002711]; protein homooligomerization [GO:0051260]; T cell differentiation in thymus [GO:0033077]; thymus development [GO:0048538]; translesion synthesis [GO:0019985]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y2K1}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9Y2K1}. Note=Localized in dot-like structures in the nucleus. Colocalized with SMRT in nuclear bodies. The sumoylated form is preferentially located in the nucleoplasm outside the nuclear bodies (By similarity). {ECO:0000250|UniProtKB:Q9Y2K1}.",FALSE
"Q924N4",-0.675584239572048,19.2820098392593,-3.44668355820228,0.00205740517654561,0.748713592262035,-4.25729902704484,"Q924N4","Q924N4","Q924N4","reviewed","S12A6_MOUSE","Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)","Slc12a6 Kcc3","Mus musculus (Mouse)",1150,"cell volume homeostasis [GO:0006884]; cellular hypotonic salinity response [GO:0071477]; cellular response to glucose stimulus [GO:0071333]; chloride ion homeostasis [GO:0055064]; potassium ion homeostasis [GO:0055075]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transmembrane transport [GO:0071805]","GO:0005886; GO:0006884; GO:0015379; GO:0016323; GO:0019901; GO:0030424; GO:0046872; GO:0055064; GO:0055075; GO:0071333; GO:0071477; GO:0071805; GO:1990573","axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886]","metal ion binding [GO:0046872]; potassium:chloride symporter activity [GO:0015379]; protein kinase binding [GO:0019901]","Q9Z1W9","axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; potassium:chloride symporter activity [GO:0015379]; protein kinase binding [GO:0019901]; cell volume homeostasis [GO:0006884]; cellular hypotonic salinity response [GO:0071477]; cellular response to glucose stimulus [GO:0071333]; chloride ion homeostasis [GO:0055064]; potassium ion homeostasis [GO:0055075]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transmembrane transport [GO:0071805]","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9UHW9}. Basolateral cell membrane {ECO:0000269|PubMed:16048901}; Multi-pass membrane protein {ECO:0000269|PubMed:16048901}.",FALSE
"P56528",-0.830960537984832,22.3082223207407,-3.41254910489929,0.00223915843788552,0.748713592262035,-4.26252948667234,"P56528","P56528","P56528","reviewed","CD38_MOUSE","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPR hydrolase 1) (I-19) (NIM-R5 antigen) (CD antigen CD38)","Cd38","Mus musculus (Mouse)",304,"B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of DNA-templated transcription [GO:0045893]; response to xenobiotic stimulus [GO:0009410]","GO:0005886; GO:0009410; GO:0009986; GO:0016020; GO:0016740; GO:0016798; GO:0016849; GO:0030890; GO:0042100; GO:0042802; GO:0043066; GO:0045892; GO:0045893; GO:0050853; GO:0061809","cell surface [GO:0009986]; membrane [GO:0016020]; plasma membrane [GO:0005886]","hydrolase activity, acting on glycosyl bonds [GO:0016798]; identical protein binding [GO:0042802]; NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]; phosphorus-oxygen lyase activity [GO:0016849]; transferase activity [GO:0016740]","P56528","cell surface [GO:0009986]; membrane [GO:0016020]; plasma membrane [GO:0005886]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; identical protein binding [GO:0042802]; NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]; phosphorus-oxygen lyase activity [GO:0016849]; transferase activity [GO:0016740]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of DNA-templated transcription [GO:0045893]; response to xenobiotic stimulus [GO:0009410]","SUBCELLULAR LOCATION: Membrane {ECO:0000305|PubMed:11829748, ECO:0000305|PubMed:8376770}; Single-pass type II membrane protein {ECO:0000305|PubMed:8376770}.",FALSE
"Q8BHS3",0.647580499566631,18.3579695659259,3.38012177304313,0.00242622322298527,0.748713592262035,-4.26751036698498,"Q8BHS3","Q8BHS3","Q8BHS3","reviewed","RBM22_MOUSE","Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22)","Rbm22","Mus musculus (Mouse)",420,"cellular response to xenobiotic stimulus [GO:0071466]; mRNA cis splicing, via spliceosome [GO:0045292]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of RNA splicing [GO:0033120]","GO:0005634; GO:0005654; GO:0005737; GO:0008270; GO:0017070; GO:0033120; GO:0036002; GO:0042307; GO:0045292; GO:0046827; GO:0048306; GO:0071007; GO:0071466","cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type catalytic step 2 spliceosome [GO:0071007]","calcium-dependent protein binding [GO:0048306]; pre-mRNA binding [GO:0036002]; U6 snRNA binding [GO:0017070]; zinc ion binding [GO:0008270]","","cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type catalytic step 2 spliceosome [GO:0071007]; calcium-dependent protein binding [GO:0048306]; pre-mRNA binding [GO:0036002]; U6 snRNA binding [GO:0017070]; zinc ion binding [GO:0008270]; cellular response to xenobiotic stimulus [GO:0071466]; mRNA cis splicing, via spliceosome [GO:0045292]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of RNA splicing [GO:0033120]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9NW64}. Cytoplasm {ECO:0000250|UniProtKB:Q9NW64}. Note=Nearly exclusively nuclear. Translocated from the nucleus to the cytoplasm after heat shock cell treatment. May be shuttling between the nucleus and the cytosol. {ECO:0000250|UniProtKB:Q9NW64}.",FALSE
"Q148W0",-0.663462883169013,20.948842067037,-3.35387674303353,0.00258865398464664,0.748713592262035,-4.27154975462809,"Q148W0","Q148W0","Q148W0","reviewed","AT8B1_MOUSE","Phospholipid-transporting ATPase IC (EC 7.6.2.1) (ATPase class I type 8B member 1) (P4-ATPase flippase complex alpha subunit ATP8B1)","Atp8b1","Mus musculus (Mouse)",1251,"aminophospholipid transport [GO:0015917]; apical protein localization [GO:0045176]; bile acid and bile salt transport [GO:0015721]; bile acid metabolic process [GO:0008206]; inner ear receptor cell development [GO:0060119]; negative regulation of DNA-templated transcription [GO:0045892]; organic anion transport [GO:0015711]; regulation of chloride transport [GO:2001225]; regulation of microvillus assembly [GO:0032534]; regulation of plasma membrane organization [GO:1903729]; sensory perception of sound [GO:0007605]; vestibulocochlear nerve formation [GO:0021650]; xenobiotic transmembrane transport [GO:0006855]","GO:0000287; GO:0005319; GO:0005524; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0006855; GO:0007605; GO:0008206; GO:0015247; GO:0015711; GO:0015721; GO:0015917; GO:0016324; GO:0016604; GO:0016887; GO:0021650; GO:0032420; GO:0032534; GO:0045176; GO:0045892; GO:0060119; GO:0090554; GO:0090556; GO:0140345; GO:0140346; GO:1901612; GO:1903729; GO:1990531; GO:2001225","apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; nuclear body [GO:0016604]; phospholipid-translocating ATPase complex [GO:1990531]; plasma membrane [GO:0005886]; stereocilium [GO:0032420]","aminophospholipid flippase activity [GO:0015247]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cardiolipin binding [GO:1901612]; lipid transporter activity [GO:0005319]; magnesium ion binding [GO:0000287]; phosphatidylcholine flippase activity [GO:0140345]; phosphatidylcholine floppase activity [GO:0090554]; phosphatidylserine flippase activity [GO:0140346]; phosphatidylserine floppase activity [GO:0090556]","","apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; nuclear body [GO:0016604]; phospholipid-translocating ATPase complex [GO:1990531]; plasma membrane [GO:0005886]; stereocilium [GO:0032420]; aminophospholipid flippase activity [GO:0015247]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cardiolipin binding [GO:1901612]; lipid transporter activity [GO:0005319]; magnesium ion binding [GO:0000287]; phosphatidylcholine flippase activity [GO:0140345]; phosphatidylcholine floppase activity [GO:0090554]; phosphatidylserine flippase activity [GO:0140346]; phosphatidylserine floppase activity [GO:0090556]; aminophospholipid transport [GO:0015917]; apical protein localization [GO:0045176]; bile acid and bile salt transport [GO:0015721]; bile acid metabolic process [GO:0008206]; inner ear receptor cell development [GO:0060119]; negative regulation of DNA-templated transcription [GO:0045892]; organic anion transport [GO:0015711]; regulation of chloride transport [GO:2001225]; regulation of microvillus assembly [GO:0032534]; regulation of plasma membrane organization [GO:1903729]; sensory perception of sound [GO:0007605]; vestibulocochlear nerve formation [GO:0021650]; xenobiotic transmembrane transport [GO:0006855]","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20852622}; Multi-pass membrane protein {ECO:0000269|PubMed:20852622}. Apical cell membrane {ECO:0000269|PubMed:26416959}. Cell projection, stereocilium {ECO:0000269|PubMed:20852622}. Endoplasmic reticulum {ECO:0000250|UniProtKB:O43520}. Golgi apparatus {ECO:0000250|UniProtKB:O43520}. Note=Exit from the endoplasmic reticulum requires the presence of TMEM30A or TMEM30B. Localizes to apical membranes in epithelial cells. {ECO:0000250|UniProtKB:O43520}.",FALSE
"Q9DAS9",-0.640852332256229,23.4760434203704,-3.33463378460867,0.00271440172972655,0.748713592262035,-4.27451584436919,"Q9DAS9","Q9DAS9","Q9DAS9","reviewed","GBG12_MOUSE","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12","Gng12","Mus musculus (Mouse)",72,"G protein-coupled receptor signaling pathway [GO:0007186]","GO:0005834; GO:0007186; GO:0030165; GO:0031681; GO:0045202","heterotrimeric G-protein complex [GO:0005834]; synapse [GO:0045202]","G-protein beta-subunit binding [GO:0031681]; PDZ domain binding [GO:0030165]","","heterotrimeric G-protein complex [GO:0005834]; synapse [GO:0045202]; G-protein beta-subunit binding [GO:0031681]; PDZ domain binding [GO:0030165]; G protein-coupled receptor signaling pathway [GO:0007186]","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}.",FALSE
"P59242",0.800098970650056,20.4919442322222,3.31722447509845,0.00283325382448347,0.748713592262035,-4.27720236949368,"P59242","P59242","P59242","reviewed","CING_MOUSE","Cingulin","Cgn Kiaa1319","Mus musculus (Mouse)",1191,"bicellular tight junction assembly [GO:0070830]; epithelial cell morphogenesis [GO:0003382]; microtubule cytoskeleton organization [GO:0000226]","GO:0000226; GO:0003382; GO:0003779; GO:0005903; GO:0005923; GO:0008017; GO:0016459; GO:0043296; GO:0070830","apical junction complex [GO:0043296]; bicellular tight junction [GO:0005923]; brush border [GO:0005903]; myosin complex [GO:0016459]","actin binding [GO:0003779]; microtubule binding [GO:0008017]","","apical junction complex [GO:0043296]; bicellular tight junction [GO:0005923]; brush border [GO:0005903]; myosin complex [GO:0016459]; actin binding [GO:0003779]; microtubule binding [GO:0008017]; bicellular tight junction assembly [GO:0070830]; epithelial cell morphogenesis [GO:0003382]; microtubule cytoskeleton organization [GO:0000226]","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:15292197}. Note=Localizes to the apical junction complex composed of tight and adherens junction (PubMed:15292197). Colocalizes with SPEF1 at sites of cell-cell contact in intestinal epithelial cells (By similarity). {ECO:0000250|UniProtKB:Q9P2M7, ECO:0000269|PubMed:15292197}.",FALSE
"O35680",-4.08602982989707,17.9139503274074,-3.27033106456794,0.00317900616983657,0.748713592262035,-4.28445241729453,"O35680","O35680","O35680","reviewed","RT12_MOUSE","Small ribosomal subunit protein uS12m (28S ribosomal protein S12, mitochondrial) (MRP-S12) (S12mt) (MT-RPS12)","Mrps12 Rpms12","Mus musculus (Mouse)",139,"mitochondrial translation [GO:0032543]","GO:0003735; GO:0005739; GO:0005743; GO:0005763; GO:0032543","mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]","structural constituent of ribosome [GO:0003735]","","mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:O15235}.",FALSE
"Q5SSF7",1.84042816446587,12.4989040555926,3.25676890893954,0.00328638712164985,0.748713592262035,-4.28655271904932,"Q5SSF7","Q5SSF7","Q5SSF7","reviewed","TET5C_MOUSE","Terminal nucleotidyltransferase 5C (EC 2.7.7.19)","Tent5c Fam46c","Mus musculus (Mouse)",391,"in utero embryonic development [GO:0001701]; mRNA stabilization [GO:0048255]; negative regulation of cell differentiation [GO:0045596]","GO:0001701; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0045596; GO:0048255; GO:1990817","centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]","","centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]; in utero embryonic development [GO:0001701]; mRNA stabilization [GO:0048255]; negative regulation of cell differentiation [GO:0045596]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q5VWP2}. Cytoplasm {ECO:0000269|PubMed:28931820}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q5VWP2}. Note=Recruited into the centrosome through its interaction with PLK4. {ECO:0000250|UniProtKB:Q5VWP2}.",FALSE
"Q99P27",1.21738099992958,13.713048102963,3.17832000646268,0.00397969870072849,0.748713592262035,-4.29872893660445,"Q99P27","Q99P27","Q99P27","reviewed","PG12B_MOUSE","Group XIIB secretory phospholipase A2-like protein (Group XIII secretory phospholipase A2-like protein) (GXIII sPLA2-like) (sPLA2-GXIIB) (GXIIB)","Pla2g12b Pla2g13 Fksg71","Mus musculus (Mouse)",195,"arachidonate secretion [GO:0050482]; cholesterol homeostasis [GO:0042632]; lipid catabolic process [GO:0016042]; low-density lipoprotein particle remodeling [GO:0034374]; phospholipid metabolic process [GO:0006644]; triglyceride homeostasis [GO:0070328]","GO:0004623; GO:0005509; GO:0005576; GO:0006644; GO:0016042; GO:0034374; GO:0042632; GO:0050482; GO:0070328","extracellular region [GO:0005576]","calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623]","","extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; phospholipase A2 activity [GO:0004623]; arachidonate secretion [GO:0050482]; cholesterol homeostasis [GO:0042632]; lipid catabolic process [GO:0016042]; low-density lipoprotein particle remodeling [GO:0034374]; phospholipid metabolic process [GO:0006644]; triglyceride homeostasis [GO:0070328]","SUBCELLULAR LOCATION: Secreted.",FALSE
