"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UBA11957 sp910588295"	"Genotype"	"MUT"	"GenotypeMUT"	-7.09183982449495	-0.784550028438492	0.743603506408114	2.10656490906569e-06	0.0113438520353187	2.10656490906569e-06	0.00667781076173823	NA	"abundance"	17	15
"MGYG000388556"	"Sex"	"M"	"SexM"	8.93711084781255	0.420085458285851	0.349907242869704	1.80278831396485e-05	0.0485400753535037	3.60554412747266e-05	0.0571478744204417	NA	"abundance"	17	7
"Parabacteroides goldsteinii"	"Genotype"	"MUT"	"GenotypeMUT"	2.16837155340958	-0.784550028438492	0.442146623727978	3.71062582988912e-05	0.0666057336465098	7.42111397233775e-05	0.0784164376410356	NA	"abundance"	17	14
"MGYG000388556"	"Sex"	"M"	"SexM"	-1.76228051583779	0	1.12811499778503	0.118253559876637	0.460326370150489	3.60554412747266e-05	0.0571478744204417	NA	"prevalence"	17	7
"Parabacteroides goldsteinii"	"Genotype"	"MUT"	"GenotypeMUT"	2.01359713347693	0	1.74044671044831	0.24729576761655	0.570292206118808	7.42111397233775e-05	0.0784164376410356	NA	"prevalence"	17	14
"UBA11957 sp910588295"	"Genotype"	"MUT"	"GenotypeMUT"	-0.877851245906327	0	1.44143244950456	0.542515755176712	0.762632502064219	2.10656490906569e-06	0.00667781076173823	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	17	15
