"external_gene_name","HET","padj_HET","MUT","padj_MUT","description","mean_coef"
"Igkv8-34",-3.25597785395144,0.0150034695706987,-1.62281886904082,0.244152105046034,"immunoglobulin kappa variable 8-34 [Source:MGI Symbol;Acc:MGI:4949914]",-2.43939836149613
"Igkv12-89",-0.967639104121536,0.310735356236521,-2.35271562863269,0.0909135596180853,"immunoglobulin kappa chain variable 12-89 [Source:MGI Symbol;Acc:MGI:4439829]",-1.66017736637711
"1700057G04Rik",-1.43569004259733,NA,-1.82816995479394,0.172227011230771,NA,-1.63192999869564
"Ighv1-12",-0.773760325470424,0.406415059427771,-1.81031460605563,0.162729965916785,"immunoglobulin heavy variable V1-12 [Source:MGI Symbol;Acc:MGI:3646284]",-1.29203746576303
"Cyp3a16",-0.657244370411333,NA,-1.78423480882519,0.181086362142454,"cytochrome P450, family 3, subfamily a, polypeptide 16 [Source:MGI Symbol;Acc:MGI:106099]",-1.22073958961826
"Gm29609",-1.1234131839995,NA,-0.942843472540036,0.162729965916785,"predicted gene 29609 [Source:MGI Symbol;Acc:MGI:5580315]",-1.03312832826977
"Ighv1-47",-1.23832350042621,0.202390818006925,-0.811816512113535,0.486166367426787,"immunoglobulin heavy variable 1-47 [Source:MGI Symbol;Acc:MGI:4439890]",-1.02507000626987
"Igkv12-98",-0.659341214567236,0.456339980911279,-1.26378873441074,0.218329728756878,"immunoglobulin kappa variable 12-98 [Source:MGI Symbol;Acc:MGI:4439560]",-0.961564974488988
"G6pc",-0.822623608236076,0.291837557047921,-1.09569072355919,0.235827948988171,NA,-0.959157165897633
"Mia2",-0.782833408672656,0.277288552142824,-1.02995292254299,0.231000115785735,"MIA SH3 domain ER export factor 2 [Source:MGI Symbol;Acc:MGI:2159614]",-0.906393165607823
"Cyp2c55",-0.726747827404357,0.325076695093422,-1.06122529725627,0.228319018180083,"cytochrome P450, family 2, subfamily c, polypeptide 55 [Source:MGI Symbol;Acc:MGI:1919332]",-0.893986562330313
"Fcrl6",-0.562178147252199,0.374948323958055,-1.21241167980676,0.162729965916785,"Fc receptor-like 6 [Source:MGI Symbol;Acc:MGI:3618339]",-0.887294913529479
"Igkv1-110",-0.454116415704905,0.536423662641946,-1.28742486784521,0.162729965916785,"immunoglobulin kappa variable 1-110 [Source:MGI Symbol;Acc:MGI:4439558]",-0.870770641775058
"AI481877",-0.828862990565737,NA,-0.834032099126616,0.177151837973733,NA,-0.831447544846176
"Cubn",-0.889175940253445,0.195925814933329,-0.697445242195249,0.38424644627173,"cubilin [Source:MGI Symbol;Acc:MGI:1931256]",-0.793310591224347
"Slc10a2",-0.423484495936594,0.616208586539886,-1.07694671561997,0.247721926369743,"solute carrier family 10, member 2 [Source:MGI Symbol;Acc:MGI:1201406]",-0.750215605778282
"Slc6a14",-0.300213338870889,0.698852119695797,-1.16033527760368,0.188951482083192,"solute carrier family 6 (neurotransmitter transporter), member 14 [Source:MGI Symbol;Acc:MGI:1890216]",-0.730274308237284
"Fosb",-0.913820638436255,0.0742935677949461,-0.544921111737457,0.350539756370297,"FBJ osteosarcoma oncogene B [Source:MGI Symbol;Acc:MGI:95575]",-0.729370875086856
"Fam83b",-0.676122355123687,0.166883256139821,-0.776077539555299,0.197718212882542,"family with sequence similarity 83, member B [Source:MGI Symbol;Acc:MGI:2685362]",-0.726099947339493
"Igkv1-88",-0.272475206586638,0.776882082283135,-1.15181932969364,0.247721926369743,"immunoglobulin kappa chain variable 1-88 [Source:MGI Symbol;Acc:MGI:4439828]",-0.712147268140139
"Igkv17-121",-0.412056861694843,0.47591477189278,-0.998023955872934,0.168155026440401,"immunoglobulin kappa variable 17-121 [Source:MGI Symbol;Acc:MGI:3647671]",-0.705040408783889
"Plag1",-0.698230918100016,0.0887494168047626,-0.661781831611985,0.187592364584338,"pleiomorphic adenoma gene 1 [Source:MGI Symbol;Acc:MGI:1891916]",-0.680006374856001
"4930539E08Rik",-0.61157340565008,0.213040654744974,-0.739751496233457,0.207671701037539,NA,-0.675662450941769
"Lama3",-0.583265194298626,0.223783757616672,-0.754119300981694,0.197777873690638,"laminin, alpha 3 [Source:MGI Symbol;Acc:MGI:99909]",-0.66869224764016
"Dnah10",-0.505720708522758,0.340908408646198,-0.817959960930751,0.20144266707955,"dynein, axonemal, heavy chain 10 [Source:MGI Symbol;Acc:MGI:1860299]",-0.661840334726755
"Gm6086",-0.659078525069205,0.200029998543803,-0.627173397398152,0.296185189847937,NA,-0.643125961233678
"Lmo7",-0.577422066575845,0.18089251435898,-0.692304370152695,0.195138891534963,"LIM domain only 7 [Source:MGI Symbol;Acc:MGI:1353586]",-0.63486321836427
"1700109H08Rik",-0.545002611505509,0.13675962130182,-0.707166222944296,0.162729965916785,"RIKEN cDNA 1700109H08 gene [Source:MGI Symbol;Acc:MGI:1924286]",-0.626084417224902
"Il22ra1",-0.592073141586164,0.195579041788556,-0.656152659283684,0.228319018180083,"interleukin 22 receptor, alpha 1 [Source:MGI Symbol;Acc:MGI:2663588]",-0.624112900434924
"Mfsd7c",-0.881846924849951,0.145353875447952,-0.362282684255926,0.626307806763875,NA,-0.622064804552938
