"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700057G04Rik",37.4498802743068,-4.0589056315511,0.867386404394407,-4.67946651110465,2.87622332151596e-06,0.0139378195955649
"Cmpk2",1082.25930555627,-1.8760791440486,0.395999294376745,-4.73758203787034,2.16283310712679e-06,0.0139378195955649
"Igkv12-98",78.2612135560789,3.25809494693711,0.696668378034164,4.67667982308985,2.91556936738643e-06,0.0139378195955649
"Pbx4",44.5264304120014,-1.57388171158515,0.339065069094554,-4.64182794113258,3.45340379927897e-06,0.0139378195955649
"Vnn1",4155.88358946845,-2.01959029189259,0.438304702223269,-4.60773129206318,4.0708626659165e-06,0.0139378195955649
"Abcg2",4082.36067267975,-1.57698003348824,0.360693313259334,-4.3720800345262,1.23068391311639e-05,0.0209876036064294
"Chrna2",14.1745353394226,1.98094376742504,0.453115890715008,4.37182585739634,1.23211785037268e-05,0.0209876036064294
"Cubn",21029.4664499011,-2.95352318149576,0.679451747756908,-4.34692116290275,1.38061814809008e-05,0.0209876036064294
"Igkv11-125",31.0491159103112,-5.3420125925237,1.24589865869788,-4.2876782595679,1.80550352367953e-05,0.0209876036064294
"Lamb3",1462.56522387455,-1.71777303442298,0.388508645822024,-4.42145381549602,9.8039021289569e-06,0.0209876036064294
"Ldb3",1601.32374781225,-1.16278506521537,0.264805153448488,-4.39109681240237,1.12780307693699e-05,0.0209876036064294
"Mcpt1",33.1550170273488,2.51318711634076,0.569293071647818,4.4145752715141,1.0120849728575e-05,0.0209876036064294
"Rgs13",357.231951524336,0.956669663136258,0.222994487530028,4.29010453905249,1.78589032642101e-05,0.0209876036064294
"Slc52a3",609.712178067943,-2.43079353702817,0.567465759328123,-4.2835950840562,1.83897455515183e-05,0.0209876036064294
"Slc5a6",825.305174434141,-1.81597148185644,0.421463430784788,-4.30872846660741,1.64195805677828e-05,0.0209876036064294
"Gm38303",35.4990819652616,-2.80480094339109,0.668543768216749,-4.19538865925341,2.72404076170875e-05,0.0291455336248076
"Aspa",2726.35134018847,-2.25121554703979,0.538413840745736,-4.18119924985903,2.89975615853864e-05,0.0292005445164841
"Smcp",6.33166694834233,-4.29209750515686,1.04172250042316,-4.12019276094484,3.78555557163674e-05,0.0360027365726941
"Hsd17b7",651.660864702886,-1.24504173865827,0.303273269885293,-4.10534610956378,4.03709969201016e-05,0.0363742682250116
"Cables1",418.836320274405,-1.24301723057054,0.307441909623237,-4.04309624570647,5.27499545426339e-05,0.0391453682118941
