"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm20503",13.0296635407512,30.6440304709219,3.74056025570679,8.19236381078738,2.56144990239345e-16,4.11599384815603e-12
"Nos1ap",220.023288892231,-1.41430414568594,0.265903035475951,-5.31887175772334,1.04412695623521e-07,0.00083890380298718
"Enpp7",5327.82208355429,-3.61905089583119,0.727034050331462,-4.97782860951455,6.43015544539133e-07,0.00172210279753322
"Igkv12-89",142.835568692511,3.32163959524669,0.664286568231427,5.00031124231535,5.72378403457643e-07,0.00172210279753322
"Stab2",71.6990387579954,1.59545403361944,0.316156703978599,5.04640266532965,4.50206080152609e-07,0.00172210279753322
"Susd2",2160.06828356382,-2.23499498407129,0.443198884009051,-5.04287141667451,4.58597435119606e-07,0.00172210279753322
"Slc5a6",733.378463856166,-1.38935931148267,0.285749712854133,-4.86215470736764,1.1611481275516e-06,0.00233231115770334
"Smcp",3.98453927533814,-3.51174923231814,0.720455917256355,-4.87434296562044,1.0917118550617e-06,0.00233231115770334
"Chrna2",13.2028484058896,2.228866099477,0.464148201922436,4.80205695130425,1.57044010273192e-06,0.00280393355675547
"2010109I03Rik",1530.6784267061,-3.17639360188158,0.682615813190872,-4.65326694826127,3.26716828446028e-06,0.00507354842179459
"Adh6a",1636.37936225942,3.59206209670052,0.777058149481533,4.62264259000077,3.78882202137874e-06,0.00507354842179459
"Arhgap1",2171.45548423061,-0.643412566172822,0.138695859160496,-4.63901784860265,3.50068822859506e-06,0.00507354842179459
"Wipi2",1776.56798905732,-0.467203156822661,0.101909464771797,-4.58449230274005,4.55090850861868e-06,0.00562527298653797
"A430078G23Rik",67.4050730236981,1.98029229163802,0.436077670023471,4.54114582737391,5.59493138128114e-06,0.00642178231184333
"Prkcb",630.973989441353,1.9769326805608,0.43691909310935,4.52471112326974,6.04780545509942e-06,0.00647881239053284
"Itgb6",431.769169154352,-1.49346414592845,0.331927694841106,-4.49936588341437,6.81564630835769e-06,0.00655004892213756
"Npas2",436.248959227064,-1.21842322689852,0.271398838746346,-4.48941945561263,7.1417544616574e-06,0.00655004892213756
"Slc19a3",14.6518052176459,2.3723767147923,0.529115451568869,4.48366553605269,7.33716351972593e-06,0.00655004892213756
"Gata5",1940.39669871714,-0.98300930998198,0.222131420183414,-4.42535013358447,9.62859833002413e-06,0.00814326034553462
"Nlrc4",1525.39474522607,-0.758413349497272,0.172364278710464,-4.40006105192624,1.08220426526019e-05,0.00828092397069808
"Slc25a22",1658.51156953669,-1.37740853425302,0.312816613105194,-4.40324610825523,1.06643071135666e-05,0.00828092397069808
"Lamb3",1325.04469131996,-1.21187198405147,0.276508978907079,-4.38275816156669,1.1718617408457e-05,0.00855938468802251
"4930539E08Rik",703.768365278192,-1.60366798570244,0.369842522098351,-4.33608330541284,1.45043992611663e-05,0.00896427660491082
"Il22ra1",899.31299056911,-1.48355412607716,0.340966287820553,-4.35102876463241,1.35500273035404e-05,0.00896427660491082
"Sik1",378.858856391602,0.653831736946333,0.150301663946641,4.35012973095527,1.36057014080552e-05,0.00896427660491082
"Slc52a3",669.26762665018,-1.80471154917652,0.416015736367559,-4.33808481605614,1.43729691389561e-05,0.00896427660491082
"Nhsl1",2749.96227824424,-0.99899536437131,0.232136824828022,-4.30347647389169,1.6813870968055e-05,0.0100067441698399
"Map3k19",36.0445845372786,2.85583382931393,0.670740759384156,4.25773115672295,2.06512082923733e-05,0.0118515809303624
"Igkv12-98",91.9313242922179,2.43157382998542,0.577892986076066,4.20765416534292,2.58035361451893e-05,0.0138896938229043
"Tns4",2500.12082181929,-1.41354120253034,0.336034403443981,-4.20653715227699,2.59313469840768e-05,0.0138896938229043
"Bin1",571.870017508069,1.41881903178727,0.338571519582045,4.19060360877004,2.78213335748883e-05,0.0144213228778994
"Blmh",1804.46279477639,-0.618937062901174,0.151056010038498,-4.09740110799584,4.17814567838709e-05,0.0155046815081856
"Bspry",954.738887397379,-0.673482338353403,0.164746348007239,-4.08799555498379,4.35116488536991e-05,0.0155046815081856
"Fam151a",807.190943226652,-3.05364493403163,0.744679282009928,-4.10061755147757,4.12049059487879e-05,0.0155046815081856
"Fosl2",3689.90671999558,-1.19431166726482,0.290145165827949,-4.11625561245098,3.85077229460041e-05,0.0155046815081856
"Ighv1-12",269.54726587498,2.40385128891905,0.581515467300998,4.13377016449124,3.56860356507655e-05,0.0155046815081856
"Lrmp",631.070752533532,1.2791539144008,0.311635117603037,4.1046526599425,4.04922806726339e-05,0.0155046815081856
"Lrp12",759.508976031743,-1.18214159859567,0.288812924991505,-4.09310490044876,4.25635042347841e-05,0.0155046815081856
"Nckap5",370.199981350914,-1.48363895844903,0.35783192788709,-4.14618943370859,3.38054175269771e-05,0.0155046815081856
"Ptprf",6692.90218543481,-0.868928271453008,0.211079183545779,-4.11659859990199,3.84504875908369e-05,0.0155046815081856
"Rassf2",1309.15904492378,1.31323612471168,0.318534363851491,4.12274552997347,3.74383212842417e-05,0.0155046815081856
"Slc16a9",109.46778037207,1.38180447809046,0.33780204733818,4.09057461012695,4.30305751792264e-05,0.0155046815081856
"Slc17a4",1003.22689910021,-0.800417750021673,0.193154600980526,-4.14392277459844,3.41414758098309e-05,0.0155046815081856
"Slc6a18",31.056645910703,-2.30274872583919,0.556805271901072,-4.13564461769018,3.53959616845372e-05,0.0155046815081856
"Snn",562.023333259599,2.06536396615629,0.505797119188484,4.08338420248423,4.43845509600184e-05,0.0155046815081856
"Trbv3",18.0113355326271,2.48890298251222,0.605150637810797,4.112865172738,3.90778634590966e-05,0.0155046815081856
"Lhx5",4.71541965698598,-1.89021841356653,0.464159513359229,-4.07234659457174,4.65418532449464e-05,0.0159123625487882
"Ldb3",1642.42461918283,-0.925307826354632,0.227679609047651,-4.06407859810131,4.82225754225266e-05,0.0161435117596788
