"","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","value","description"
"1","Uxs1",674.020721076516,0.244788718128582,0.0723672014718299,3.38259201889781,0.000718052175635626,0.999976087657889,"HET","UDP-glucuronate decarboxylase 1 [Source:MGI Symbol;Acc:MGI:1915133]"
"2","Ighv1-47",67.20773524281,-2.81977983474478,0.834448491511019,-3.37921377224701,0.000726934591032458,0.999976087657889,"HET","immunoglobulin heavy variable 1-47 [Source:MGI Symbol;Acc:MGI:4439890]"
"3","Mettl25",129.209584556856,0.26725708448911,0.0833523752399221,3.20635235312534,0.00134429271248772,0.999976087657889,"HET","methyltransferase like 25 [Source:MGI Symbol;Acc:MGI:3041259]"
"4","Trbv16",4.70999019685608,-1.6403369141585,0.517663669513949,-3.16873099419681,0.00153106030738468,0.999976087657889,"HET","T cell receptor beta, variable 16 [Source:MGI Symbol;Acc:MGI:98585]"
"5","Cpxm1",118.742665088581,-1.43695967097332,0.469660233526321,-3.0595727898534,0.0022165291765102,0.999976087657889,"HET","carboxypeptidase X, M14 family member 1 [Source:MGI Symbol;Acc:MGI:1934569]"
"6","Egfl6",6.64380810950757,-1.55410848829402,0.508859776853364,-3.0540996930513,0.00225737052602002,0.999976087657889,"HET","EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]"
"7","Snx22",51.4446595935806,-0.580998328064663,0.190469758326795,-3.05034422875586,0.00228579217914803,0.999976087657889,"HET","sorting nexin 22 [Source:MGI Symbol;Acc:MGI:2685966]"
"8","Ighv8-12",530.975116567498,-1.13488217276037,0.379797564576664,-2.98812388127174,0.00280695754076702,0.999976087657889,"HET","immunoglobulin heavy variable V8-12 [Source:MGI Symbol;Acc:MGI:3642873]"
"9","Ccdc33",2.13506505107624,-1.89329407822404,0.634404728831572,-2.98436312369716,0.00284169309860618,0.999976087657889,"HET","coiled-coil domain containing 33 [Source:MGI Symbol;Acc:MGI:1922464]"
"10","Ighg1",4824.35302005247,-1.76382937623744,0.628058346322229,-2.80838458172881,0.00497907266995683,0.999976087657889,"HET","immunoglobulin heavy constant gamma 1 (G1m marker) [Source:MGI Symbol;Acc:MGI:96446]"
"11","Ly6i",14.8896708006031,-0.994343373311107,0.365216874558816,-2.72261070771245,0.00647683286387509,0.999976087657889,"HET","lymphocyte antigen 6 family member  I [Source:MGI Symbol;Acc:MGI:1888480]"
"12","Tnfsf14",16.4996328945449,-0.722294007793365,0.266186035646199,-2.71349323806528,0.00665779269920715,0.999976087657889,"HET","tumor necrosis factor (ligand) superfamily, member 14 [Source:MGI Symbol;Acc:MGI:1355317]"
"13","Igkv6-25",46.2730536196637,-3.78555432472269,1.39903724644893,-2.70582812168245,0.00681343005340585,0.999976087657889,"HET","immunoglobulin kappa chain variable 6-25 [Source:MGI Symbol;Acc:MGI:4439867]"
"14","Clec4d",7.23877371304288,-1.23499455581235,0.457661437263515,-2.69848944057145,0.00696549476575283,0.999976087657889,"HET","C-type lectin domain family 4, member d [Source:MGI Symbol;Acc:MGI:1298389]"
"15","Tbx21",33.2381371942301,-0.811830653414882,0.30660110798246,-2.64783992059587,0.00810078740282016,0.999976087657889,"HET","T-box 21 [Source:MGI Symbol;Acc:MGI:1888984]"
"16","Ccl22",172.688947373023,-0.656807039702359,0.250360359884588,-2.62344661912587,0.00870450841669457,0.999976087657889,"HET","C-C motif chemokine ligand 22 [Source:MGI Symbol;Acc:MGI:1306779]"
"17","Gdf11",129.349048791605,-0.567019195424483,0.216284939975717,-2.62163050043218,0.00875102515090468,0.999976087657889,"HET","growth differentiation factor 11 [Source:MGI Symbol;Acc:MGI:1338027]"
"18","Rag1",1.64269676930207,-3.35343384155893,1.28943536773061,-2.60069944216043,0.00930339231295773,0.999976087657889,"HET","recombination activating 1 [Source:MGI Symbol;Acc:MGI:97848]"
"19","Il12a",4.9903174229471,-1.53283173229889,0.590941291510318,-2.59388158235026,0.00948991663883499,0.999976087657889,"HET","interleukin 12a [Source:MGI Symbol;Acc:MGI:96539]"
"20","Pcdha5",8.6664472044194,-1.50546356099246,0.581562871354728,-2.58865143417003,0.00963525709905824,0.999976087657889,"HET","protocadherin alpha 5 [Source:MGI Symbol;Acc:MGI:1298371]"
"21","Lrrk2",370.608782976579,-0.906506493816007,0.350736672977209,-2.58457858461499,0.00974980832910643,0.999976087657889,"HET","leucine-rich repeat kinase 2 [Source:MGI Symbol;Acc:MGI:1913975]"
"22","Xkrx",42.7979888644261,-1.26013215998976,0.490367465886731,-2.56977113624589,0.0101765721125857,0.999976087657889,"HET","X-linked Kx blood group related, X-linked [Source:MGI Symbol;Acc:MGI:3584011]"
"23","Trbv3",14.6874895419055,-1.34761997758168,0.524781289149296,-2.56796498931251,0.0102297487384075,0.999976087657889,"HET","T cell receptor beta, variable 3 [Source:MGI Symbol;Acc:MGI:98590]"
"24","Cyp2c29",5.73645564559874,3.28015908569576,1.28540938439544,2.55184000172714,0.0107155714597102,0.999976087657889,"HET","cytochrome P450, family 2, subfamily c, polypeptide 29 [Source:MGI Symbol;Acc:MGI:103238]"
"25","Igkv9-124",1241.2644961727,1.8675753665848,0.732799722102521,2.5485481370359,0.0108172357074738,0.999976087657889,"HET","immunoglobulin kappa chain variable 9-124 [Source:MGI Symbol;Acc:MGI:3646892]"
"26","Ighv1-42",451.62604556092,-1.06606225679919,0.418644239873564,-2.54646345336354,0.0108820605667102,0.999976087657889,"HET","immunoglobulin heavy variable V1-42 [Source:MGI Symbol;Acc:MGI:3704123]"
"27","Ighv7-3",234.10350393941,-1.04760234085685,0.41166349464487,-2.54480262273579,0.01093395225503,0.999976087657889,"HET","immunoglobulin heavy variable 7-3 [Source:MGI Symbol;Acc:MGI:4439766]"
"28","Ntm",9.43069753380493,0.879285139184481,0.346191374102305,2.53988170983324,0.0110889966749849,0.999976087657889,"HET","neurotrimin [Source:MGI Symbol;Acc:MGI:2446259]"
"29","Ctnnal1",698.054109874918,0.307460551439629,0.121530338506176,2.52990780095626,0.0114092503050817,0.999976087657889,"HET","catenin alpha like 1 [Source:MGI Symbol;Acc:MGI:1859649]"
"30","Fcamr",68.987263697554,-1.85059691245815,0.734844969371275,-2.51835011409482,0.0117906054458415,0.999976087657889,"HET","Fc receptor, IgA, IgM, high affinity [Source:MGI Symbol;Acc:MGI:1927803]"
"31","Spag6",5.55127720570728,-1.26665995310278,0.507521405859475,-2.49577641155395,0.0125681793265455,0.999976087657889,"HET","sperm associated antigen 6 [Source:MGI Symbol;Acc:MGI:3040687]"
"32","Igkv16-104",433.521387868785,-0.923059047565222,0.37020233532866,-2.49339066633857,0.0126529545380942,0.999976087657889,"HET","immunoglobulin kappa variable 16-104 [Source:MGI Symbol;Acc:MGI:2685913]"
