"","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description"
"0610007P14Rik","0610007P14Rik",1465.47421978468,-0.0144897474929298,0.0830418922487005,-0.174487202790788,0.861482587191952,0.955860377984356,"RIKEN cDNA 0610007P14 gene [Source:MGI Symbol;Acc:MGI:1915571]"
"0610009B22Rik","0610009B22Rik",399.260918385233,-0.0340249236172717,0.0474765849903312,-0.716667460901012,0.473579308084744,0.774005877575529,"RIKEN cDNA 0610009B22 gene [Source:MGI Symbol;Acc:MGI:1913300]"
"0610009L18Rik","0610009L18Rik",26.5096705076332,-0.0350666399776348,0.178044293560846,-0.196954585155805,0.843863077384777,0.951858883870847,"RIKEN cDNA 0610009L18 gene [Source:MGI Symbol;Acc:MGI:1914088]"
"0610009O20Rik","0610009O20Rik",775.948314301433,-0.0645161363197017,0.0564407831041188,-1.14307656222073,0.253006804480224,0.596488142729052,"RIKEN cDNA 0610009O20 gene [Source:MGI Symbol;Acc:MGI:1914089]"
"0610010F05Rik","0610010F05Rik",409.800271269326,0.118890288391466,0.0817545503404094,1.4542345092283,0.145881300484724,0.467937776345838,"RIKEN cDNA 0610010F05 gene [Source:MGI Symbol;Acc:MGI:1918925]"
"0610010K14Rik","0610010K14Rik",271.061650524878,0.123187147952685,0.0996650057482299,1.23601204884165,0.21645408501608,0.556874878009118,"RIKEN cDNA 0610010K14 gene [Source:MGI Symbol;Acc:MGI:1915609]"
"0610012G03Rik","0610012G03Rik",426.044518061476,0.122128053345187,0.129342268861303,0.94422383664963,0.34505527682059,0.677916490295086,"RIKEN cDNA 0610012G03 gene [Source:MGI Symbol;Acc:MGI:1913301]"
"0610030E20Rik","0610030E20Rik",1171.52617550348,-0.0271979217705083,0.0661647161168802,-0.411063832306982,0.681025729494318,0.886913093765998,"RIKEN cDNA 0610030E20 gene [Source:MGI Symbol;Acc:MGI:1915614]"
"0610037L13Rik","0610037L13Rik",449.630015390238,0.0997910854644761,0.0864382330864808,1.15447854382488,0.248304030180519,0.591711925725265,"RIKEN cDNA 0610037L13 gene [Source:MGI Symbol;Acc:MGI:1921348]"
"0610040J01Rik","0610040J01Rik",1031.68480265357,0.00306630066152764,0.0907166172582858,0.0338008708238905,0.973035941526713,0.992194903508216,"RIKEN cDNA 0610040J01 gene [Source:MGI Symbol;Acc:MGI:1923511]"
"1110002E22Rik","1110002E22Rik",5.37814490728025,-0.34262174672469,0.260264926039858,-1.31643457279457,0.188028224832671,0.523691073690099,"RIKEN cDNA 1110002E22 gene [Source:MGI Symbol;Acc:MGI:1915066]"
