"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UBA11957 sp910588295"	"Genotype"	"MUT"	"GenotypeMUT"	-5.7224755714927	-0.221902601741931	0.490576405877022	4.2721381987576e-13	4.0871546147514e-09	4.2721381987576e-13	2.2646604591614e-09	NA	"abundance"	47	39
"Choladocola sp910574965"	"Genotype"	"MUT"	"GenotypeMUT"	4.39470193872685	-0.221902601741931	0.463654397985314	5.70532510124622e-12	2.72914226218113e-08	5.70532510124622e-12	1.51219641808531e-08	NA	"abundance"	47	41
"MD308 sp010206225"	"Genotype"	"MUT"	"GenotypeMUT"	2.89363685487561	-0.221902601741931	0.398291560032893	1.13216680475148e-09	2.16628796421148e-06	1.13216680475148e-09	1.20032324639752e-06	NA	"abundance"	47	46
"MGYG000329984"	"Sex"	"M"	"SexM"	-3.3520262554784	-0.0503633617884984	0.403812258857132	7.91566368008034e-10	2.16628796421148e-06	7.91566368008034e-10	1.20032324639752e-06	NA	"abundance"	47	42
"Parvibacter caecicola"	"Sex"	"M"	"SexM"	-4.59769148037706	-0.0503633617884984	0.560235672864926	1.0434856312358e-09	2.16628796421148e-06	1.0434856312358e-09	1.20032324639752e-06	NA	"abundance"	47	41
"Lawsonibacter sp910589085"	"Genotype"	"MUT"	"GenotypeMUT"	4.10680400450502	-0.221902601741931	0.528834331002088	2.00980165843134e-09	2.74682463803038e-06	2.00980165843134e-09	1.52199408447779e-06	NA	"abundance"	47	37
"Muribaculum gordoncarteri"	"Sex"	"M"	"SexM"	-5.45182390879745	-0.0503633617884984	0.707624264417876	1.94811988762922e-09	2.74682463803038e-06	1.94811988762922e-09	1.52199408447779e-06	NA	"abundance"	47	46
"MGYG000323047"	"Genotype"	"MUT"	"GenotypeMUT"	2.59459323942585	-0.221902601741931	0.372138318722996	4.15775369688731e-09	4.97215370226511e-06	4.15775369688731e-09	2.75503154339996e-06	NA	"abundance"	47	43
"D16-63 sp910588095"	"Sex"	"M"	"SexM"	-3.80746277498119	-0.0503633617884984	0.517673958409609	1.20323181418414e-08	1.27903541847774e-05	1.20323181418414e-08	7.08703538554456e-06	NA	"abundance"	47	42
"Thomasclavelia cocleata"	"Genotype"	"MUT"	"GenotypeMUT"	4.52054544844972	-0.221902601741931	0.560744293485274	1.7051103196053e-08	1.63127904276639e-05	3.41022061013658e-08	1.8077579454334e-05	NA	"abundance"	47	27
"NM07-P-09 sp004793665"	"Genotype"	"MUT"	"GenotypeMUT"	3.36952554109715	-0.221902601741931	0.540219816405126	4.90003626563151e-08	3.93753791885221e-05	4.90003626563151e-08	2.18175901618434e-05	NA	"abundance"	47	46
"Zhenpiania sp910575405"	"Genotype"	"MUT"	"GenotypeMUT"	2.16057073310376	-0.221902601741931	0.355482758243397	4.93889986685758e-08	3.93753791885221e-05	4.93889986685758e-08	2.18175901618434e-05	NA	"abundance"	47	45
"Enterenecus sp910579155"	"Genotype"	"MUT"	"GenotypeMUT"	3.64515698071485	-0.221902601741931	0.568129820708054	9.5187451698564e-08	7.0050642338474e-05	9.5187451698564e-08	3.88145139580068e-05	NA	"abundance"	47	37
"Adlercreutzia sp910585575"	"Sex"	"M"	"SexM"	-1.93898418814058	-0.0503633617884984	0.290428226615557	2.17531564650209e-07	0.00014865174850061	4.35063081980435e-07	0.000153751293171886	NA	"abundance"	47	39
"Paramuribaculum sp001689535"	"Genotype"	"MUT"	"GenotypeMUT"	-5.82749570225946	-0.221902601741931	0.929531588362492	3.98901974008048e-07	0.000254419679022333	3.98901974008048e-07	0.000151041383158333	NA	"abundance"	47	45
"MGYG000410711"	"Sex"	"M"	"SexM"	-1.66581697079545	-0.0503633617884984	0.252143799529489	4.54534535121454e-07	0.000271783243594184	9.09068863641264e-07	0.000229474954579159	NA	"abundance"	47	36
"Bariatricus sp022793995"	"Genotype"	"MUT"	"GenotypeMUT"	-3.66617481280254	-0.221902601741931	0.507551285013433	5.32725621171792e-07	0.000299799177514738	5.32725621171792e-07	0.000176498657364479	NA	"abundance"	47	28
"MGYG000326314"	"Genotype"	"MUT"	"GenotypeMUT"	-3.16205991882258	-0.221902601741931	0.480539976963442	7.31392083563875e-07	0.000368275161234505	7.31392083563875e-07	0.000215394968609561	NA	"abundance"	47	37
"Muribaculum sp910587665"	"Sex"	"M"	"SexM"	-2.81926299717403	-0.0503633617884984	0.462442188276822	7.08718402187003e-07	0.000368275161234505	7.08718402187003e-07	0.000215394968609561	NA	"abundance"	47	41
"Acutalibacter sp910588935"	"Sex"	"M"	"SexM"	-4.26284942014232	-0.0503633617884984	0.687626287183675	8.96206193701232e-07	0.000408285935959033	8.96206193701232e-07	0.000229474954579159	NA	"abundance"	47	35
"Lachnospira sp910589305"	"Genotype"	"MUT"	"GenotypeMUT"	3.31069134484902	-0.221902601741931	0.482228524036848	8.81369117022857e-07	0.000408285935959033	8.81369117022857e-07	0.000229474954579159	NA	"abundance"	47	22
"Enterorhabdus sp009911695"	"Sex"	"M"	"SexM"	-3.56292493719903	-0.0503633617884984	0.602309503843124	1.02029417858862e-06	0.000443688836661697	1.02029417858862e-06	0.00024584452003174	NA	"abundance"	47	42
"Adlercreutzia caecimuris"	"Sex"	"M"	"SexM"	-4.02156347591649	-0.0503633617884984	0.691766774130678	1.45101623916233e-06	0.000516171260247241	1.45101623916233e-06	0.00030767348335198	NA	"abundance"	47	41
"CAG-873 sp002490635"	"Sex"	"M"	"SexM"	-5.78712319917763	-0.0503633617884984	1.00861825651341	1.42335785469072e-06	0.000516171260247241	1.42335785469072e-06	0.00030767348335198	NA	"abundance"	47	43
"MGYG000328353"	"Sex"	"M"	"SexM"	-2.32033921544232	-0.0503633617884984	0.375946352219613	1.42759150134619e-06	0.000516171260247241	1.42759150134619e-06	0.00030767348335198	NA	"abundance"	47	34
"Parabacteroides goldsteinii"	"Genotype"	"MUT"	"GenotypeMUT"	3.07985018652859	-0.221902601741931	0.561744470961327	1.45673921048139e-06	0.000516171260247241	2.91347629887366e-06	0.000514811262010976	NA	"abundance"	47	37
"ZJ304 sp943192905"	"Sex"	"M"	"SexM"	-1.67022701557514	-0.0503633617884984	0.263224069163336	1.30717507040856e-06	0.000516171260247241	2.61434843211046e-06	0.000491288399962999	NA	"abundance"	47	33
"UBA7173 sp001689485"	"Genotype"	"MUT"	"GenotypeMUT"	2.51708415823086	-0.221902601741931	0.484474268628661	1.57246303222891e-06	0.000537276922476214	1.57246303222891e-06	0.000320601020532517	NA	"abundance"	47	44
"Muribaculum intestinale"	"Sex"	"M"	"SexM"	-4.45470207491175	-0.0503633617884984	0.791585811996532	1.70186512082893e-06	0.000561439434861046	1.70186512082893e-06	0.000334132852056079	NA	"abundance"	47	46
"MGYG000328306"	"Sex"	"M"	"SexM"	-3.74344414710661	-0.0503633617884984	0.652357323131457	2.68767470268383e-06	0.000857099462685873	2.68767470268383e-06	0.000491288399962999	NA	"abundance"	47	37
"Bacteroides caecimuris"	"Genotype"	"MUT"	"GenotypeMUT"	2.80929504092949	-0.221902601741931	0.556802764085159	3.18723552195088e-06	0.00098362200769368	3.18723552195088e-06	0.000545017274253601	NA	"abundance"	47	43
"Dysosmobacter sp910586735"	"Sex"	"M"	"SexM"	-3.13332139799107	-0.0503633617884984	0.57130712323459	5.08413889310777e-06	0.00151999864969881	5.08413889310777e-06	0.000842219383511384	NA	"abundance"	47	39
"NSJ-51 sp910585415"	"Genotype"	"MUT"	"GenotypeMUT"	2.31374674832067	-0.221902601741931	0.482258440446451	5.54487622417277e-06	0.00160751002535336	5.54487622417277e-06	0.000890708753464844	NA	"abundance"	47	44
"Lawsonibacter sp910584605"	"Genotype"	"MUT"	"GenotypeMUT"	2.15402628242133	-0.221902601741931	0.454339592187322	5.75389251533664e-06	0.00161904381453605	5.75389251533664e-06	0.000897099535994105	NA	"abundance"	47	45
"D16-34 sp910575165"	"Sex"	"M"	"SexM"	-3.28489798114564	-0.0503633617884984	0.617039569392132	6.52427585312587e-06	0.00178336420248158	6.52427585312587e-06	0.000988148179926293	NA	"abundance"	47	42
"QXXE01 sp009911355"	"Sex"	"M"	"SexM"	-2.58765269089643	-0.0503633617884984	0.497424345223778	1.04139143959348e-05	0.00276749775071966	1.04139143959348e-05	0.00153344889480139	NA	"abundance"	47	42
"CAG-485 sp002361155"	"Sex"	"M"	"SexM"	-2.8780443392105	-0.0503633617884984	0.563718008575496	1.19177930689718e-05	0.00291764364817533	1.19177930689718e-05	0.00161664356422885	NA	"abundance"	47	44
"MD308 sp910584615"	"Genotype"	"MUT"	"GenotypeMUT"	1.99480668921971	-0.221902601741931	0.41851121737301	1.18826083288504e-05	0.00291764364817533	1.18826083288504e-05	0.00161664356422885	NA	"abundance"	47	33
"MGYG000328896"	"Genotype"	"MUT"	"GenotypeMUT"	1.63995334041633	-0.221902601741931	0.335604354747753	1.17098377030445e-05	0.00291764364817533	1.17098377030445e-05	0.00161664356422885	NA	"abundance"	47	28
"MGYG000411451"	"Genotype"	"MUT"	"GenotypeMUT"	-3.64941143470681	-0.221902601741931	0.634873288766306	1.21987818466618e-05	0.00291764364817533	1.21987818466618e-05	0.00161664356422885	NA	"abundance"	47	30
"MGBC163016 sp910589125"	"Sex"	"M"	"SexM"	-1.7749871370716	-0.0503633617884984	0.33442447609076	1.7468891786887e-05	0.00401712317205307	1.7468891786887e-05	0.00225859988688508	NA	"abundance"	47	34
"Paralachnospira sp910588815"	"Sex"	"M"	"SexM"	-3.41486713231471	-0.0503633617884984	0.599538096737272	1.76355360328451e-05	0.00401712317205307	3.5270761053559e-05	0.00415489565210925	NA	"abundance"	47	24
