"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Choladocola sp910574965"	"Genotype"	"MUT"	"GenotypeMUT"	4.54970065653821	0.264802588829141	0.571978025016258	1.357271282032e-07	0.000301483883521358	1.357271282032e-07	0.000169082069959137	NA	"abundance"	30	27
"Parvibacter caecicola"	"Sex"	"M"	"SexM"	-5.2647742887945	-0.624832126159849	0.600497415069025	8.11891625041028e-08	0.000301483883521358	8.11891625041028e-08	0.000169082069959137	NA	"abundance"	30	27
"Thomasclavelia cocleata"	"Genotype"	"MUT"	"GenotypeMUT"	4.51097804481036	0.264802588829141	0.419881603533804	4.67128407066753e-08	0.000301483883521358	9.34256792312609e-08	0.000169082069959137	NA	"abundance"	30	19
"UBA11957 sp910588295"	"Genotype"	"MUT"	"GenotypeMUT"	-4.8880277448446	0.264802588829141	0.637183553330911	1.02734793006043e-07	0.000301483883521358	1.02734793006043e-07	0.000169082069959137	NA	"abundance"	30	24
"D16-63 sp910588095"	"Sex"	"M"	"SexM"	-4.20304936868741	-0.624832126159849	0.52646641247852	6.69876134784531e-07	0.000991974909593426	6.69876134784531e-07	0.000556332129938553	NA	"abundance"	30	27
"Lawsonibacter sp910589085"	"Genotype"	"MUT"	"GenotypeMUT"	4.88252196535986	0.264802588829141	0.652326203718492	5.71279319516727e-07	0.000991974909593426	5.71279319516727e-07	0.000556332129938553	NA	"abundance"	30	25
"MGYG000323047"	"Genotype"	"MUT"	"GenotypeMUT"	2.63092497686044	0.264802588829141	0.364577488038877	1.14739982581824e-06	0.00138069038021785	1.14739982581824e-06	0.000774336540756954	NA	"abundance"	30	28
"MGYG000329984"	"Sex"	"M"	"SexM"	-3.56144553801504	-0.624832126159849	0.44909620381406	1.24316522698287e-06	0.00138069038021785	1.24316522698287e-06	0.000774336540756954	NA	"abundance"	30	27
"MD308 sp010206225"	"Genotype"	"MUT"	"GenotypeMUT"	2.73765259106195	0.264802588829141	0.432830587043532	5.61105641772031e-06	0.00498542362714449	5.61105641772031e-06	0.00279598941295003	NA	"abundance"	30	30
"Muribaculum gordoncarteri"	"Sex"	"M"	"SexM"	-6.00999283267027	-0.624832126159849	0.936031688238952	5.51476506216453e-06	0.00498542362714449	5.51476506216453e-06	0.00279598941295003	NA	"abundance"	30	29
"Adlercreutzia sp910585575"	"Sex"	"M"	"SexM"	-2.26441872451032	-0.624832126159849	0.276857114714587	7.0922604169521e-06	0.00572861216405631	7.0922604169521e-06	0.0032127939688793	NA	"abundance"	30	26
"Acutalibacter sp910588935"	"Sex"	"M"	"SexM"	-4.85422608835867	-0.624832126159849	0.723858796465687	1.6006448224859e-05	0.0101583780341337	1.6006448224859e-05	0.00569715225031945	NA	"abundance"	30	22
"Butyribacter sp910575435"	"Genotype"	"MUT"	"GenotypeMUT"	3.34236890465102	0.264802588829141	0.569117197030506	1.54454376690705e-05	0.0101583780341337	1.54454376690705e-05	0.00569715225031945	NA	"abundance"	30	28
"Paramuribaculum sp001689535"	"Genotype"	"MUT"	"GenotypeMUT"	-5.83597728494811	0.264802588829141	1.14355206740621	1.58895932576009e-05	0.0101583780341337	1.58895932576009e-05	0.00569715225031945	NA	"abundance"	30	29
"MGYG000326314"	"Genotype"	"MUT"	"GenotypeMUT"	-2.72825224939442	0.264802588829141	0.520159422102433	1.9569760000504e-05	0.0115918211736319	1.9569760000504e-05	0.00650107427216744	NA	"abundance"	30	22
"MGYG000329984"	"Genotype"	"MUT"	"GenotypeMUT"	-2.10252067389729	0.264802588829141	0.447913756823101	2.44521809383835e-05	0.0135786017273461	4.89037639676144e-05	0.0111327945198921	NA	"abundance"	30	27
"D16-34 sp910575165"	"Genotype"	"MUT"	"GenotypeMUT"	-3.08536283210874	0.264802588829141	0.640550462138213	2.71289595533686e-05	0.0141788709195106	5.42571831262907e-05	0.0112651476465961	NA	"abundance"	30	27
"Acutalibacter sp009917445"	"Sex"	"M"	"SexM"	-4.07275189865322	-0.624832126159849	0.652006971974744	4.31429816996065e-05	0.0182535901143335	4.31429816996065e-05	0.0111327945198921	NA	"abundance"	30	23
"CAJFPI01 sp022801715"	"Genotype"	"MUT"	"GenotypeMUT"	3.4007093974836	0.264802588829141	0.591347682496137	4.20238858216404e-05	0.0182535901143335	4.20238858216404e-05	0.0111327945198921	NA	"abundance"	30	23
"Enterorhabdus sp009911695"	"Sex"	"M"	"SexM"	-3.98873554938121	-0.624832126159849	0.660494676252066	3.82366528848266e-05	0.0182535901143335	3.82366528848266e-05	0.0111327945198921	NA	"abundance"	30	27
"MGYG000328306"	"Sex"	"M"	"SexM"	-4.23198075779742	-0.624832126159849	0.687061268920406	3.97705882877464e-05	0.0182535901143335	3.97705882877464e-05	0.0111327945198921	NA	"abundance"	30	24
"Enterenecus sp910579155"	"Genotype"	"MUT"	"GenotypeMUT"	4.10471033749235	0.264802588829141	0.754652106831116	4.96389755195725e-05	0.0190233646407163	4.96389755195725e-05	0.0111327945198921	NA	"abundance"	30	25
"Muribaculum sp910587665"	"Sex"	"M"	"SexM"	-3.41146908788213	-0.624832126159849	0.559482401594636	5.13855657149342e-05	0.0190233646407163	5.13855657149342e-05	0.0111327945198921	NA	"abundance"	30	27
"RACS-045 sp910579785"	"Sex"	"M"	"SexM"	3.03884255947092	-0.624832126159849	0.710735455928519	4.91496554761994e-05	0.0190233646407163	4.91496554761994e-05	0.0111327945198921	NA	"abundance"	30	24
"UBA7173 sp001689485"	"Genotype"	"MUT"	"GenotypeMUT"	3.26074629253294	0.264802588829141	0.618171465337105	5.6855705766079e-05	0.0202065178292645	5.6855705766079e-05	0.0113324792732949	NA	"abundance"	30	29
"D16-34 sp910575165"	"Sex"	"M"	"SexM"	-3.74332477662087	-0.624832126159849	0.64224145053715	6.90666669252993e-05	0.0236022052165878	6.90666669252993e-05	0.0132368923572602	NA	"abundance"	30	27
"Odoribacter sp021771575"	"Sex"	"M"	"SexM"	0.799003802443655	-0.624832126159849	0.297841582163824	8.46227340325356e-05	0.0278471478473733	8.46227340325356e-05	0.0156175956920046	NA	"abundance"	30	28
"CAG-873 sp002490635"	"Sex"	"M"	"SexM"	-6.20584894530386	-0.624832126159849	1.19604841887019	9.78102472983799e-05	0.0310372874016466	9.78102472983799e-05	0.0174067307959938	NA	"abundance"	30	28
"Parvibacter caecicola"	"Genotype"	"MUT"	"GenotypeMUT"	-2.47562090593147	0.264802588829141	0.59891633654844	0.000137574685301622	0.0421500372036178	0.000275130443809209	0.0380826389305914	NA	"abundance"	30	27
"MGYG000324148"	"Sex"	"M"	"SexM"	-4.75799990872425	-0.624832126159849	0.874623283779375	0.000149029795347477	0.0427138623116882	0.000149029795347477	0.024753849007216	NA	"abundance"	30	23
"NM07-P-09 sp004793665"	"Genotype"	"MUT"	"GenotypeMUT"	3.32147628826593	0.264802588829141	0.682657225858566	0.00014742119928024	0.0427138623116882	0.00014742119928024	0.024753849007216	NA	"abundance"	30	29
"Bacteroides caecimuris"	"Genotype"	"MUT"	"GenotypeMUT"	3.48748244945771	0.264802588829141	0.72595936680388	0.000175540391345708	0.0487398867845816	0.000175540391345708	0.0282167022605052	NA	"abundance"	30	28
"Enterorhabdus sp009911695"	"Genotype"	"MUT"	"GenotypeMUT"	-2.65481592365678	0.264802588829141	0.658755628057391	0.000197210561181382	0.0530974495786843	0.000394382230357323	0.0479318696065986	NA	"abundance"	30	27
"Faecalibaculum rodentium"	"Sex"	"M"	"SexM"	0.623068118426804	-0.624832126159849	0.28528417181665	0.000204942112698947	0.0535561962155925	0.000204942112698947	0.0319133296118392	NA	"abundance"	30	30
"Acetatifactor sp910585615"	"Genotype"	"MUT"	"GenotypeMUT"	3.34014627053213	0.264802588829141	0.697605137786327	0.000226306564268142	0.0574495378149268	0.000226306564268142	0.0341722912044894	NA	"abundance"	30	26
"Adlercreutzia sp910585575"	"Genotype"	"MUT"	"GenotypeMUT"	-0.95567540160908	0.264802588829141	0.275121439366372	0.000234436706743057	0.0578602816503352	0.000234436706743057	0.0343587679323722	NA	"abundance"	30	26
"ZJ304 sp910584145"	"Genotype"	"MUT"	"GenotypeMUT"	-2.99962130666908	0.264802588829141	0.753048019658705	0.00024852587615587	0.0596797948552676	0.00024852587615587	0.0353829840252771	NA	"abundance"	30	27
"Zhenpiania sp910575405"	"Genotype"	"MUT"	"GenotypeMUT"	2.17808871188269	0.264802588829141	0.451793117680195	0.000284534832927896	0.0665287365937989	0.000284534832927896	0.0383199208778299	NA	"abundance"	30	29
"MD308 sp910584615"	"Genotype"	"MUT"	"GenotypeMUT"	1.9235372990283	0.264802588829141	0.364097041618089	0.000295661396030988	0.0673577308650085	0.000591235376400874	0.0601250179715419	NA	"abundance"	30	21
"MGYG000328353"	"Sex"	"M"	"SexM"	-2.59831175133582	-0.624832126159849	0.441222150732555	0.000309905464127569	0.0688377512193362	0.000309905464127569	0.0406383928354652	NA	"abundance"	30	22
"MGYG000325389"	"Sex"	"M"	"SexM"	0.604566405502909	-0.624832126159849	0.213187121246042	0.000317744136091314	0.068857479248081	0.000635387310846607	0.0612104686203536	NA	"abundance"	30	13
"Lachnospira sp910589305"	"Genotype"	"MUT"	"GenotypeMUT"	3.38868396482201	0.264802588829141	0.590625648724229	0.000360241147631335	0.0746048675042909	0.000360241147631335	0.0449789261544089	NA	"abundance"	30	14
"UBA3282 sp910578115"	"Genotype"	"MUT"	"GenotypeMUT"	3.97709489863858	0.264802588829141	0.809512233108794	0.000361059009868825	0.0746048675042909	0.000361059009868825	0.0449789261544089	NA	"abundance"	30	19
"ZJ304 sp943192905"	"Sex"	"M"	"SexM"	-1.8149380925151	-0.624832126159849	0.265089071057455	0.000376652787123843	0.076058182127167	0.000753163706925639	0.0658423640633414	NA	"abundance"	30	21
"MGYG000410711"	"Sex"	"M"	"SexM"	-1.93245410949887	-0.624832126159849	0.305225448916323	0.000406108121945525	0.080183792521911	0.000406108121945525	0.048181827896537	NA	"abundance"	30	24
"Bilophila sp910585945"	"Sex"	"M"	"SexM"	-3.71905785601296	-0.624832126159849	0.748071102412851	0.000442750318645491	0.0855181865470692	0.000442750318645491	0.0513075543676856	NA	"abundance"	30	26
"Muribaculum intestinale"	"Sex"	"M"	"SexM"	-4.81450173135238	-0.624832126159849	1.04321656987134	0.000480302553763412	0.0893616744456751	0.000480302553763412	0.0534580947679969	NA	"abundance"	30	29
"UBA3282 sp910577735"	"Sex"	"M"	"SexM"	2.31903964953589	-0.624832126159849	0.736892025859594	0.000482764251366619	0.0893616744456751	0.000482764251366619	0.0534580947679969	NA	"abundance"	30	30
"Pelethomonas sp910578505"	"Genotype"	"MUT"	"GenotypeMUT"	-2.35687254270399	0.264802588829141	0.624100197139432	0.000494826510792468	0.0897251744569607	0.000494826510792468	0.0536026196364971	NA	"abundance"	30	23
"D16-63 sp910588095"	"Genotype"	"MUT"	"GenotypeMUT"	-1.85636203324887	0.264802588829141	0.525080253744625	0.000524135268210824	0.0931388371610633	0.00104799581864226	0.0828914787983239	NA	"abundance"	30	27
"UBA1394 sp910588145"	"Sex"	"M"	"SexM"	-3.80835551924618	0	1.1020028313384	0.000548562280408907	0.0955681541457479	0.00109682364024233	0.0853980031144925	NA	"prevalence"	30	15
"Dysosmobacter sp910575815"	"Sex"	"M"	"SexM"	1.60201097325927	-0.624832126159849	0.562251034643022	0.000572700871291243	0.0960084385174093	0.00114507375629451	0.0877348511624857	NA	"abundance"	30	29
"MGYG000411451"	"Genotype"	"MUT"	"GenotypeMUT"	-3.3428829077473	0.264802588829141	0.813532254563429	0.00057186116408503	0.0960084385174093	0.00057186116408503	0.0601250179715419	NA	"abundance"	30	18
"CAG-873 sp009775265"	"Sex"	"M"	"SexM"	-4.78757001199271	-0.624832126159849	1.02059758469752	0.000589563219432598	0.0970049852714562	0.000589563219432598	0.0601250179715419	NA	"abundance"	30	24
"MGYG000329032"	"Genotype"	"MUT"	"GenotypeMUT"	-3.35918755235163	0.264802588829141	0.899028744708807	0.000611340835450225	0.0987593331450045	0.000611340835450225	0.0609262276609694	NA	"abundance"	30	25
"Adlercreutzia caecimuris"	"Sex"	"M"	"SexM"	-4.42490098965278	-0.624832126159849	0.953905926474893	0.000638760659895321	0.100664690743132	0.000638760659895321	0.0612104686203536	NA	"abundance"	30	26
"Lawsonibacter sp910584605"	"Genotype"	"MUT"	"GenotypeMUT"	2.38257051848054	0.264802588829141	0.542452705321547	0.000654899552372079	0.100664690743132	0.000654899552372079	0.0615729145183032	NA	"abundance"	30	29
"MGYG000410574"	"Sex"	"M"	"SexM"	-2.58717923293199	-0.624832126159849	0.488936328597051	0.000657124599111047	0.100664690743132	0.00131381738548334	0.0909271115536594	NA	"abundance"	30	25
"Bariatricus sp022793995"	"Genotype"	"MUT"	"GenotypeMUT"	-2.77470843314351	0.264802588829141	0.692319387689375	0.00074260835844453	0.108165168275076	0.00074260835844453	0.0658423640633414	NA	"abundance"	30	17
"MGYG000328306"	"Genotype"	"MUT"	"GenotypeMUT"	-2.44924922765596	0.264802588829141	0.680722561017126	0.000740795887012924	0.108165168275076	0.000740795887012924	0.0658423640633414	NA	"abundance"	30	24
"Paramuribaculum intestinale"	"Genotype"	"MUT"	"GenotypeMUT"	-4.12788065766253	0.264802588829141	1.1356802578789	0.000741395996756267	0.108165168275076	0.000741395996756267	0.0658423640633414	NA	"abundance"	30	28
