feature	s__Bifidobacterium_pseudolongum	s__GGB80032_SGB42945	s__Atopobiaceae_bacterium_FL090493	s__Coriobacteriaceae_bacterium	s__Parvibacter_caecicola	s__Adlercreutzia_caecimuris	s__Adlercreutzia_mucosicola	s__Adlercreutzia_muris	s__Eggerthellaceae_bacterium	s__Enterorhabdus_sp_P55	s__Bacteria_unclassified_SGB63107	s__bacterium_D16_63	s__bacterium_D16_76	s__GGB14001_SGB21428	s__GGB30048_SGB42949	s__GGB28904_SGB41597	s__Bacteroides_SGB40318	s__Bacteroidales_bacterium	s__GGB27849_SGB40283	s__Barnesiella_sp_CU968	s__Duncaniella_dubosii	s__Duncaniella_muris	s__GGB27919_SGB40357	s__GGB3583_SGB21441	s__GGB46159_SGB63927	s__GGB70852_SGB95305	s__Muribaculaceae_bacterium	s__Muribaculaceae_bacterium_Isolate_013_NCI	s__Muribaculaceae_bacterium_Isolate_110_HZI	s__Muribaculum_gordoncarteri	s__Muribaculum_intestinale	s__Paramuribaculum_intestinale	s__GGB1503_SGB2082	s__GGB24146_SGB35950	s__GGB27872_SGB40306	s__GGB24149_SGB35953	s__GGB27861_SGB40295	s__GGB75879_SGB103683	s__GGB27866_SGB40300	s__GGB27885_SGB40319	s__GGB27485_SGB39778	s__GGB75725_SGB102612	s__GGB27929_SGB40368	s__GGB27860_SGB40294	s__Lactobacillus_intestinalis	s__Lactobacillus_johnsonii	s__Ligilactobacillus_murinus	s__Limosilactobacillus_reuteri	s__GGB28981_SGB41694	s__GGB28772_SGB41425	s__GGB28778_SGB41431	s__GGB30298_SGB43262	s__GGB79760_SGB63182	s__GGB28967_SGB41417	s__GGB28330_SGB40904	s__Clostridiaceae_bacterium	s__Clostridium_SGB40327	s__GGB24132_SGB35935	s__Clostridiales_bacterium	s__Dorea_sp_5_2	s__GGB25041_SGB36960	s__GGB27873_SGB41457	s__GGB27876_SGB40310	s__GGB28766_SGB41418	s__GGB28988_SGB41701	s__GGB30861_SGB44083	s__GGB42598_SGB59794	s__GGB42646_SGB59844	s__Lachnospiraceae_bacterium	s__Lachnospiraceae_bacterium_MD308	s__Lachnospiraceae_unclassified_SGB41402	s__GGB28849_SGB41516	s__GGB28879_SGB43526	s__GGB30461_SGB63209	s__GGB30466_SGB63211	s__GGB45650_SGB63364	s__GGB75074_SGB102167	s__Neglectibacter_sp_X4	s__Hungateiclostridiaceae_bacterium_KB18	s__Faecalibaculum_rodentium	s__Turicibacter_sp_TS3	s__GGB24148_SGB35952	s__Parasutterella_sp_NM82_D38	s__Turicimonas_muris	s__GGB28310_SGB40880	s__GGB28317_SGB40889	s__Akkermansia_muciniphila
X83_SLC_SMT_NEG_143I	1532	145	27755	79215	0	1997	0	2382	0	0	383	0	0	16633	0	0	26682	19127	2794	0	0	11067	0	1271	27696	0	0	0	0	45445	26453	0	0	2065	0	2494	331	0	0	0	0	0	1905	1792	0	0	0	0	0	0	0	0	0	899	0	0	0	28591	0	1381	0	0	2862	0	0	2046	0	2918	0	4119	0	0	0	0	0	0	0	0	0	102512	0	0	0	2144	10418	0	48689
X82_SLC_SMT_NEG_16I	370443	16527	37438	778822	0	0	0	73719	0	0	0	0	0	66697	16642	2652	0	0	0	0	0	0	0	0	27664	0	0	0	27303	0	0	0	0	0	0	0	0	0	0	0	0	0	18271	0	0	7476	206	0	0	1535	0	0	0	7012	18418	0	0	0	0	0	1507	0	0	0	1889	7432	0	0	0	5344	82831	284	536	0	3059	2793	0	0	0	1191274	0	9661	15014	0	185092	0	193527
X81_SLC_SMT_NEG_89I	95249	68755	20938	1786766	22541	215903	32231	223742	18391	37324	35502	0	2795	75449	115544	0	29850	937	5330	0	0	0	2522848	280	18242	6141	13980	0	5802	285508	258221	54096	179463	28558	0	4206	0	20607	146	1979	0	0	1975	6898	714	6623	578	6976	3754	21046	0	3444	519	0	0	0	1110	249479	5834	0	0	0	30705	4431	0	113973	253621	4102	11028	2455	0	0	230	0	0	0	76	0	0	3046284	0	6698	1315	438	2361034	0	460876
X80_SLC_SMT_NEG_194I	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	51346	7998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23638	0	0	0	0	0	0	0
X79_SLC_SMT_NEG_141J	0	0	81622	50048	0	0	728	1216	0	0	0	0	0	14129	0	0	0	0	0	0	0	1151	0	0	0	0	0	0	0	18744	8361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	1496	0	0	0	3414	0	0	0	0	0	0	0	0	0	56049	0	0	0	0	21780	0	92724
X78_SLC_SMT_NEG_18J	311370	85735	12067	7058349	0	0	0	179941	0	0	0	0	0	472572	19501	33931	0	0	0	0	0	0	0	0	146132	0	0	0	69526	0	0	0	0	0	0	0	0	0	0	0	0	0	7354	0	0	0	1862	0	0	5532	0	0	0	7613	64311	0	0	0	1215	16107	0	0	0	0	917	72475	0	0	0	33272	545387	1658	0	0	4072	7287	0	0	1653	4050453	0	43451	111649	0	700775	0	2075041
X77_SLC_SMT_NEG_88J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X76_SLC_SMT_NEG_142I	12573	3147	106388	363482	2068	25083	849	19473	1385	6287	2734	0	0	16303	3108	0	18621	1286	9518	0	0	0	0	4692	11087	0	0	0	0	27710	5909	0	0	3988	0	2528	0	0	0	0	0	1681	1199	319	0	0	0	273	0	0	0	0	0	0	0	0	0	68768	0	414	0	0	147	1649	0	4537	0	0	0	3125	0	0	0	0	0	0	0	0	0	491375	0	1944	0	9638	44482	0	285237
X75_SLC_SMT_NEG_15I	32838	2867	0	310993	0	0	0	13885	0	0	0	0	0	139511	0	0	0	0	0	0	0	0	0	0	128115	0	0	0	62225	0	0	0	0	0	0	0	0	0	0	0	0	0	33734	0	0	0	0	0	0	2305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0	0	0	1051	71401	0	0	0	0	0	0	0	0	224170	0	16773	10390	0	12469	0	274787
X74_SLC_SMT_NEG_91I	3261949	239325	88096	4918772	21455	136594	10099	411448	50752	61997	77340	0	5493	160415	223065	0	1126694	1138167	1022206	34563	661517	79988	2690217	150332	812479	1441228	98685	75830	473370	505437	994810	480447	828303	101262	11409	163586	11601	551063	18767	21315	8574	8825	59354	268740	58051	80156	17773	97568	22974	18488	1353	7786	2982	3009	0	5266	38554	796362	4101	0	0	141	45841	8408	3892	155190	126183	27113	4767	5456	12884	0	173	32563	2643	1313	20704	6153	1270	5987771	143	315312	32616	52590	2469930	14905	1589800
