Mouse ID,Sex,Genotype,GPX Activity,
415,Male,WT,30.37137751,30.75887272
417,Male,WT,38.94357207,
680,Male,WT,19.90718754,
416,Male,WT,17.23656326,
455,Male,WT,61.16724116,
471,Male,WT,25.52495851,
656,Male,WT,24.41159198,
413,Male,WT,28.50848972,
405,Female,WT,31.0408528,26.41819865
426,Female,WT,19.32503511,
651,Female,WT,28.03549087,
468,Female,WT,13.99106345,
407,Female,WT,18.99757436,
464,Female,WT,25.79420401,
660,Female,WT,40.55176816,
406,Female,WT,33.60960041,
655,Male,HET,15.78845908,33.02825652
675,Male,HET,35.77811822,
462,Male,HET,43.78271416,
418,Male,HET,35.85816418,
414,Male,HET,28.79228903,
681,Male,HET,,
463,Male,HET,38.26681986,
679,Male,HET,31.179114,
411,Male,HET,36.78960807,
419,Male,HET,31.01902209,
473,Female,HET,16.32695008,26.96651347
652,Female,HET,9.988765479,
659,Female,HET,22.35222775,
653,Female,HET,27.51883059,
658_688,Female,HET,31.61572833,
474,Female,HET,14.92978425,
699,Female,HET,41.22124346,
466,Female,HET,27.99910634,
698,Female,HET,41.44682752,
465,Female,HET,36.26567088,
460,Male,MUT,24.77543725,27.9336142
420,Male,MUT,14.92978425,
461,Male,MUT,44.09562109,
454,Female,MUT,12.76126644,34.94418486
470,Female,MUT,13.9182944,
676,Female,MUT,74.14924039,
421,Female,MUT,41.9562109,
467,Female,MUT,31.93591217,
