,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Blank,Blank,168 SI MUC,168 SI MUC,173 SI MUC,173 SI MUC,178 SI MUC,178 SI MUC,182 SI MUC,182 SI MUC,203 SI MUC,203 SI MUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Pos Control,Pos Control,168 SI TS,168 SI TS,173 SI TS,173 SI TS,178 SI TS,178 SI TS,182 SI TS,182 SI TS,203 SI TS,203 SI TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,159 SI MUC,159 SI MUC,169 SI MUC,169 SI MUC,175 SI MUC,175 SI MUC,179 SI MUC,179 SI MUC,191 SI MUC,191 SI MUC,204 SI MUC,204 SI MUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,159 SI TS,159 SI TS,169 SI TS,169 SI TS,175 SI TS,175 SI TS,179 SI TS,179 SI TS,191 SI TS,191 SI TS,204 SI TS,204 SI TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,160 SI MUC,160 SI MUC,170 SI MUC,170 SI MUC,176 SI MUC,176 SI MUC,180 SI MUC,180 SI MUC,193 SI MUC,193 SI MUC,212 SI MUC,212 SI MUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,160 SI TS,160 SI TS,170 SI TS,170 SI TS,176 SI TS,176 SI TS,180 SI TS,180 SI TS,193 SI TS,193 SI TS,212 SI TS,212 SI TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,167 SI MUC,167 SI MUC,172 SI MUC,172 SI MUC,177 SI MUC,177 SI MUC,181 SI MUC,181 SI MUC,202 SI MUC,202 SI MUC,213 SI MUC,213 SI MUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,167 SI TS,167 SI TS,172 SI TS,172 SI TS,177 SI TS,177 SI TS,181 SI TS,181 SI TS,202 SI TS,202 SI TS,213 SI TS,213 SI TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
