"","pathway","pval","padj","log2err","ES","NES","size"
"1","CUI_B_CELL_41BBL_RESPONSE_UP",0.803448275862069,0.856025668147521,0.0488970772260102,0.325001542999115,0.760450448929106,12
"2","CUI_B_CELL_CD40L_RESPONSE_UP",0.0000000941644733343929,0.000000776005312382984,0.704975715167238,0.467134059114703,1.91225277686212,194
"3","CUI_B_CELL_EGF_RESPONSE_DN",0.118387909319899,0.178266187155108,0.206587922696891,-0.528954968083459,-1.38018383276421,15
"4","CUI_B_CELL_GM_CSF_RESPONSE_UP",0.3125,0.399256472614886,0.0959206777921745,0.463112641415145,1.12013242838978,13
"5","CUI_B_CELL_IFNA1_RESPONSE_DN",0.00000000000000000000000000000159674344349111,0.000000000000000000000000000277301111352956,1.43181244608859,-0.698544059679846,-2.99150844040433,177
"6","CUI_B_CELL_IFNA1_RESPONSE_UP",0.00010084947928491,0.000445276090741002,0.538434096309916,0.330558479416198,1.47722613863964,493
"7","CUI_B_CELL_IFNB_RESPONSE_DN",0.000000000000000000000000000000298992948559406,0.0000000000000000000000000000778876630997252,1.45334466856494,-0.707054929349197,-3.00964008931233,170
"8","CUI_B_CELL_IFNB_RESPONSE_UP",0.0129674690991255,0.0275757200026302,0.380730400722792,0.28824532004965,1.27370860955599,415
"9","CUI_B_CELL_IFNE_RESPONSE_UP",0.0000274162734977238,0.000133494191516954,0.575610261071129,-0.648570467559711,-2.11562529331214,35
"10","CUI_B_CELL_IFNG_RESPONSE_UP",0.0694810637219561,0.116024468586984,0.287805130535564,-0.320772833414708,-1.29150964436628,109
"11","CUI_B_CELL_IFNK_RESPONSE_UP",0.0000000194280891901411,0.000000190981782416293,0.73376198835648,-0.629060771400172,-2.31573213433122,68
"12","CUI_B_CELL_IL10_RESPONSE_UP",0.341503267973856,0.431852433530046,0.0888945288620449,0.37173388542881,1.09529289986823,30
"13","CUI_B_CELL_IL12_RESPONSE_UP",0.10025706940874,0.156389021442975,0.227987202850442,-0.453523056559526,-1.36782750339767,25
"14","CUI_B_CELL_IL15_RESPONSE_UP",0.000000411330068174667,0.00000293565706190413,0.674962860011025,-0.528398579823963,-2.09464881693043,101
"15","CUI_B_CELL_IL17E_RESPONSE_UP",0.398042414355628,0.496642107723152,0.080419996876154,0.405949192757041,1.05178360354869,16
"16","CUI_B_CELL_IL18_RESPONSE_UP",0.00033887856802463,0.00129820392603553,0.49849310876659,-0.45588508762271,-1.7434765582506,87
