"","pathway","pval","padj","log2err","ES","NES","size"
"1","CUI_B_CELL_41BBL_RESPONSE_UP",0.499047619047619,0.662583288948793,0.0766746872490091,-0.402383969910966,-0.982893516748816,12
"2","CUI_B_CELL_CD40L_RESPONSE_UP",1.78821788369665e-09,5.48036186709384e-08,0.788186810800237,-0.497309436793615,-2.09892428143128,194
"3","CUI_B_CELL_EGF_RESPONSE_DN",0.00170386526843135,0.0107702608782557,0.45505986738723,-0.727801443554545,-1.88367306299925,15
"4","CUI_B_CELL_GM_CSF_RESPONSE_UP",0.161849710982659,0.304417687443918,0.151148761385484,-0.514582384776451,-1.28199804673816,13
"5","CUI_B_CELL_IFNA1_RESPONSE_DN",0.12,0.249083665338645,0.16440575583821,-0.285432600887574,-1.19170353554893,177
"6","CUI_B_CELL_IFNA1_RESPONSE_UP",4.89350317659277e-09,1.34185008158149e-07,0.761460801445585,-0.381134862634034,-1.74666959382746,493
"7","CUI_B_CELL_IFNB_RESPONSE_DN",0.0214255467543123,0.0754779635169653,0.352487857583619,-0.335724260795175,-1.39766768724804,170
"8","CUI_B_CELL_IFNB_RESPONSE_UP",4.16806376123876e-05,0.000417607926847191,0.557332238758646,-0.335508193334155,-1.5199542912809,415
"9","CUI_B_CELL_IFNE_RESPONSE_UP",0.753684210526316,0.876494360902256,0.0611692626746689,0.253459963837621,0.824904363413222,35
"10","CUI_B_CELL_IFNG_RESPONSE_UP",0.00229519017570606,0.0137447595579639,0.431707695803346,-0.407289382131058,-1.61427993958246,109
"11","CUI_B_CELL_IFNK_RESPONSE_UP",0.0344479097617754,0.106197402283343,0.321775918075361,0.369886024853206,1.37405566862568,68
"12","CUI_B_CELL_IL10_RESPONSE_UP",0.0482374768089054,0.130894403215832,0.282013350011725,-0.488102487944349,-1.49651890431604,30
"13","CUI_B_CELL_IL12_RESPONSE_UP",0.170411985018727,0.315959587881696,0.144630528034484,-0.422478747023882,-1.24955429446287,25
"14","CUI_B_CELL_IL15_RESPONSE_UP",0.271095152603232,0.435927699093468,0.108394255853397,-0.282392063982352,-1.10308761498919,101
"15","CUI_B_CELL_IL17E_RESPONSE_UP",0.0178238422564898,0.0668073511915912,0.352487857583619,-0.636939408658765,-1.6839578100481,16
"16","CUI_B_CELL_IL18_RESPONSE_UP",0.0215858283378653,0.0754779635169653,0.352487857583619,-0.383003728684403,-1.45763603599458,87
"17","CUI_B_CELL_IL1A_RESPONSE_DN",0.0159066483674147,0.0600533608653845,0.352487857583619,-0.550472044883926,-1.64650929819809,27
"18","CUI_B_CELL_IL1A_RESPONSE_UP",0.0252565656206587,0.0838131890978547,0.352487857583619,-0.436470317226155,-1.50263865801026,53
"19","CUI_B_CELL_IL21_RESPONSE_UP",9.16667495078133e-09,2.20903924044967e-07,0.747739663149885,-0.494188435575072,-2.05727652614499,172
"20","CUI_B_CELL_IL23_RESPONSE_UP",0.790170132325142,0.910793448985396,0.0538979025357319,-0.255205607140957,-0.792021447840974,32
"21","CUI_B_CELL_IL27_RESPONSE_UP",0.0317555753469062,0.0984800878317747,0.321775918075361,-0.673291036296372,-1.56944273636843,10
"22","CUI_B_CELL_IL2_RESPONSE_UP",0.198458574181118,0.351370260185559,0.135002033828631,-0.496236640559591,-1.23629261851564,13
"23","CUI_B_CELL_IL33_RESPONSE_UP",0.567226890756303,0.719039440593756,0.0751181635276301,0.320656951974777,0.92913585995904,21
"24","CUI_B_CELL_IL36A_RESPONSE_UP",0.355805243445693,0.522181779817482,0.0943563635421779,-0.363049472848637,-1.07378189103285,25
"25","CUI_B_CELL_IL4_RESPONSE_DN",0.911764705882353,0.975844941450691,0.0460457683018055,-0.210946166634276,-0.742245739202476,60
"26","CUI_B_CELL_IL5_RESPONSE_UP",0.00171579971764919,0.0107702608782557,0.45505986738723,-0.558713903637938,-1.81987213199038,40
"27","CUI_B_CELL_IL7_RESPONSE_UP",0.192883895131086,0.344152429326356,0.135002033828631,-0.40266173017926,-1.21681812694044,28
"28","CUI_B_CELL_LTA1_B2_RESPONSE_DN",0.0241717381249725,0.0812482294394238,0.352487857583619,-0.630939653494512,-1.59756684172069,14
"29","CUI_B_CELL_TNFA_RESPONSE_UP",0.930841121495327,0.9786266838572,0.0458620343117985,-0.258806666150704,-0.60327885032938,10
"30","CUI_CDC1_C5A_RESPONSE_DN",0.12593984962406,0.25832543958321,0.170932335370056,-0.561193127851515,-1.33746628751044,11
"31","CUI_CDC1_EGF_RESPONSE_DN",0.741312741312741,0.866049657722911,0.0578529757032509,-0.301272035313934,-0.821666391539773,19
"32","CUI_CDC1_FLT3L_RESPONSE_DN",0.967741935483871,0.980944301911777,0.044774889329693,-0.197001555403641,-0.622586945004278,35
"33","CUI_CDC1_FLT3L_RESPONSE_UP",0.0351991451946244,0.107733702853664,0.321775918075361,-0.362388153432138,-1.41476502581184,102
"34","CUI_CDC1_GM_CSF_RESPONSE_DN",0.971428571428571,0.980944301911777,0.0513223330421143,0.179892806115646,0.690000165450732,82
"35","CUI_CDC1_GM_CSF_RESPONSE_UP",2.32497844118117e-11,1.00942813987949e-09,0.863415391606693,-0.457149278753121,-2.01321107895127,312
"36","CUI_CDC1_IFNA1_RESPONSE_DN",2.80779158701862e-05,0.000286835179771903,0.575610261071129,-0.339166778423002,-1.54639919058217,452
"37","CUI_CDC1_IFNB_RESPONSE_DN",0.377887788778878,0.551483299590463,0.0838361057159929,-0.242794194521156,-1.02857081952505,213
"38","CUI_CDC1_IFNB_RESPONSE_UP",0.535714285714286,0.690859264497878,0.0609039347452418,-0.215528037518798,-0.979353859110726,435
"39","CUI_CDC1_IFNE_RESPONSE_UP",0.902173913043478,0.969518776284938,0.0542315935495841,0.215272764520311,0.766930926358254,53
"40","CUI_CDC1_IFNG_RESPONSE_DN",0.830855018587361,0.938148271481605,0.0508054139066364,-0.236763004713263,-0.807092127464984,51
"41","CUI_CDC1_IFNG_RESPONSE_UP",0.104065040650407,0.224040851978768,0.175204047558551,-0.287985096656748,-1.21459684943786,190
"42","CUI_CDC1_IFNK_RESPONSE_DN",0.28996282527881,0.448280807033413,0.106323255932708,-0.36818049751532,-1.11835545950581,29
"43","CUI_CDC1_IFNK_RESPONSE_UP",0.625874125874126,0.763654378408477,0.0611692626746689,-0.229561134941697,-0.931846362130137,133
"44","CUI_CDC1_IFNL2_RESPONSE_UP",0.0448835647136245,0.126401822788099,0.321775918075361,-0.374306836418303,-1.41738231117022,85
"45","CUI_CDC1_IL10_RESPONSE_DN",0.915401301518438,0.977303438711283,0.053457214108991,0.20922789932832,0.763534587178571,63
"46","CUI_CDC1_IL10_RESPONSE_UP",0.00377027308932009,0.0202183496755255,0.431707695803346,-0.443183313718749,-1.68579431898487,86
"47","CUI_CDC1_IL11_RESPONSE_UP",0.0267055729433486,0.0875069402734882,0.352487857583619,-0.686686562354168,-1.60066773408545,10
"48","CUI_CDC1_IL12_RESPONSE_UP",0.0128172498985565,0.0505091050637005,0.380730400722792,-0.408332253906024,-1.51534947448104,77
"49","CUI_CDC1_IL13_RESPONSE_DN",0.298311444652908,0.457118419600486,0.105125131597001,-0.38280723200361,-1.12196837052479,24
"50","CUI_CDC1_IL13_RESPONSE_UP",0.000805719272139214,0.0060837643591961,0.477270815362862,-0.475784243383803,-1.73776022540465,71
"51","CUI_CDC1_IL15_RESPONSE_DN",0.892561983471074,0.968276604944359,0.0421619430092452,-0.197999630273195,-0.840159229259401,227
"52","CUI_CDC1_IL15_RESPONSE_UP",0.459580838323353,0.630684210526316,0.0686325631836726,-0.222433241348625,-1.0026653558003,397
"53","CUI_CDC1_IL18_RESPONSE_DN",0.97153024911032,0.980944301911777,0.0416556773979467,-0.181453116958394,-0.737868275718465,139
"54","CUI_CDC1_IL18_RESPONSE_UP",0.00314772911800617,0.0172628091629601,0.431707695803346,-0.309575061376429,-1.38422913369586,378
"55","CUI_CDC1_IL1A_RESPONSE_DN",0.868670886075949,0.958850702638919,0.0414044273760278,-0.197271922576561,-0.864934413181345,299
"56","CUI_CDC1_IL1A_RESPONSE_UP",0.0537974683544304,0.142276553363747,0.245041785430996,-0.272934546196325,-1.20274347393216,319
"57","CUI_CDC1_IL1B_RESPONSE_DN",0.931372549019608,0.9786266838572,0.0396787203613389,-0.193606092840195,-0.82651199911253,246
"58","CUI_CDC1_IL1B_RESPONSE_UP",0.157643312101911,0.299752429215677,0.138022242496643,-0.258773282739313,-1.13056822269824,280
"59","CUI_CDC1_IL2_RESPONSE_DN",0.660071942446043,0.796058986144418,0.059989249649033,-0.234359803585204,-0.910804744584204,98
"60","CUI_CDC1_IL2_RESPONSE_UP",0.00519951664323265,0.0261825778377809,0.407017918923954,-0.341208460103826,-1.43954031562381,192
"61","CUI_CDC1_IL33_RESPONSE_DN",0.891025641025641,0.968276604944359,0.0540088272801684,0.241780567678497,0.723331811027147,25
