"pathway","HET","padj_HET","MUT","padj_MUT","description","mean_coef"
"REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE",-2.22581423584049,0.000163606531625473,-2.24996034818626,0.000101445310989882,NA,-2.23788729201337
"REACTOME_SIGNALING_BY_EGFR",-2.12455866274432,0.000440345594789267,-2.31157228765315,1.24226214093913e-05,NA,-2.21806547519873
"REACTOME_RHOC_GTPASE_CYCLE",-2.15102692349428,5.77524085923253e-05,-2.25077157058576,8.03267026655333e-06,NA,-2.20089924704002
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",-2.13607689967938,0.000159016428680728,-2.23295179621696,3.50678153548351e-05,NA,-2.18451434794817
"REACTOME_IRS_MEDIATED_SIGNALLING",-2.1373432801106,0.00134744896971984,-2.17385423953639,0.000552920585574973,NA,-2.1555987598235
"REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R",-2.14775231595482,0.000784373416448285,-2.16199217402667,0.000344841713539472,NA,-2.15487224499075
"REACTOME_SIGNALING_BY_BMP",-2.06284182305637,0.00217662018379522,-2.21362235458072,0.000344841713539472,NA,-2.13823208881854
"REACTOME_EGFR_DOWNREGULATION",-2.09742137524622,0.00176727097338964,-2.08909307931266,0.00114991187338572,NA,-2.09325722727944
"REACTOME_RHOB_GTPASE_CYCLE",-1.86707278665056,0.00203020300595922,-2.30199677759022,1.61221754372044e-06,NA,-2.08453478212039
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY",-2.01717513908926,0.00701528161722966,-2.09630996570985,0.00161870719609536,NA,-2.05674255239956
"REACTOME_RHOF_GTPASE_CYCLE",-1.89951313791825,0.00658979782318839,-2.20361688420436,0.000101445310989882,NA,-2.0515650110613
"REACTOME_INTERLEUKIN_17_SIGNALING",-1.9923019094909,0.00147039375646694,-2.07727152021831,0.000119647447157898,NA,-2.0347867148546
"REACTOME_PI_METABOLISM",-2.06056214949445,0.000159016428680728,-1.96939354716416,0.000350724036326276,NA,-2.01497784832931
"REACTOME_SIGNALING_BY_MET",-1.85947768786461,0.00241185597130827,-2.15832531928088,2.35623517472956e-05,NA,-2.00890150357275
"REACTOME_RHOJ_GTPASE_CYCLE",-1.98690274644757,0.00499689216660971,-2.02677444779861,0.00222191361477433,NA,-2.00683859712309
"REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER",-1.90710965044073,0.00839029746888121,-2.05722773583447,0.000975165780027396,NA,-1.9821686931376
"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK",-1.85345493533314,0.00653866773209761,-2.03822341610924,0.00045074063598828,NA,-1.94583917572119
"REACTOME_SIGNALING_BY_HIPPO",-1.85172553891157,0.0198502894151852,-2.03671509085775,0.00240921512209357,NA,-1.94422031488466
"REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING",-2.0801087637574,0.00211797101930629,-1.79915009998712,0.0405359046760577,NA,-1.93962943187226
"REACTOME_RETROGRADE_TRANSPORT_AT_THE_TRANS_GOLGI_NETWORK",-1.95071936078522,0.00224781734465003,-1.92777779443453,0.00259970308113871,NA,-1.93924857760988
"REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE",-1.89310755313162,0.0102684993306814,-1.96938694353587,0.00394800087107279,NA,-1.93124724833375
"REACTOME_PI_3K_CASCADE_FGFR4",-1.91594503247614,0.0141923495257501,-1.93174709250746,0.0116429834569083,NA,-1.9238460624918
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK",-2.03268703385498,8.20563811055039e-05,-1.80693632014248,0.000383596690893855,NA,-1.91981167699873
"REACTOME_DEATH_RECEPTOR_SIGNALING",-1.83861617101817,0.000341289109388055,-1.99410204781789,5.2097809621932e-06,NA,-1.91635910941803
"REACTOME_RHOQ_GTPASE_CYCLE",-1.74749445956049,0.0141923495257501,-2.08444370853111,0.000147953014951483,NA,-1.9159690840458
"REACTOME_RHOA_GTPASE_CYCLE",-1.84472570143594,0.000159016428680728,-1.98570847728709,4.465599968007e-06,NA,-1.91521708936152
"REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS",-1.76944495091827,0.00714081720180508,-2.05424619169578,0.00063257507350506,NA,-1.91184557130703
"REACTOME_SIGNALING_BY_NTRK1_TRKA",-1.84356188995032,0.00300353849605373,-1.95821453718553,0.000429968709909083,NA,-1.90088821356793
"REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE",-1.73752309509555,0.0340583579238434,-2.05572277433037,0.00161870719609536,NA,-1.89662293471296
"REACTOME_PI_3K_CASCADE_FGFR3",-1.92509085528478,0.0118517880888165,-1.85125509090842,0.0211023270359866,NA,-1.8881729730966
"REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES",-1.94135783963128,0.0081221947210542,-1.828229836257,0.0150766096125806,NA,-1.88479383794414
"REACTOME_RHOD_GTPASE_CYCLE",-1.84474316260978,0.0067011202095021,-1.92454289975443,0.00155241966772668,NA,-1.8846430311821
"REACTOME_SIGNALING_BY_NTRKS",-1.86597726895121,0.00176727097338964,-1.89251348301149,0.000802183615169799,NA,-1.87924537598135
"REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS",-1.81214286337422,0.0269445482710947,-1.92472781570347,0.00458676996169709,NA,-1.86843533953884
"REACTOME_RHO_GTPASE_CYCLE",-1.70092826700805,1.25948122303546e-06,-2.03446372364669,1.18664390195555e-12,NA,-1.86769599532737
"REACTOME_GAB1_SIGNALOSOME",-1.85872835741649,0.0141923495257501,-1.87484791292589,0.0101774820589726,NA,-1.86678813517119
"REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING",-1.80545244415878,0.0298783256608893,-1.92242337820746,0.0124541309940965,NA,-1.86393791118312
"REACTOME_SUMOYLATION_OF_TRANSCRIPTION_COFACTORS",-1.85740011381456,0.0115847670612321,-1.86400881201221,0.00754134418717837,NA,-1.86070446291339
"REACTOME_SIGNALING_BY_FGFR3",-1.87862818936256,0.0126486282530721,-1.83739789961569,0.0146732352614593,NA,-1.85801304448912
"REACTOME_PI_3K_CASCADE_FGFR2",-1.89615978592806,0.0125853727190293,-1.81882623890051,0.0158895980944041,NA,-1.85749301241428
"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING",-1.75492682285013,0.00893052939147047,-1.95549527055002,0.000273625541311423,NA,-1.85521104670008
"REACTOME_PREDNISONE_ADME",-1.84995428758583,0.0300914997622594,-1.85836359739593,0.0181687130092516,NA,-1.85415894249088
"REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1",-1.89384823726332,0.0147204169046978,-1.79296892295411,0.0279392767105973,NA,-1.84340858010872
"REACTOME_MET_ACTIVATES_RAP1_AND_RAC1",-1.78979130118942,0.0387075016432264,-1.87544633233848,0.0160751468366968,NA,-1.83261881676395
"REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS",-1.90488831516521,0.0147439440157761,-1.7484470215815,0.0604890087623175,NA,-1.82666766837335
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",-1.67414888685168,0.0117552700080487,-1.96925814019915,0.000351353382576368,NA,-1.82170351352541
"REACTOME_SIGNALING_BY_FGFR4",-1.84316557072588,0.0141923495257501,-1.79894951425876,0.0157211611125701,NA,-1.82105754249232
"REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K",-1.94836151189816,0.0147204169046978,-1.68370800798703,0.0569649728097041,NA,-1.8160347599426
"REACTOME_RAC1_GTPASE_CYCLE",-1.60288222702845,0.00224781734465003,-2.02673698643552,6.80001396407751e-07,NA,-1.81480960673198
"REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK",-1.70542483672256,0.0531943262161061,-1.92280291233343,0.0080802242304562,NA,-1.81411387452799
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2",-1.81882246362409,0.0220763169487401,-1.79766598634305,0.0272451136259753,NA,-1.80824422498357
"REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS",-1.82329694313622,0.0269445482710947,-1.78798933650484,0.0456978745088593,NA,-1.80564313982053
"REACTOME_SIGNALING_BY_PDGF",-1.70480329034339,0.0110263462067092,-1.90334474732157,0.00239457009791085,NA,-1.80407401883248
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3",-1.77482291169164,0.0422320677422025,-1.83319022085826,0.0175188865018789,NA,-1.80400656627495
"REACTOME_SIGNALING_BY_ERYTHROPOIETIN",-1.94503683197331,0.0147204169046978,-1.66080684952974,0.0618063020082652,NA,-1.80292184075152
"REACTOME_ERBB2_REGULATES_CELL_MOTILITY",-1.94549091906136,0.00918612419227024,-1.65277071420568,0.058290873160763,NA,-1.79913081663352
"REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4",-1.70987305882488,0.0463390171641698,-1.88333651272828,0.0145451406636744,NA,-1.79660478577658
"REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING",-1.88438720442425,0.023660801882814,-1.70434570494731,0.052071997391162,NA,-1.79436645468578
"REACTOME_RAC3_GTPASE_CYCLE",-1.60649309222976,0.0206753031014514,-1.97747980296314,6.59808267154071e-05,NA,-1.79198644759645
"REACTOME_MET_PROMOTES_CELL_MOTILITY",-1.65730695965661,0.0387075016432264,-1.92655347180955,0.00677131473156009,NA,-1.79193021573308
"REACTOME_SIGNALING_BY_ERBB4",-1.74125281001948,0.0309516188255834,-1.83596939983796,0.01528061651348,NA,-1.78861110492872
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",-1.74526081390555,0.00398626588612206,-1.83192894619385,0.000744402809830789,NA,-1.7885948800497
