"","pathway","pval","padj","log2err","ES","NES","size"
"1","CUI_B_CELL_41BBL_RESPONSE_UP",0.926216640502355,1,0.0380842053196415,0.265314464273653,0.634902966177097,12
"2","CUI_B_CELL_CD40L_RESPONSE_UP",3.10918518008328e-20,1.61988547882339e-18,1.16017957183021,0.62147686312964,2.39557441522263,194
"3","CUI_B_CELL_EGF_RESPONSE_DN",0.563025210084034,0.821669844408352,0.0911073131586733,-0.319758552106208,-0.907048180969645,15
"4","CUI_B_CELL_GM_CSF_RESPONSE_UP",0.167456556082148,0.42351876562524,0.132846300606183,0.530722171042962,1.28929639724764,13
"5","CUI_B_CELL_IFNA1_RESPONSE_DN",0.709567198177677,0.920222308531691,0.0355420211253902,0.235736470938134,0.899460796017652,177
"6","CUI_B_CELL_IFNA1_RESPONSE_UP",2.67840386895022e-12,5.8143683988461e-11,0.898671232061694,0.443419690098497,1.81252033538574,493
"7","CUI_B_CELL_IFNB_RESPONSE_DN",0.857961053837342,1,0.0264649017470855,0.214347377303466,0.815682653287303,170
"8","CUI_B_CELL_IFNB_RESPONSE_UP",3.97160796894021e-05,0.000440256968471883,0.557332238758646,0.369982463245015,1.50220531141273,415
"9","CUI_B_CELL_IFNE_RESPONSE_UP",0.375,0.666808873720137,0.0756946307932749,0.346689865994859,1.05284448005917,35
"10","CUI_B_CELL_IFNG_RESPONSE_UP",0.756038647342995,0.951439940255315,0.0353157046479879,0.238410704165776,0.861079215637918,109
"11","CUI_B_CELL_IFNK_RESPONSE_UP",0.516528925619835,0.786738431636391,0.120985142145252,-0.244904836791654,-0.970025038533455,68
"12","CUI_B_CELL_IL10_RESPONSE_UP",0.00288760040285684,0.0192876898703643,0.431707695803346,0.591409990892758,1.73642877050141,30
"13","CUI_B_CELL_IL12_RESPONSE_UP",0.41304347826087,0.710216673841297,0.0723570851036907,0.36645241439245,1.03862405594251,25
"14","CUI_B_CELL_IL15_RESPONSE_UP",0.769230769230769,0.961077292012544,0.11331290842208,-0.210114360548006,-0.899973787862829,101
"15","CUI_B_CELL_IL17E_RESPONSE_UP",0.28902627511592,0.580874785591767,0.0952879846194844,0.460202348780004,1.16466317595242,16
"16","CUI_B_CELL_IL18_RESPONSE_UP",0.541191381495564,0.805825868402397,0.0529129848430583,0.275622477822415,0.964598519775806,87
"17","CUI_B_CELL_IL1A_RESPONSE_DN",0.546052631578947,0.805825868402397,0.102449405629826,-0.293368673956439,-0.949679482153068,27
"18","CUI_B_CELL_IL1A_RESPONSE_UP",0.62516733601071,0.85264969126068,0.0487989701682839,0.281914294444451,0.913332894149993,53
"19","CUI_B_CELL_IL21_RESPONSE_UP",2.38897160563926e-16,8.29769471025371e-15,1.03769615548758,0.605960238458066,2.30849933849764,172
"20","CUI_B_CELL_IL23_RESPONSE_UP",0.991489361702128,1,0.0299906706583812,0.171175023772934,0.512219394684156,32
"21","CUI_B_CELL_IL27_RESPONSE_UP",0.19281045751634,0.462922803530014,0.125033367555272,0.551827941415065,1.25307145936004,10
"22","CUI_B_CELL_IL2_RESPONSE_UP",0.472353870458136,0.758639219934995,0.0699458736501659,0.408367927457661,0.992058229992481,13
"23","CUI_B_CELL_IL33_RESPONSE_UP",0.648286140089419,0.878279662848498,0.0520570030732099,0.316973436596791,0.867572316364393,21
"24","CUI_B_CELL_IL36A_RESPONSE_UP",0.0276725240570852,0.125368565510795,0.352487857583619,0.551942891793995,1.564353630673,25
"25","CUI_B_CELL_IL4_RESPONSE_DN",0.541223404255319,0.805825868402397,0.0551351763385257,0.290306739977809,0.95895116295873,60
"26","CUI_B_CELL_IL5_RESPONSE_UP",4.86709654172674e-05,0.000516779234148672,0.557332238758646,0.632606220243401,1.96374649294227,40
"27","CUI_B_CELL_IL7_RESPONSE_UP",0.283667621776504,0.572832678083561,0.0919686140000427,0.393749908605884,1.1425626794046,28
"28","CUI_B_CELL_LTA1_B2_RESPONSE_DN",0.124653739612188,0.341813675462895,0.211400189384923,-0.470613736908439,-1.3086720897183,14
"29","CUI_B_CELL_TNFA_RESPONSE_UP",0.879487179487179,1,0.0632191170859458,-0.277000575336628,-0.704143531033012,10
"30","CUI_CDC1_C5A_RESPONSE_DN",0.021679557304936,0.10556120893338,0.352487857583619,-0.666846593559607,-1.74672880218363,11
"31","CUI_CDC1_EGF_RESPONSE_DN",0.0527766755633405,0.197222933281495,0.321775918075361,-0.503269648120215,-1.51301214562395,19
"32","CUI_CDC1_FLT3L_RESPONSE_DN",0.331034482758621,0.620391962292235,0.140406238523342,-0.314273314917489,-1.06820958046738,35
"33","CUI_CDC1_FLT3L_RESPONSE_UP",1.90414137734959e-08,2.83445045028325e-07,0.73376198835648,0.580121942190561,2.07421736121095,102
"34","CUI_CDC1_GM_CSF_RESPONSE_DN",0.585253456221198,0.827068521731242,0.119887845115423,-0.23144063872112,-0.962305175507764,82
"35","CUI_CDC1_GM_CSF_RESPONSE_UP",1.42371726555908e-12,3.37162134252854e-11,0.910119734774459,0.49043232930908,1.95628626168069,312
"36","CUI_CDC1_IFNA1_RESPONSE_DN",7.1069484433256e-13,1.76320006617745e-11,0.921426003494898,0.453803940286952,1.84557271194654,452
"37","CUI_CDC1_IFNB_RESPONSE_DN",0.0894039735099338,0.264656080674293,0.154190966581424,0.314892321723367,1.2233449492745,213
"38","CUI_CDC1_IFNB_RESPONSE_UP",0.257414236690404,0.540777489176212,0.203508959461977,-0.209710022856513,-1.06207886311902,435
"39","CUI_CDC1_IFNE_RESPONSE_UP",0.0127176812887671,0.0669284035499766,0.380730400722792,0.465133976246477,1.50691954634602,53
"40","CUI_CDC1_IFNG_RESPONSE_DN",0.647058823529412,0.878279662848498,0.0471642455670861,0.275908877992262,0.892406030114362,51
"41","CUI_CDC1_IFNG_RESPONSE_UP",1,1,0.0164369248025913,0.161188880485374,0.619717006927664,190
"42","CUI_CDC1_IFNK_RESPONSE_DN",0.594155844155844,0.834380578989743,0.0965629554309422,-0.280937004463073,-0.935251971581746,29
"43","CUI_CDC1_IFNK_RESPONSE_UP",0.0997652582159624,0.284088510518539,0.150169802128406,0.34251763292681,1.2644172873899,133
"44","CUI_CDC1_IFNL2_RESPONSE_UP",0.0032482920501478,0.0211545019765875,0.431707695803346,0.459782353628841,1.60303785726292,85
"45","CUI_CDC1_IL10_RESPONSE_DN",0.0229832792827613,0.109855857856134,0.352487857583619,-0.358189685101551,-1.40180814971025,63
"46","CUI_CDC1_IL10_RESPONSE_UP",0.00293372445914441,0.0193477271292941,0.431707695803346,0.448255268706576,1.56876308526135,87
"47","CUI_CDC1_IL11_RESPONSE_UP",0.00808826395380668,0.04630753318608,0.380730400722792,0.74165352878963,1.68412071936192,10
