"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"GGB22635_SGB63107"	"Sex"	"M"	"SexM"	-1.93756785391748	0.65730414787043	0.59553455217531	0.00615044884431071	0.260350195628581	0.0122630696676349	0.31308199165461	NA	"abundance"	20	9
"GGB28310_SGB40880"	"Sex"	"M"	"SexM"	-0.758133007679581	0.65730414787043	0.488306036616117	0.0192420952720731	0.260350195628581	0.0381139323136867	0.31308199165461	NA	"abundance"	20	16
"GGB30045_SGB42945"	"Sex"	"M"	"SexM"	-1.08054357051422	0.65730414787043	0.503690262044516	0.0108958149900744	0.260350195628581	0.0216729111958509	0.31308199165461	NA	"abundance"	20	12
"GGB46159_SGB63927"	"Sex"	"M"	"SexM"	3.19607739588033	0.65730414787043	0.819951799753567	0.0109567298659773	0.260350195628581	0.0217934098025986	0.31308199165461	NA	"abundance"	20	15
"Adlercreutzia_caecimuris"	"Sex"	"M"	"SexM"	-4.73941263773499	0	2.02709163152708	0.0193853953521254	0.260350195628581	0.0383949971512927	0.31308199165461	NA	"prevalence"	20	13
"Adlercreutzia_mucosicola"	"Sex"	"M"	"SexM"	-3.16252831948639	0	1.1792233678976	0.00732110602678919	0.260350195628581	0.0145886134601229	0.31308199165461	NA	"prevalence"	20	9
"Bacteroidales_bacterium"	"Sex"	"M"	"SexM"	-2.78024252415842	0	1.16161866568842	0.0166920749438399	0.260350195628581	0.0331055245217491	0.31308199165461	NA	"prevalence"	20	12
"Clostridia_bacterium"	"Sex"	"M"	"SexM"	-2.69222452395666	0	1.15359848514706	0.0196081777849761	0.260350195628581	0.0388318749339051	0.31308199165461	NA	"prevalence"	20	8
"Clostridiales_bacterium"	"Sex"	"M"	"SexM"	-2.69222452395667	0	1.15359848514706	0.0196081777849759	0.260350195628581	0.0388318749339047	0.31308199165461	NA	"prevalence"	20	8
"Coriobacteriaceae_bacterium"	"Sex"	"M"	"SexM"	-4.90357849182971	0	1.9707811590009	0.0128413343991936	0.260350195628581	0.0255177689292353	0.31308199165461	NA	"prevalence"	20	12
"Duncaniella_muris"	"Sex"	"M"	"SexM"	-2.78024252415842	0	1.16161866568842	0.0166920749438399	0.260350195628581	0.0331055245217491	0.31308199165461	NA	"prevalence"	20	12
"Eubacteriaceae_bacterium"	"Sex"	"M"	"SexM"	-2.59858002635246	0	1.094076489779	0.0175425040139129	0.260350195628581	0.0347772685807476	0.31308199165461	NA	"prevalence"	20	8
"GGB22635_SGB63107"	"Sex"	"M"	"SexM"	-3.16252831948639	0	1.1792233678976	0.00732110602678921	0.260350195628581	0.0122630696676349	0.31308199165461	NA	"prevalence"	20	9
"GGB24132_SGB35935"	"Sex"	"M"	"SexM"	-4.73941263773499	0	2.02709163152708	0.0193853953521254	0.260350195628581	0.0383949971512927	0.31308199165461	NA	"prevalence"	20	13
"GGB24146_SGB35950"	"Sex"	"M"	"SexM"	-4.73941263773499	0	2.02709163152708	0.0193853953521254	0.260350195628581	0.0383949971512927	0.31308199165461	NA	"prevalence"	20	13
"GGB27849_SGB40283"	"Sex"	"M"	"SexM"	-2.78024252415842	0	1.16161866568842	0.0166920749438399	0.260350195628581	0.0331055245217491	0.31308199165461	NA	"prevalence"	20	12
"GGB27860_SGB40294"	"Sex"	"M"	"SexM"	-2.78024252415842	0	1.16161866568842	0.0166920749438399	0.260350195628581	0.0331055245217491	0.31308199165461	NA	"prevalence"	20	12
"GGB27866_SGB40300"	"Sex"	"M"	"SexM"	-2.6435175530803	0	1.09920504474775	0.0161753075522245	0.260350195628581	0.03208897453004	0.31308199165461	NA	"prevalence"	20	10
"GGB27876_SGB40310"	"Sex"	"M"	"SexM"	-4.90357849182971	0	1.9707811590009	0.0128413343991936	0.260350195628581	0.0255177689292353	0.31308199165461	NA	"prevalence"	20	12
"GGB30046_SGB42947"	"Sex"	"M"	"SexM"	-3.16252831948639	0	1.1792233678976	0.00732110602678921	0.260350195628581	0.0145886134601229	0.31308199165461	NA	"prevalence"	20	9
"GGB75725_SGB102612"	"Sex"	"M"	"SexM"	-3.16252831948639	0	1.1792233678976	0.00732110602678921	0.260350195628581	0.0145886134601229	0.31308199165461	NA	"prevalence"	20	9
"Lactobacillus_intestinalis"	"Sex"	"M"	"SexM"	-2.8589533304325	0	1.18931246456066	0.0162225121267791	0.260350195628581	0.0321818543538548	0.31308199165461	NA	"prevalence"	20	8
"Lactobacillus_johnsonii"	"Sex"	"M"	"SexM"	-4.90357849182971	0	1.9707811590009	0.0128413343991935	0.260350195628581	0.025517768929235	0.31308199165461	NA	"prevalence"	20	12
"Ligilactobacillus_murinus"	"Sex"	"M"	"SexM"	-4.25493360540986	0	1.61803610120446	0.00854627213110208	0.260350195628581	0.0170195054948653	0.31308199165461	NA	"prevalence"	20	12
"Limosilactobacillus_reuteri"	"Sex"	"M"	"SexM"	-5.20447721939619	0	1.91296909113795	0.00651580459338068	0.260350195628581	0.0129891534772622	0.31308199165461	NA	"prevalence"	20	11
"Muribaculaceae_bacterium"	"Sex"	"M"	"SexM"	-2.78024252415842	0	1.16161866568842	0.0166920749438399	0.260350195628581	0.0331055245217491	0.31308199165461	NA	"prevalence"	20	12
"Muribaculum_gordoncarteri"	"Sex"	"M"	"SexM"	-4.73941263773499	0	2.02709163152708	0.0193853953521254	0.260350195628581	0.0383949971512927	0.31308199165461	NA	"prevalence"	20	13
"Neglectibacter_sp_X4"	"Sex"	"M"	"SexM"	-4.51769911492838	0	1.93762383040006	0.0197234996688319	0.260350195628581	0.0197234996688319	0.31308199165461	NA	"prevalence"	20	7
"Parvibacter_caecicola"	"Sex"	"M"	"SexM"	-3.68035917543467	0	1.24417442720393	0.00309568484012256	0.260350195628581	0.00618178641561576	0.31308199165461	NA	"prevalence"	20	10
"Sangeribacter_muris"	"Sex"	"M"	"SexM"	-2.6435175530803	0	1.09920504474775	0.0161753075522246	0.260350195628581	0.0320889745300401	0.31308199165461	NA	"prevalence"	20	10
"Muribaculum_intestinale"	"Sex"	"M"	"SexM"	-4.63305400837295	0	2.07415755843761	0.0255025564835047	0.325774592498964	0.0503547325798151	0.370156074467417	NA	"prevalence"	20	14
"Caniella_muris"	"Sex"	"M"	"SexM"	-2.26945579514632	0.65730414787043	1.23260950139537	0.047157851667157	0.327612432102538	0.08753892194708	0.37229938735567	NA	"abundance"	20	11
"Clostridia_bacterium"	"Genotype"	"MUT"	"GenotypeMUT"	0.837593573913008	-0.292973676661256	0.339850866310396	0.0300105387908915	0.327612432102538	0.0591204451432635	0.370156074467417	NA	"abundance"	20	8
"GGB14001_SGB21428"	"Genotype"	"MUT"	"GenotypeMUT"	1.28034858315783	-0.292973676661256	0.69773163315922	0.0466093835710395	0.327612432102538	0.0910463325052067	0.37229938735567	NA	"abundance"	20	16
