"","89_MattDonor_MUT_F_Col_S268","90_MattDonor_WT_M_Col_S269","91_MattDonor_WT_F_Col_S270","92_MattDonor_WT_M___S271","93_MattDonor_MUT_M_Cec_S272","94_MattDonor_MUT_F_Cec_S273"
"Akkermansia muciniphila_A",861,8193,4441,54,111438,619
"Akkermansia muciniphila",29028,315026,168439,1140,4453490,21796
"Faecalibaculum rodentium",6547,31353,49569,2329,198,4825
"Pelethenecus sp910579215",130,419,31,2082,27,1955
"MGYG000325581",0,18,21,0,0,11
"Alistipes finegoldii",6815,23924,8620,5951,118433,17124
"MGYG000325477",111,172,199,98,131,93
"Paramuribaculum sp001689535",200692,751241,768821,310394,20314,170700
"Paramuribaculum sp910587425",276233,419695,864199,220008,12569,229563
"Muribaculum intestinale",305193,361401,491885,224589,26965,224238
"NM07-P-09 sp004793925",8294,17302,19608,1106,301,7454
"ZJ304 sp910584145",0,1251,265,32,0,22
"Bifidobacterium globosum",14,6263,4937,393,53,0
"MGYG000333678",29,69,59,13,61,42
"Schaedlerella sp910575475",17948,33384,6747,5642,12955,69195
"Lawsonibacter sp910588635",151,1388,536,1229,4974,1503
"MGBC122484 sp910587055",0,68,13,511,193,32
"Desulfovibrio sp009773975",26684,74744,68980,8533,1513,18604
"NM07-P-09 sp004793665",563,3030,5129,228,11,220
"MGBC105563 sp910579165",0,10,15,0,0,0
"MGYG000327895",0,0,0,0,0,0
"Paratractidigestivibacter faecalis",0,0,0,0,0,0
"Paratractidigestivibacter sp900540955",0,0,0,0,0,0
"MGYG000330582",0,0,0,0,0,0
"MGYG000329032",35,2534,1439,156,61,62
"Adlercreutzia muris",4309,14548,9374,3328,226,5806
"Adlercreutzia caecimuris",5169,8876,9153,2083,263,4753
"Adlercreutzia mucosicola",610,1758,1423,407,45,724
"MGYG000329825",184,575,442,130,12,279
"Adlercreutzia hattorii",30,117,103,27,0,53
"Adlercreutzia sp910589165",18,75,64,15,0,31
"MGYG000329537",55,142,113,19,0,76
"MGYG000327852",51,130,116,35,0,58
"Adlercreutzia sp910585575",16,44,42,14,0,37
"MGBC163016 sp910588205",2712,3215,2775,1507,119,12246
"MGBC163016 sp910589135",1351,4001,1580,1557,64,2667
"MGBC163016 sp910588945",816,4102,2907,1009,25,1768
"MGBC163016 sp910588905",620,985,632,393,25,2703
"MGYG000329984",129,328,363,94,0,151
"MGYG000328464",45,30,34,23,0,177
"MGYG000366993",11,27,0,0,0,10
"MGBC163016 sp910585565",10,17,18,0,0,33
"MGBC163016 sp910589125",0,0,14,0,0,12
"MGYG000328353",12,10,0,0,0,67
"MGBC163016 sp910580205",0,13,0,0,0,13
"MGBC163016 sp910588985",0,0,0,0,0,0
"MGBC163016 sp910588435",0,0,0,0,0,0
"D16-63 sp910588095",1915,1250,2309,1749,148,5126
"MGYG000328321",282,888,2022,214,11,466
"MGYG000410711",10,23,22,0,0,24
"Enterorhabdus sp009911695",1113,2006,1630,306,74,929
"MGYG000329834",86,154,101,23,0,74
"Enterorhabdus sp910589695",25,38,41,0,0,22
"D16-34 sp910575165",855,3078,2129,303,48,797
"D16-34 sp003612515",0,0,0,0,0,0
"D16-34 sp910577495",0,0,0,0,0,0
"ZJ304 sp943192905",0,18,15,0,0,15
"MGYG000401219",0,10,11,0,0,0
"Parvibacter caecicola",238,533,640,213,0,271
"Parvibacter sp910587945",33,107,247,10,0,32
"MGYG000329896",0,10,0,0,0,0
"Parvibacter sp910588725",0,0,0,0,0,0
"MGYG000328306",12,21,39,0,0,18
"MGYG000328451",0,22,10,0,0,15
"Anaerotardibacter sp000435675",14,23,23,0,0,25
"Anaerotardibacter sp900753095",0,26,27,0,0,10
"Gordonibacter pamelaeae",0,0,0,0,0,0
"Eggerthella lenta",0,0,0,0,0,0
"Ellagibacter isourolithinifaciens",0,0,0,0,0,0
"Senegalimassilia faecalis",0,0,0,0,0,0
"Slackia_A isoflavoniconvertens",0,0,0,0,0,0
"Collinsella aerofaciens_J",0,0,0,0,0,0
"Enorma burkinafasonensis",0,0,0,0,0,0
"MGYG000410812",0,0,0,11,0,0
"UMGS124 sp900555105",0,0,0,0,0,0
"Bifidobacterium animalis",0,27,24,0,0,0
"Bifidobacterium adolescentis",0,0,0,0,0,0
"Bifidobacterium pseudocatenulatum",0,0,0,0,0,0
"Bifidobacterium bifidum",0,0,0,0,0,0
"Bifidobacterium longum",0,0,0,0,0,0
"MGYG000329693",0,0,0,0,0,0
"Paramuribaculum intestinale",326917,268235,443285,107638,6145,237000
"Paramuribaculum sp001689565",17585,25062,34739,16693,11534,17582
"Paramuribaculum sp910579675",1003,2495,2126,1250,1703,809
"MGYG000329858",1325,2021,2124,873,1931,907
"Paramuribaculum sp910578805",724,1237,1627,774,818,476
"MGYG000325717",691,1550,1717,799,482,464
"Paramuribaculum sp910579185",696,1878,1918,726,803,543
"MGYG000329300",220,478,455,291,553,216
"Paramuribaculum sp009775605",418,1130,1170,508,243,409
"Paramuribaculum sp910586475",410,966,894,423,362,273
"MGYG000325727",228,544,515,290,616,176
"Paramuribaculum sp910588065",237,568,536,297,971,215
"Paramuribaculum sp910578305",429,956,1036,489,384,365
"Paramuribaculum sp910587185",350,688,674,289,572,300
"Paramuribaculum sp910577465",240,451,451,221,211,169
"Paramuribaculum sp910586895",114,338,286,120,1212,129
"Paramuribaculum sp910589095",65,156,145,76,73,66
"Paramuribaculum sp014800945",157,276,272,129,143,99
"MGYG000325457",67,112,120,76,29,69
"Paramuribaculum sp014802045",55,120,112,69,54,30
"MGYG000325750",63,143,131,53,10,32
"MGYG000325361",69,65,89,25,0,63
"Paramuribaculum sp014801865",39,89,73,35,197,28
"Paramuribaculum sp014801655",80,125,126,38,49,62
"MGYG000325540",27,61,65,33,0,25
"Duncaniella sp910576785",758707,2034846,1958367,721546,47969,524444
"Duncaniella dubosii",354704,385618,611537,146880,9829,148690
"Duncaniella sp910589485",104450,524054,379886,145903,3440483,142213
"Duncaniella sp001689575",340175,487900,835387,247546,1608078,301750
