"","MouseID","Site","Genotype","Sex","Group","Sequencing_Depth"
"SLC_SMT_NEG_143I",143,"Ileum","MUT","F","Negative ",778913
"SLC_SMT_NEG_16I",16,"Ileum","MUT","M","Negative ",3730974
"SLC_SMT_NEG_89I",89,"Ileum","WT","F","Negative ",14005090
"SLC_SMT_NEG_194I",194,"Ileum","WT","M","Negative ",244252
"SLC_SMT_NEG_18J",18,"Jejunum","MUT","M","Negative ",18935297
"SLC_SMT_NEG_142I",142,"Ileum","MUT","F","Negative ",1960844
"SLC_SMT_NEG_15I",15,"Ileum","MUT","M","Negative ",1567809
"SLC_SMT_NEG_91I",91,"Ileum","WT","F","Negative ",38954452
"SLC_SMT_NEG_197I",197,"Ileum","WT","M","Negative ",16843806
"SLC_SMT_NEG_101J",101,"Jejunum","WT","F","Negative ",9158915
"SLC_SMT_NEG_17J",17,"Jejunum","WT","M","Negative ",2832924
"SLC_SMT_NEG_141I",141,"Ileum","MUT","F","Negative ",12696638
"SLC_SMT_NEG_18I",18,"Ileum","MUT","M","Negative ",5785449
"SLC_SMT_NEG_88I",88,"Ileum","WT","M","Negative ",9305162
"SLC_SMT_NEG_193J",193,"Jejunum","MUT","F","Negative ",43142474
"SLC_SMT_NEG_159J",159,"Jejunum","MUT","M","Negative ",217528
"SLC_SMT_NEG_103J",103,"Jejunum","WT","F","Negative ",14857463
"SLC_SMT_NEG_155J",155,"Jejunum","WT","M","Negative ",51187
"SLC_SMT_NEG_137I",137,"Ileum","MUT","M","Negative ",8514769
"SLC_SMT_NEG_101I",101,"Ileum","WT","F","Negative ",4676673
"SLC_SMT_NEG_17I",17,"Ileum","WT","M","Negative ",1158567
"SLC_SMT_NEG_158J",158,"Jejunum","MUT","M","Negative ",21603
"SLC_SMT_NEG_110J",110,"Jejunum","WT","F","Negative ",12445144
"SLC_SMT_NEG_153J",153,"Jejunum","WT","M","Negative ",13996925
"SLC_SMT_NEG_193I",193,"Ileum","MUT","F","Negative ",33928988
"SLC_SMT_NEG_159I",159,"Ileum","MUT","M","Negative ",233496
"SLC_SMT_NEG_103I",103,"Ileum","WT","F","Negative ",22335776
"SLC_SMT_NEG_155I",155,"Ileum","WT","M","Negative ",673977
"SLC_SMT_NEG_191J",191,"Jejunum","MUT","F","Negative ",9193482
"SLC_SMT_NEG_160J",160,"Jejunum","WT","M","Negative ",1138650
"SLC_SMT_NEG_192I",192,"Ileum","MUT","F","Negative ",2047625
"SLC_SMT_NEG_158I",158,"Ileum","MUT","M","Negative ",19333462
"SLC_SMT_NEG_110I",110,"Ileum","WT","F","Negative ",34774639
"SLC_SMT_NEG_153I",153,"Ileum","WT","M","Negative ",11756164
"SLC_SMT_NEG_109J",109,"Jejunum","MUT","F","Negative ",30358559
"SLC_SMT_NEG_152J",152,"Jejunum","WT","M","Negative ",2449814
"SLC_SMT_NEG_191I",191,"Ileum","MUT","F","Negative ",24280931
"SLC_SMT_NEG_156I",156,"Ileum","MUT","M","Negative ",16477697
"SLC_SMT_NEG_144I",144,"Ileum","WT","F","Negative ",1215426
"SLC_SMT_NEG_160I",160,"Ileum","WT","M","Negative ",15256044
"SLC_SMT_NEG_109I",109,"Ileum","MUT","F","Negative ",11210187
"SLC_SMT_NEG_90I",90,"Ileum","WT","F","Negative ",2013421
"SLC_SMT_NEG_152I",152,"Ileum","WT","M","Negative ",14747453
"SLC_SMT_NEG_142J",142,"Jejunum","MUT","F","Negative ",41716069
"SLC_SMT_NEG_15J",15,"Jejunum","MUT","M","Negative ",218314
"SLC_SMT_NEG_91J",91,"Jejunum","WT","F","Negative ",9548415
"SLC_SMT_NEG_141J",141,"Jejunum","MUT","F","Negative ",31162176
"SLC_SMT_NEG_194J",194,"Jejunum","WT","M","Negative ",95481
"SLC_SMT_NEG_75I",75,"Ileum","MUT","M","Negative ",31110052
"SLC_SMT_NEG_89J",89,"Jejunum","WT","F","Negative ",5468381
