MouseID,0_hours,6_hours,12_hours,24_hours,36_hours,48_hours
174,0,2,4,3,3,3
201,1,2,3,3,2,4
190,1,2,4,3,3,1
200,0,2,5,5,6,2
142,1,1,2,3,2,1
151,1,2,3,2,3,2
152,1,2,3,1,2,2
154,0,0,1,1,1,1
141,0,2,4,5,2,3
149,0,2,3,4,5,2
147,2,2,4,3,4,3
148,1,0,3,3,2,2
155,0,6,3,4,3,4
153,1,5,3,2,6,4
150,0,5,4,3,5,3
156,1,2,5,4,4,3
167,1,1,4,3,2,1
944,0,0,2,2,3,2
107,0,1,4,3,2,1
108,0,0,3,3,3,1
997,0,2,3,3,3,3
111,1,1,2,3,4,3
164,2,3,4,2,5,1
166,0,2,4,3,4,3
1000,0,4,4,4,5,3
991,1,1,3,5,4,3
983,2,1,2,3,2,2
940,0,3,4,4,2,2
943,0,2,3,4,3,4
102,0,0,2,4,3,1
996,1,2,4,3,4,2
999,1,2,5,4,4,0
103,0,2,5,4,6,4
112,0,3,4,4,4,2
105,0,5,5,5,6,3
106,0,4,4,4,4,2
