MouseID,Sex,Score,Genotype
167,Male,3,WT
108,Male,3,WT
142,Female,4,WT
154,Female,4,WT
152,Female,4,WT
944,Female,4,WT
107,Male,4,WT
151,Female,5,WT
148,Male,5,WT
141,Female,4,HET
149,Female,5,HET
143,Male,5,HET
155,Male,6,HET
150,Female,4,MUT
156,Female,4,MUT
153,Female,6,MUT
147,Male,6,MUT
991,Female,4,HET
102,Female,4,HET
164,Male,4,HET
111,Male,4,HET
943,Male,5,HET
983,Male,5,HET
166,Male,5,HET
940,Male,6,HET
1000,Male,6,HET
999,Female,4,MUT
996,Female,5,MUT
106,Male,5,MUT
105,Male,5,MUT
112,Female,6,MUT
103,Female,6,MUT
