ProteinID,322_WT_M_imputed_intensity,364_Mut_M_imputed_intensity,393_WT_F_imputed_intensity,323_WT_F_imputed_intensity,343_HET_M_imputed_intensity,344_WT_M_imputed_intensity,345_Mut_M_imputed_intensity,346_Mut_M_imputed_intensity,347_WT_M_imputed_intensity,348_HET_M_imputed_intensity,350_Mut_F_imputed_intensity,351_Mut_M_imputed_intensity,352_HET_M_imputed_intensity,353_HET_F_imputed_intensity,356_WT_M_imputed_intensity,358_HET_F_imputed_intensity,359_HET_F_imputed_intensity,360_1_Mut_M_imputed_intensity,362_1_WT_M_imputed_intensity,365_Mut_F_imputed_intensity,366_HET_F_imputed_intensity,389_Mut_F_imputed_intensity,390_Mut_F_imputed_intensity,392_Mut_F_imputed_intensity,394_1_WT_M_imputed_intensity,395_HET_M_imputed_intensity,398_1_HET_M_imputed_intensity,401_1_WT_F_imputed_intensity,499_1_WT_F_imputed_intensity,500_1_HET_F_imputed_intensity
A0A0B4J1G0,12.96288858,10.08919346,16.95210986,15.84758758,17.6967149,12.8235257,12.06773956,13.01224813,11.58622039,15.61492166,13.62994278,12.82272853,12.86144964,15.21324594,13.73769086,13.29239686,13.73999039,13.51314078,12.84993664,12.93891032,14.13964297,11.8667653,12.39032447,12.67310382,13.33423364,13.35048887,13.07788154,13.17998475,13.87627753,13.26790075
A0A0G2JDV3,17.19632602,16.85369751,17.24673617,15.81624117,18.36238802,17.09267671,16.01864501,16.09245701,17.07409112,15.46247108,16.99391353,16.58647129,16.48698872,16.06634157,17.70347296,16.15386742,16.56722595,16.87347494,17.3683353,16.80061699,16.30816602,16.81034191,16.70383535,17.42215043,16.81097927,16.6393845,16.78693984,17.58707109,17.56293842,17.39985834
A0A140LIF8,19.6675076,19.42736447,17.33644128,19.25432282,18.97487585,19.10990843,19.18889023,20.06373788,19.31350053,20.37784662,19.68277784,19.95623293,18.74114279,19.26997413,20.04263561,18.86458965,19.45959829,19.06009735,19.44256567,19.1458125,18.58369594,18.75490051,19.05962169,19.36329824,18.93695022,19.27231521,18.6862336,19.20822612,19.27178126,18.23272862
A0A338P6K9,11.49755165,12.11816068,17.65648965,17.58830129,18.3201924,13.27974134,12.46208744,14.35156778,12.18398006,14.22936623,12.88803162,12.36284814,11.07741897,13.11164556,7.663351682,12.62312646,12.50842827,7.558688854,6.943869694,11.43005194,13.47824135,8.268844648,12.04878219,10.8680234,9.341424834,13.95746902,9.02065226,9.103469671,12.26945671,9.989761081
A0A5F8MPU3,20.9273521,20.04373833,17.18567444,14.70968326,15.98286284,20.90383964,20.81852809,20.17857897,20.515941,20.90819829,20.84595847,19.96162606,21.20954173,19.85145353,19.14496128,20.93022691,17.76138996,20.72519951,20.20775705,20.75702487,19.87340495,20.79188744,21.09818285,21.09280358,21.00815132,20.86916103,20.46419341,20.15242357,19.3307556,19.69579825
A0A6I8MX38,11.84429847,13.92839847,18.44592184,15.69419824,17.29258749,12.1542599,12.28140994,12.44664606,12.90871461,13.76775241,11.489719,12.42805231,11.4070304,14.70173489,13.89259925,12.91791539,14.18988721,9.20071344,8.355357159,12.56538603,14.24910325,8.379052676,14.06651079,12.14717448,8.726485118,12.08519403,8.934821157,12.66771704,10.83603169,11.5142805
A0A7N9VSG0,12.95892497,13.51935199,16.96422619,14.25448518,17.81940225,13.58998245,13.41908751,12.94932628,13.80434359,14.02198591,14.00097128,13.64133247,13.75334796,14.19400983,13.84214302,13.50733058,12.47330087,14.14806045,13.55942906,13.95095693,12.39970708,12.9248804,14.14116326,14.03031282,13.87676769,13.88161425,14.22889505,13.6538866,13.48417227,13.54797606
A1A5B6,13.72226977,15.65045011,16.69779333,16.06843393,18.31567472,12.48741973,16.65316904,13.73679314,16.20203237,14.37729478,12.06890888,17.82705651,12.51891487,17.89504097,16.59680628,17.33038322,18.5559191,15.68617337,14.32680113,15.26707461,18.29418689,15.36800096,16.32406938,15.11184149,14.63134432,16.3721247,13.77594751,15.28322136,12.36051353,14.89510567
A1L314,10.43422957,10.34091227,17.43485543,13.04098848,17.06471908,12.2324999,15.16073507,13.44884531,10.47297888,12.78341097,10.35379658,11.06457967,10.26962522,12.20743394,12.28387304,13.89919006,11.03433639,11.67022521,11.2643705,10.09972747,13.63610657,10.25898104,10.62442681,9.914734294,10.65944882,10.74023857,10.4726684,11.35840471,11.40078496,11.15534638
A1L3P4,15.88409597,15.8258219,17.24211128,16.45633768,17.56813102,15.64067183,15.01606426,12.84741801,16.14030967,14.10471928,15.67883133,15.43487968,15.57810165,14.97679908,16.28887669,15.22723259,16.23989701,15.69842661,15.76420519,15.28694032,15.34632762,15.73470926,16.24011651,15.785646,15.44410427,16.13850605,15.73637162,15.6755355,15.78127348,15.80286185
A1Z198,11.84090003,11.54204251,16.92572403,16.72351724,18.65247965,11.90684537,13.50015995,12.16712862,11.39712312,14.77664082,12.25911188,14.23388801,11.84829861,12.34608824,12.08078596,12.696586,13.13855329,10.99503986,11.99555259,11.29615798,12.68900657,11.50700323,11.16698523,11.42487491,11.35050633,11.25167627,11.56497334,11.4735524,11.15040605,11.98067332
A2A432,18.49636273,18.6553349,17.82065296,14.14336788,17.61943212,18.77988405,18.37987839,18.29579186,18.50952367,18.56257198,18.64334733,18.43891465,18.94673651,18.21241541,19.16045894,18.52586581,19.19607792,19.28249504,19.64113441,18.6093758,18.92529063,18.83211735,18.32634725,18.78144975,19.11850563,18.60449331,19.35541561,19.35098558,19.02788531,19.23943338
A2A4P0,19.04299167,19.14890344,16.80896431,18.71957559,18.8282588,18.89936012,19.16867676,19.31080541,18.78657701,19.33498875,18.79087525,18.69362568,18.96079199,19.0591692,18.72907148,19.54362073,18.41763662,19.35904572,19.40957005,19.16679188,18.58006068,19.0799528,18.82907015,18.85467946,19.50465438,19.06223131,19.4269708,19.36861574,18.9747873,19.33697318
A2A559,17.64325085,18.05656172,16.7389261,15.93290029,15.87800101,17.64381717,13.96301041,12.94915565,18.53335107,15.29485836,17.85018056,17.85588752,17.20779683,14.21678955,17.65937818,12.82739186,16.90641712,18.23781745,18.39907928,18.76248374,17.10565196,18.12234261,18.63772605,18.1592342,17.62271036,17.97659851,18.29367481,18.31635426,18.04366795,18.03399205
