ProteinID,322_WT_M_imputed_intensity,364_Mut_M_imputed_intensity,393_WT_F_imputed_intensity,323_WT_F_imputed_intensity,343_HET_M_imputed_intensity,344_WT_M_imputed_intensity,345_Mut_M_imputed_intensity,346_Mut_M_imputed_intensity,347_WT_M_imputed_intensity,348_HET_M_imputed_intensity,350_Mut_F_imputed_intensity,351_Mut_M_imputed_intensity,352_HET_M_imputed_intensity,353_HET_F_imputed_intensity,356_WT_M_imputed_intensity,358_HET_F_imputed_intensity,359_HET_F_imputed_intensity,360_1_Mut_M_imputed_intensity,362_1_WT_M_imputed_intensity,365_Mut_F_imputed_intensity,366_HET_F_imputed_intensity,389_Mut_F_imputed_intensity,390_Mut_F_imputed_intensity,392_Mut_F_imputed_intensity,394_1_WT_M_imputed_intensity,395_HET_M_imputed_intensity,398_1_HET_M_imputed_intensity,401_1_WT_F_imputed_intensity,499_1_WT_F_imputed_intensity,500_1_HET_F_imputed_intensity
A2A5K6,12.15995834,11.06499677,18.4293966,16.83657857,18.9421374,12.46122937,14.64059141,12.99437492,13.64692405,13.22344206,12.14805174,12.49055512,11.22905153,15.11395367,11.83416831,12.47416104,13.34389177,11.97999373,11.96594844,11.66551186,12.63952881,12.59284294,12.3604349,11.08272642,11.32070395,11.36982063,12.03470845,11.64945959,11.57125542,11.70123588
A2A5R2,19.87893222,19.72211318,17.06165921,19.20634891,15.76393767,19.79692118,18.46092336,18.07937863,19.74151401,19.39023152,19.51302543,18.57824734,19.65993378,18.49465176,19.28085305,18.44882303,18.64434124,19.2889235,19.46507041,19.59098773,18.53659437,19.52792036,19.64402846,19.59605289,19.22661751,19.65318728,19.1930782,19.56739363,19.36768664,19.51130589
A2A5Z6,17.66294774,17.46769785,17.94787884,15.30004607,18.29278492,17.39348119,17.14377142,18.62930373,17.85171762,17.88390826,17.12916016,17.96501841,17.50460862,17.60595595,18.22987746,17.88836271,17.74156546,17.38537253,17.43124166,17.37022147,17.77644346,17.25049083,17.14780757,17.41618115,16.69101466,17.43340068,17.24126344,16.70530685,16.8430435,17.10502703
A2A6A1,17.34309182,17.67854356,18.00970424,17.70934257,18.24242555,17.20558254,17.68658436,17.67002797,17.64630513,18.59823657,17.87586854,17.30659706,17.81047185,12.37311328,17.29155839,17.94512034,16.86668972,18.07093338,17.86103966,17.90239489,13.88341012,17.77757,17.36508514,17.73095184,18.04822623,17.7392818,17.99029486,17.83328057,18.44390666,17.88026775
A2A6Q5,15.30940156,15.04111023,17.31566096,15.45456178,17.20212201,15.06830388,14.88548788,14.54910067,15.47329858,15.30914388,15.46151174,15.12566071,15.23452087,14.43342303,15.55726256,15.10928759,14.95837659,15.73214647,15.69628274,15.20501564,14.81885153,15.2288825,14.91825942,15.40206262,15.91532971,15.06909336,16.03086666,15.40778104,15.24559681,15.55921084
A2A791,12.22166486,13.54550073,16.5287489,15.80682009,17.23737717,13.22672346,14.51720704,16.16964027,14.24922441,15.49097295,14.0592332,14.72983764,13.16241416,14.34507138,14.78545998,15.88971892,14.5193069,14.83555747,14.86653179,10.44212152,14.0869794,14.31757643,12.31159359,14.03661178,14.54881094,10.76659363,15.11015782,14.36962128,14.43823888,14.07125441
A2A7S8,18.39125191,18.87477532,18.15386405,17.46949526,17.73228671,18.64074672,14.06774033,16.57088089,18.45095896,17.97526092,17.92864607,16.28417672,18.57383982,13.39989779,17.21796928,13.05662859,11.69309169,18.64241148,18.31091355,19.13733284,12.37341415,18.75244651,18.34883618,18.54866705,18.75449006,18.35943354,18.40863314,18.67914496,18.50669888,18.78496279
A2A863,25.45786824,25.33387558,17.2211657,24.85389054,17.59845112,25.26904939,24.27442883,24.03342177,25.67161073,25.34289819,25.28471059,24.12656108,25.24643432,24.80904932,25.67607706,24.43399985,25.60394084,25.35614985,25.25537013,25.25162185,25.16722291,25.10363462,25.70755883,25.22971349,24.90401222,25.58795664,24.78596918,25.24174592,25.45300941,25.20398671
A2A8L5,19.87005558,19.67477764,16.39233227,19.29935776,17.64844317,19.67972889,18.41825634,17.74057681,19.90014262,19.46704294,19.62549448,18.60622446,19.84752422,18.66886847,19.57777456,18.53911292,19.39484512,19.88382576,19.76672924,19.76130716,18.97529157,19.64523856,19.80124472,19.81212266,19.50033946,19.79643119,19.44731454,19.89721208,19.9296845,19.90726437
A2A8U2,13.55610131,13.70866593,17.3719768,15.58898316,18.42320676,14.10668864,15.55273833,15.28584088,14.33079338,14.3719913,14.01646908,15.2171648,13.95863996,13.26821077,14.11197058,15.46619018,13.2400569,14.46877181,15.53661748,14.83728826,14.27764258,14.52796696,14.26176652,14.62150124,14.40095483,14.6839946,14.96170075,15.09687228,15.36794753,15.07940477
A2A8Z1,19.26161922,19.32409048,16.60730007,18.66874957,18.83791642,18.90708639,17.98067118,17.8045254,19.43355815,18.4881748,19.08039857,18.39861755,19.14745655,18.22453535,19.41880874,18.19654123,18.60818713,19.00099908,19.249594,19.09284454,18.32109365,19.19234102,19.32697776,19.19780917,18.67666535,19.24575309,18.84933546,18.68537779,19.07127019,18.80748599
A2A935,15.60284513,15.20609983,17.70596732,16.77395494,17.64126073,15.25562538,17.52875618,17.90275913,14.76715551,16.70461765,14.83970624,16.93549975,14.90383154,17.26913622,16.09134383,17.74084723,16.01950272,15.98048451,15.93119031,15.26472361,16.58462721,15.18448437,15.34279523,15.36925758,15.72042823,15.51709289,15.93168521,15.47421106,15.28501223,15.24905398
A2A9C3,13.88641292,10.3496991,17.96039022,15.89634998,15.98793289,11.93311191,12.99182227,14.16290318,10.75639719,14.05384604,13.82774651,13.37526937,13.22280834,11.95095729,10.79900453,14.86584349,13.2124767,10.2865876,12.20801733,11.61159523,12.28349831,13.2425441,14.42470211,13.52825578,13.03803284,9.906423236,10.55202613,14.35155175,11.80255637,12.11246864
A2A9F4,15.28989708,15.32352628,17.16626053,16.12608986,17.77606209,15.59835556,12.8118229,15.26575921,15.70525245,13.7509994,15.30643289,14.38981793,15.78432311,13.57982339,14.29576939,12.34629839,12.69355546,15.82553697,16.1323358,15.62733452,15.44169046,16.22343324,15.71357337,15.37102034,15.10888399,15.91261423,15.47187082,15.63913695,15.70158291,15.81369492
A2AAE1,16.97429716,17.11891989,17.13523211,16.62566241,17.24333873,17.00911105,15.97760924,16.10476615,17.49423773,16.91179493,17.28256497,16.48420458,17.34013564,16.40280262,17.46178673,16.19684728,16.79539996,17.31755242,17.23602327,17.00815472,16.3311688,16.88695381,17.16422687,17.21719736,16.84974362,17.3627384,16.8486622,17.00509705,17.13341883,16.93125034
A2AB59,19.94695131,19.66906144,18.10728107,20.05312354,18.08361185,19.97726413,19.65791002,19.66424023,20.27503788,20.2914989,19.98317817,19.4809538,20.04464753,19.30306598,20.39293634,19.39503955,19.73126799,19.90025852,19.98902651,19.40802384,19.42650509,19.85505715,19.99749949,19.8725103,19.30080121,20.29614624,19.52039527,19.66281165,19.28578779,19.58072284
A2ABV5,17.35972993,17.28336008,18.14383488,15.54386021,16.84527084,17.13265633,17.35474684,17.45743415,17.32426249,17.81222448,17.68150527,18.24594746,17.30758664,17.07138536,17.75632145,18.23318953,17.13505606,17.70122222,17.8382901,17.0672215,17.33183906,17.22438372,17.25501163,17.29352729,17.71564063,17.41514804,17.5951892,17.60659135,17.54045845,17.57144295
A2ACG1,12.56980824,15.13828029,17.77453723,15.76718917,17.29535669,12.88107574,13.64003844,13.55545446,14.97023626,14.12279704,11.96943844,13.13967331,14.62019497,13.67212253,14.00412791,12.45672517,15.46875932,12.86024707,14.65132236,10.50543285,13.68549922,14.52669839,14.27545933,14.04665701,14.7017767,12.79762293,13.70839782,14.7574664,13.92508509,14.98848949
A2ACP1,16.5493083,16.28452115,17.42836277,17.52136216,16.36737627,16.21975444,16.25357031,16.09266303,16.34691822,16.16536178,16.94289564,16.67883944,15.80870137,15.76028565,17.37489489,16.29982249,16.27321894,16.79985292,16.93548389,16.15086848,16.80206728,16.26533589,16.34567557,15.86112201,16.33522594,16.24167513,16.73176756,15.94620798,15.99234299,16.2246318
A2ADA5,17.14154345,16.45059358,17.56366963,15.94693036,16.40655526,16.9842656,17.70135302,18.7424278,17.10101568,14.5412283,16.81653425,18.16407439,17.17906677,17.74842651,16.70625252,17.82920662,16.55961916,17.19547021,17.15540344,16.32538145,16.7498597,16.34577046,16.54335848,16.91217345,16.90657615,16.84542702,17.0151501,16.8783438,16.66719021,16.52316497
A2ADF7,16.44545363,16.31543054,16.93077124,15.76142928,16.21826198,16.00142036,15.21726005,11.99093727,15.81949356,14.36594452,15.98395918,14.39270439,15.82624998,14.98601005,15.11874972,15.75659385,15.12313832,15.15517449,15.55755478,15.77653865,15.58372926,15.35776368,16.17471994,15.88052232,15.08922268,16.1289385,14.73710368,15.63382769,15.5414362,15.6340783
A2ADY9,19.88532226,20.26183893,18.10918479,18.45021985,17.49345489,20.47371748,17.70195685,17.67985749,19.93450731,18.79092048,19.4096654,13.45958598,20.25096499,17.81408744,17.3399869,17.4697294,18.01067149,19.56045314,19.3769276,20.49601981,17.88423902,20.59616304,20.05028143,20.39920628,20.28141622,20.132824,19.85027316,20.19704014,20.13368133,20.1475435
A2AEV7,10.99384614,11.79487552,17.8207547,14.58954422,15.49964823,11.36607656,14.40854737,12.1398066,11.08829663,14.14059946,13.26394417,13.75995311,10.30908439,14.1065123,12.31332652,11.0119701,12.98403188,13.09380563,9.569802961,11.34591381,14.05885234,11.73788424,11.58915228,11.31812081,10.56781384,11.47671191,10.8096554,10.8337133,10.3463461,11.31624284
A2AF47,18.70747727,18.61342152,17.5435385,18.36461331,18.38031677,18.10232281,18.882362,18.90539164,19.1174817,18.66049315,18.73937915,19.15364345,18.40096801,18.96909936,19.48048041,19.0970918,18.55457922,18.77166223,18.83416109,18.39493144,18.4791679,18.42459807,18.62590783,18.54127052,18.39758144,18.52022006,18.55607971,18.30249213,18.0360096,18.06062683
A2AFS3,16.44795722,17.00318833,16.98861719,15.61913632,17.00697358,16.05631227,16.42149941,13.08441527,16.65968292,13.00222836,17.02893533,15.23871773,16.14672105,17.28635014,18.18448677,17.72329438,18.60212425,17.31384422,17.04312644,16.18276728,18.36079074,16.5657589,16.70789425,16.4465091,16.46004697,16.5024067,17.3742757,16.71612704,17.33113086,16.88566543
A2AGA4,17.96991491,18.00283308,18.50926089,15.4475384,17.48655915,17.32498795,16.40048785,13.39874141,17.85219858,14.70493672,17.46861738,12.72642835,17.46708579,16.59313913,17.78675964,13.436197,11.43811916,17.91309257,17.02018333,17.06995578,14.84292305,17.09873753,17.50322023,16.64999766,16.18744202,18.10425461,16.31076149,17.42048252,17.57249615,16.73387585
A2AGH6,18.35339277,18.56811194,16.66500402,15.60849527,18.33965479,18.45167912,19.28023007,19.36085438,18.47274929,19.42683679,18.9231131,19.38909185,18.83618075,18.66653799,18.46176608,19.52320763,17.93059154,18.80905067,19.19274946,18.36606824,18.24167557,18.59100569,18.77647159,18.91861619,18.82712332,18.79144477,19.06008887,19.09640344,18.86715804,18.70982125
A2AGT5,19.22109118,19.15280664,19.26240634,19.37519503,19.05920676,19.08299439,18.68990007,18.72955708,19.26733103,19.76397699,19.30432293,18.9286363,19.28868505,18.7926109,19.7444191,18.86845844,19.11685415,19.48123209,19.75499475,19.03874093,18.90666887,19.1661883,19.18756681,19.17745406,19.50432911,19.23089397,19.36057293,19.37382488,19.36118619,19.31048916
A2AH22,14.25531826,14.21886767,17.46108231,15.17650277,17.69312277,14.35645615,16.41245324,16.36000892,14.30085112,15.968134,14.31394752,15.66686454,14.03628243,14.65275404,14.98439125,15.39335925,15.35341228,14.66100646,14.29990702,14.12917376,15.27260269,14.21698265,13.9561697,14.00561195,14.4391179,14.64928918,14.87428969,14.3204044,14.10342321,14.5313951
A2AHC3,10.7578781,12.10313635,17.55448777,15.09123433,17.77996529,12.84724404,10.94932485,13.03216537,12.82757173,14.74026928,13.21501878,12.37786617,11.57665524,14.38063828,11.86012196,12.62779174,12.76392391,12.86687871,9.917340075,10.65195394,12.26734358,11.05715548,11.19817876,14.85735801,11.9893097,12.93238893,13.77024801,11.26152609,12.52011308,12.74380698
A2AHG0,14.91236092,14.75157453,17.25709213,15.06524155,17.01707362,14.69844601,14.36396396,15.36681688,14.10714934,14.67613352,14.70392403,15.21310569,14.82643622,13.59024562,11.3189869,13.60238626,13.87973456,15.27585569,15.22256212,14.83696441,13.77477266,15.21858505,15.03108836,14.37930333,15.65899902,14.66182089,15.5777381,14.00161143,14.84933958,14.41313518
A2AHJ4,11.36488093,8.732732457,16.63958223,15.45275995,16.54299746,14.25807936,12.80522388,10.73667548,12.1965335,14.61586182,11.5182904,14.60165273,12.18329316,11.59036933,9.933220324,13.16822648,12.79716453,10.66594387,12.10307905,11.53586605,12.31927244,12.86861785,13.54768637,14.23490969,12.06298454,12.64600982,9.296169043,11.4784455,9.245837639,12.46343505
A2AI05,13.96576043,13.7651232,17.94650595,16.66417303,17.93847251,14.32616433,12.73096357,13.35085812,13.74690683,13.88132394,13.6753125,14.69156918,13.72802674,14.09482754,14.13919766,13.76140066,14.56690812,13.42294661,14.23009343,14.00013638,13.95066913,13.78088456,14.00223889,14.03278178,14.02244578,12.52808631,13.93287313,14.42852416,13.18436456,13.73870482
A2AI08,17.18423622,17.63903047,18.1360879,18.18635888,17.32964427,17.55153582,16.56449928,16.70895448,17.0384947,18.51557744,16.90404207,16.9040832,17.40265421,16.34327924,16.02296852,16.43932294,15.2727826,16.95961009,16.80822136,17.88211337,16.12380788,17.42057416,17.27031094,17.33733778,17.87750464,17.35105405,17.1230664,17.44746907,17.40150176,17.64704561
A2AIL4,18.53050901,18.59495908,18.41954905,16.41996258,17.47595648,18.26606007,18.69162995,18.88350084,18.95444783,14.71672166,19.13336977,18.80183022,18.51263142,19.33977596,19.72116349,18.76668052,20.05697879,18.7145181,18.75381169,18.40197269,19.42226442,17.98218791,18.56861903,18.76779229,18.13673573,18.77707937,18.40046021,18.16889735,18.56235152,18.01300192
A2AIV2,16.97995414,16.68429893,16.73529404,16.69684241,16.88156205,16.82382697,16.59384344,16.70904933,16.66649523,17.18801908,16.7235823,16.29859558,16.57477977,16.15787334,16.90492532,16.90046018,16.63355562,17.19814352,17.36545238,16.84461512,15.97547232,16.95840981,16.34367165,16.74029658,17.19991536,16.89796235,17.21246449,17.14002355,16.73860192,17.08273733
A2AIV8,11.9100667,12.45343401,17.66989315,15.341411,17.07467139,10.90628478,12.06228895,15.37503432,11.49907888,16.66598641,11.31934126,12.09337335,10.28849437,13.28686204,11.64895644,11.33158978,11.15161538,10.76899964,10.36714538,10.70360021,13.45838413,11.59415026,12.80222857,10.18752521,10.44945512,11.65042653,12.32153905,10.67765677,11.49431811,10.56846246
A2AIW0,11.61808298,7.431428424,17.00871657,14.32648306,15.82417224,12.91754768,13.67563474,12.39800421,12.07716849,9.54274308,12.03654327,12.55740186,7.040310187,14.04723098,12.6664159,12.62526757,12.5331545,13.01612398,7.457780974,7.844999491,13.98463279,11.80848825,12.78442327,7.374110387,7.389727561,11.39489872,10.10207167,11.40045643,7.622722285,7.632015825
A2AJ15,21.23338927,21.06841281,18.64774835,14.97047263,16.28484717,20.93896004,19.82649511,19.39986595,21.28552705,20.64565187,21.38781563,20.01140596,21.2880627,19.95687066,20.90735924,19.99258711,20.56346684,20.83939582,20.98988902,21.07713877,20.4944597,21.03812144,21.11406543,21.13578446,20.68284221,21.37099395,20.95448603,21.13036368,21.43635343,21.21481607
A2AJ88,12.09370186,11.68326876,16.25150359,15.26656217,16.34332315,11.43284891,13.87107677,12.63015756,11.83462042,13.91180689,11.6890322,12.88394339,11.34887651,11.30621156,12.1340358,12.17174228,12.35356591,11.44050118,11.87674111,11.84532833,11.11519669,11.56125621,11.39080044,11.82542409,11.23975592,12.05315485,11.81045312,11.7082316,11.77510563,11.53783238
A2AJB2,16.90920938,16.44780783,17.73194656,15.69627882,17.3460084,14.60298314,14.40080568,14.13178271,17.16441242,14.79850362,11.93198808,12.0129458,17.16718856,13.68361535,16.8956132,17.37416371,12.9215669,16.28585508,17.08165554,17.30569264,13.98253023,16.22549685,16.7599973,10.39298567,10.34451262,12.71439082,15.99229283,17.38325137,17.04498068,17.1080657
A2AJI0,13.91668867,14.38535573,17.16280108,15.10976438,16.70725305,13.6768238,13.75887691,13.78704888,13.29430813,14.14569132,12.15157046,14.6794668,13.59789813,13.03022609,12.29242579,12.85558441,13.0097274,13.07393173,13.11247706,13.90068335,12.603543,14.01903209,13.39970166,13.95917747,13.69371926,13.62706975,13.05165823,13.0249442,13.52038707,13.48932057
A2AJK6,13.37097905,16.71584666,18.2152879,17.15294295,17.75646632,16.42622356,17.71770213,16.54277253,13.57372091,14.0617502,16.37571666,13.5825568,16.36681116,12.48710853,17.23173153,16.70745753,13.31036053,16.84613658,17.20832194,16.26250627,13.66492016,16.49649357,11.23743644,16.3626935,17.06050534,16.70888058,17.36910679,16.72948173,16.87068535,16.90982627
A2AJQ3,14.61104953,14.99380099,17.72105042,15.40854585,17.50138292,14.53519598,14.30199245,13.65135362,14.76577691,14.53626273,15.23902211,12.87054817,15.21847744,15.27739335,15.31796558,13.85641932,15.53334421,14.85895332,14.77334864,14.48757279,15.35953016,14.58799055,14.59391011,14.47885786,10.41383262,14.91624511,14.77183535,14.45080876,14.75334879,14.31000952
A2AJT4,15.16965929,16.02047288,17.6932952,14.68774908,17.11666535,14.88780959,15.62417638,15.77279649,15.72960874,16.8070977,15.52060971,15.8017553,15.88184929,15.64089974,16.03930408,16.09218317,15.82990783,15.88216223,16.01414426,16.30087236,14.64820683,16.11915159,14.97978189,15.36720753,16.45117771,15.42176659,16.67114433,16.42361976,17.07199334,16.52194325
A2AJX4,19.69136734,19.64241602,17.20626085,15.50882285,16.31868322,19.56133257,19.00658776,18.97653396,20.00106142,15.09374369,20.10651066,19.36027855,19.91621986,19.69750974,20.06973177,19.14319339,20.64804778,19.63686516,19.25169952,19.81966698,20.08070036,19.69335776,19.50963639,19.83897628,19.13398806,20.12412128,19.57914245,19.73565721,19.84753289,19.62465288
A2AKB9,12.46367102,10.22768245,18.09076643,14.84739443,16.99233192,9.887997132,14.38645215,10.99125824,9.874364986,14.27080717,13.28935357,14.29242213,10.36890113,14.92487458,9.225855061,13.03565637,13.05013494,8.747444183,10.52123178,9.943254533,13.33561452,9.993977232,9.139498098,12.29236391,8.98450766,8.811511844,9.978126839,8.689040804,9.012054374,8.543198085
A2AKG8,17.06781293,16.65249891,17.71746019,15.73647794,18.11951989,17.04406208,13.4889287,16.32603546,17.1842134,17.56445645,17.11052404,16.70808789,17.16942755,16.39744148,17.15692061,16.15273058,16.24566987,17.57680987,17.79538775,16.78947319,16.27762097,17.10499769,16.78661948,16.75262695,17.06737555,17.27207837,17.3179919,17.11613155,16.74297911,16.95739801
A2AKK5,19.80203331,19.65152844,18.2057861,19.87584428,19.71578454,20.37099538,20.34913231,19.78322479,19.34303877,19.79931985,19.32654089,19.46528104,19.87917078,20.81901759,19.19006015,20.4947125,20.550061,19.42336205,18.74844084,20.17934499,20.61323057,19.90716756,19.35640111,19.78982121,19.34204295,19.79956045,19.27324174,19.2004575,19.14396224,19.28697235
A2AKQ0,16.14852372,17.02875515,17.92696669,15.7957826,17.81969268,16.8741592,15.21314639,17.05288876,16.2346665,16.18829503,16.30001574,17.02199714,16.74708418,16.94944386,16.27100372,17.37155614,17.20812856,15.99427091,15.36313595,16.50424952,17.16456848,16.08523817,16.3368541,16.25980938,15.25178975,16.22353329,15.93672216,15.98101256,15.84184353,15.81435848
A2AKX3,11.88115328,11.63856762,17.49814372,15.88913101,17.25116961,11.49251767,13.46361929,13.91199884,11.68171255,13.44600896,12.05476384,13.27641049,11.77387602,14.50101965,12.04066513,13.22110809,11.79567962,11.50673926,12.29123156,11.56024458,12.63858658,11.65260837,12.13758785,12.91764365,11.80695447,11.78569333,12.01469422,11.62542158,11.68285512,11.91406664
A2AL36,12.50666831,12.47878694,17.19007595,17.46392901,15.85810242,13.02947191,16.29785861,15.59286127,10.92841664,16.83593925,11.74195133,15.52962333,12.19153784,16.70898502,16.25773172,16.6203145,14.19112268,11.80617699,12.96006961,11.59282058,13.44654284,11.9986854,13.28715622,12.53537707,15.89982871,15.87314733,10.34437927,11.99095288,11.98765631,13.14904712
A2ALK8,16.77664155,16.74058373,17.31354003,17.62993957,17.12549868,16.90744309,16.64808043,16.67288782,16.96562325,18.06020468,16.56813636,17.17894421,16.72808845,16.54744482,16.80476947,16.46151739,16.26817515,16.39879753,16.58457437,16.56847211,16.23798302,16.58874555,16.85815796,16.8175683,15.95398774,16.77668406,16.35594999,16.35209453,16.28887419,16.4199565
A2ALS5,13.85320019,12.85989523,18.70177409,14.37551574,15.36796242,13.94441376,13.78393178,13.03957536,13.84603861,13.37320418,13.5010771,12.86873494,13.90183547,13.14946525,13.87503063,11.95165898,14.19559037,13.97718525,13.79901159,13.06135805,12.95895862,13.72994732,13.89251039,13.17071196,13.92691687,13.31020366,13.97525415,14.46098287,13.30965089,13.13044036
A2ALU4,15.89194571,16.07868119,17.61947484,15.78589134,18.75468694,16.25277801,13.62901472,12.84818056,16.13655375,17.42925868,15.96851412,13.93145335,16.3570221,13.81274868,16.14086242,14.21661245,12.56683695,16.15383146,15.79641296,16.41929741,15.1040853,16.30476728,16.03527058,16.30184749,16.14225866,16.37970474,16.50243604,16.14147236,15.63475018,16.2422883
